# Bootstrap dict for golia-pinyin v0.1.
# Format: pinyin<TAB>word
# Hand-curated, original work, MIT/Apache-2.0 clean. Replaced by self-collected
# corpus data in v0.2 (see workspace ROADMAP.md sections F-I).
#
# Coverage target: top ~50 single chars + ~25 high-frequency phrases. Enough
# to exercise the engine end-to-end (`session.lookup_into("zhongguo", ...)
# returns ["中国", ...]`) without pretending to be a real dictionary.

# === single chars ===
wo	我
ni	你
ta	他
ta	她
ta	它
men	们
de	的
de	得
de	地
shi	是
shi	时
shi	事
shi	十
shi	使
shi	市
bu	不
zai	在
you	有
you	又
yi	一
yi	以
yi	已
yi	意
ge	个
ge	各
ren	人
ren	认
zhong	中
zhong	钟
zhong	种
guo	国
guo	过
guo	果
da	大
da	打
xiao	小
xiao	笑
shang	上
xia	下
zhe	这
zhe	着
na	那
na	拿
shen	什
shen	深
me	么
hao	好
hao	号
ye	也
ye	夜
dou	都
yao	要
yao	药
lai	来
qu	去
qu	取
kan	看
xiang	想
xiang	像
xiang	相
shuo	说
zhi	知
zhi	只
zhi	之
dao	道
dao	到
hui	会
hui	回
neng	能
ke	可
ke	课
yong	用
he	和
he	河
mei	没
mei	美
mei	每
duo	多
shao	少
ji	机
ji	几
ji	记
xian	现
xian	先
jin	今
jin	进
ming	明
ming	名
tian	天
tian	田
ri	日
yue	月
yue	约
nian	年
chu	出
chu	初
gong	工
gong	公
zuo	作
zuo	做
xue	学
lao	老
ben	本
nv	女
lv	绿
lv	旅

# === phrases ===
zhongguo	中国
meiguo	美国
riben	日本
nihao	你好
women	我们
tamen	他们
tamen	她们
shenme	什么
zenme	怎么
weishenme	为什么
xiexie	谢谢
duibuqi	对不起
meiguanxi	没关系
gongzuo	工作
xuexi	学习
laoshi	老师
xuesheng	学生
pengyou	朋友
shijian	时间
xianzai	现在
jintian	今天
mingtian	明天
zuotian	昨天
beijing	北京
shanghai	上海
zaijian	再见
