# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
a	工	5	39931
aa	式	4	38629
aaa	工	3	39931
aaaa	㠭	0	0
aaaa	工	2	43071
aaaa	恭恭敬敬	1	12755
aaab	㐂	0	0
aaad	工期	1	20537
aaae	黄花菜	1	19619
aaae	𧝣	0	0
aaag	工巧	1	15481
aaah	葡萄牙	1	27004
aaal	花花世界	1	14036
aaal	𦾟	0	0
aaan	工艺	1	26744
aaaq	工区	1	15481
aaar	工匠	1	24146
aaar	菚	0	0
aaau	工薪	1	19960
aaaw	斯蒂芬	1	24238
aaay	劳苦功高	1	9342
aab	𦬀	0	0
aabb	式子	1	15492
aabg	草草了事	1	13254
aabi	芙蓉出水	1	0
aabj	𦭎	0	0
aabj	𦭭	0	0
aabu	茕茕孑立	1	0
aabw	戒除	1	16101
aacw	落落难合	1	0
aad	匞	3	0
aad	式	3	37023
aadc	工友	1	19890
aade	蘛	0	0
aade	𧃠	0	0
aadf	𦸀	0	0
aadg	工厂	1	31220
aadg	𠥤	0	0
aadi	落荒而逃	1	16814
aadi	藄	0	0
aadj	䘌	0	0
aadj	𧏾	0	0
aadk	匿	0	24458
aadk	𦴈	0	0
aadm	花花太岁	1	0
aadm	𦺣	0	0
aadn	慝	0	10644
aadn	葚	0	12982
aadr	䔮	0	0
aadr	茙	0	0
aads	𦻆	0	0
aadv	𡠷	0	0
aadw	萁	0	7450
aadw	𠥊	0	0
aadw	𠥩	0	0
aady	落落大方	1	8490
aaeb	花花肠子	1	7175
aaei	勤工助学	1	7175
aaet	节节胜利	1	15403
aaet	𦺻	0	0
aaf	苷	3	19912
aaf	𦬵	0	0
aafb	工地	1	24906
aafc	工运	1	13638
aafd	甙	0	11217
aaff	苷	0	19912
aaff	蓬蓬勃勃	1	0
aaff	𤮼	0	0
aafg	葡萄干	1	19644
aafh	苏东坡	1	16138
aafn	工场	1	18690
aafo	蘜	0	0
aafs	𦳑	0	0
aaft	攻其无备	1	0
aafw	工夫	1	23436
aafy	落花无言	1	0
aafy	𧄛	0	0
aag	𠦜	0	0
aaga	甘苦与共	1	8262
aagc	工致	1	15096
aagf	䒰	0	0
aagf	工于	1	15047
aagg	工工整整	1	0
aagh	攻其一点	1	0
aagk	工整	1	18979
aago	戒严	1	21386
aagq	工残	1	0
aagt	攻其不备	1	14133
aagw	恭敬不如从命	1	12286
aagx	戒毒	1	23348
aagy	七七事变	1	17890
aah	芽	3	24335
aah	𠦌	0	0
aahb	䓉	0	0
aahc	菣	0	0
aahf	𦸃	0	0
aahg	𧂢	0	0
aahh	工卡	1	12914
aahh	茝	0	5748
aahh	茞	0	0
aahl	藍	0	28552
aahl	𦾐	0	0
aahm	藖	0	0
aahm	虦	0	0
aahm	𧇑	0	0
aaho	𪈭	0	0
aaht	芽	0	24335
aahw	工具	1	32815
aahw	𦱽	0	0
aahy	蕥	0	0
aahy	𦬤	0	0
aahy	𦴉	0	0
aaib	莘莘学子	1	12152
aaid	芽尖	1	9162
aaie	卧薪尝胆	1	13746
aaif	工潮	1	16175
aaig	区区小事	1	0
aaii	落花流水	1	17153
aaip	工党	1	17749
aais	葡萄酒	1	26601
aaiy	牙牙学语	1	12466
aaj	𢌵	0	0
aaj	𦬇	0	0
aaja	黄花晚节	1	0
aajf	工时	1	19110
aajh	剗	0	0
aajh	蒸蒸日上	1	17683
aaji	𧆙	0	0
aajj	工日	1	15860
aajj	𢨜	0	0
aajn	𠂼	0	0
aajt	工蜂	1	15470
aajy	工蚁	1	17627
aak	戒	3	30268
aakg	蓳	0	0
aakg	𦱂	0	0
aakg	𦸴	0	0
aakk	工艺品	1	20567
aakk	蓲	0	0
aakm	䕚	0	0
aako	䕿	0	0
aako	䖄	0	0
aako	𧅻	0	0
aako	𧆖	0	0
aakr	𧁲	0	0
aaky	䕼	0	0
aalf	盞	0	19595
aalf	𥁦	0	0
aalk	工架	1	11656
aaln	𧂛	0	0
aalq	𦿏	0	0
aalt	工力	1	9624
aama	工贼	1	10657
aamf	蘳	0	0
aamg	蘣	0	0
aamh	𦭧	0	0
aamj	𧅆	0	0
aamj	𧏤	0	0
aamm	黄花岗	1	10034
aamn	𦶐	0	0
aamq	戒网	1	0
aams	𦵶	0	0
aamu	䔈	0	0
aamu	𧶤	0	0
aamv	节节败退	1	15675
aamv	蒆	0	7049
aamy	茿	0	0
aan	苣	3	14582
aanb	𦭓	0	0
aanf	苣	0	14582
aanf	𦰗	0	0
aanh	戒惧	1	14289
aanh	𦷾	0	0
aanr	草草收兵	1	0
aans	葉	0	28665
aans	𧄠	0	0
aant	𦯋	0	0
aany	戒心	1	19419
aaog	工业	1	32759
aaoh	𧂌	0	0
aaol	戒烟	1	22434
aaou	工料	1	7478
aaoy	葡萄糖	1	20114
aape	工农	1	25584
aapj	敬若神明	1	0
aapn	菠萝蜜	1	15536
aapp	切切实实	1	16101
aaps	𦴇	0	0
aapw	落落寡合	1	0
aaqb	苉	0	0
aaqd	茫茫然	1	0
aaqg	工钱	1	21182
aaqg	𪉅	0	0
aaqh	蔕	0	0
aaqh	𠥖	0	0
aaqk	匿名	1	26104
aaqn	𧀱	0	0
aaqp	𨘬	0	0
aaqy	工贸	1	9457
aaqy	葫芦岛	1	12286
aar	戔	3	0
aar	𦬗	0	0
aarb	匿报	1	0
aarg	工兵	1	21045
aarh	戒掉	1	19914
aarh	𣂧	0	0
aarl	芭蕾舞	1	24585
aarm	AA制	1	12541
aarr	熙熙攘攘	1	17096
aaru	芽接	1	0
aarx	戒指	1	30212
aasa	工模	1	10269
aase	工棚	1	13885
aasg	工本	1	16045
aass	花草树木	1	14084
aasu	式样	1	18722
aasu	𦮇	0	0
aat	荛	3	7049
aata	工长	1	11956
aatf	工行	1	20143
aath	警匪片	1	14180
aati	蓬荜生辉	1	12936
aatk	工程	1	35643
aatl	戒备	1	22542
aatm	式微	1	19483
aatn	蘙	0	0
aatq	荛	0	7049
aats	戒条	1	10489
aatt	工笔	1	10778
aatu	工科	1	19641
aatu	莫斯科	1	28572
aatv	戒律	1	20923
aatx	𢐯	0	0
aaty	切切私语	1	0
aau	芅	3	12993
aaud	工头	1	19867
