# code	trad	simp_peer
amu	貢	贡
blh	陣	阵
cbn	馳	驰
ccy	馭	驭
cdy	馱	驮
cjg	馹	驲
ckh	馴	驯
clg	駟	驷
cmu	貟	贠
cuh	騂	骍
dlh	硨	砗
dlk	厙	厍
dmu	頁	页
fmy	垻	坝
gmu	責	责
hmu	貞	贞
kmy	唄	呗
ldg	軲	轱
ldy	軑	轪
lfh	軒	轩
lmg	軸	轴
lnn	軋	轧
lpk	連	连
lrh	斬	斩
lvn	軌	轨
mef	冑	胄
mjh	則	则
mty	敗	败
nmi	屓	屃
plj	軍	军
qbg	鉺	铒
qbh	釕	钌
qcn	鈀	钯
qdg	鈷	钴
qeg	鈅	钥
qet	釤	钐
qfg	釷	钍
qfh	針	针
qhg	鉬	钼
qhy	釙	钋
qjh	釗	钊
qkh	釧	钏
qlg	鈿	钿
qlh	鉀	钾
qmg	鈾	铀
qmu	負	负
qmy	鋇	钡
qnn	釓	钆
qnn	釔	钇
qoy	鈥	钬
qrg	鉑	铂
qsh	釘	钉
quh	鋅	锌
qvg	釹	钕
qyn	鈁	钫
smu	賈	贾
ubd	聞	闻
udd	閆	闫
ufk	閈	闬
ugd	閂	闩
ugd	閏	闰
ujd	間	间
uji	閩	闽
ukd	問	问
ulk	閘	闸
uni	悶	闷
usi	閑	闲
uwi	閃	闪
uyd	誾	訚
uyi	閔	闵
wlh	俥	伡
xag	紅	红
xfy	紂	纣
xlg	細	细
xnn	紀	纪
xyn	紡	纺
xyy	紋	纹
yag	訌	讧
ydg	詁	诂
yfh	計	计
yfh	訐	讦
yfy	討	讨
yhy	訃	讣
ykh	訓	训
ylk	庫	库
ymh	訕	讪
yng	詡	诩
ynn	記	记
ysh	訂	订
yyn	訪	访
