# code	trad	→simp
aar	戔	戋
bny	恥	耻
cmg	駎	𩧨
cyy	馼	𫘜
dcy	碼	码
deu	長	长
dfd	圧	压
gcu	丟	丢
gcy	瑪	玛
gnr	戸	户
hbj	齒	齿
hqb	見	见
ibn	氾	泛
imy	浿	𬇙
ixg	澠	渑
jcy	螞	蚂
jxg	蠅	蝇
kcy	嗎	吗
lcu	罵	骂
lfi	団	团
lmu	買	买
lvf	婁	娄
mak	冊	册
nrf	習	习
qay	釴	𬬩
qcy	鎷	𨰾
qfd	勻	匀
qkg	釦	扣
qou	魚	鱼
qrh	釿	𬬱
qug	鍆	钔
rcy	払	拂
rfj	皁	皂
rnd	戶	户
rug	捫	扪
scy	榪	杩
tcu	篤	笃
tmh	秈	籼
tmv	処	处
tqb	禿	秃
txd	龜	龟
uci	闖	闯
ucy	馮	冯
ued	閒	闲
uyv	閍	𨸂
vcy	媽	妈
vou	災	灾
vpv	辺	边
vqb	兒	儿
wcy	仏	佛
wcy	傌	㐷
wpu	飠	饣
wsg	価	价
wug	們	们
xbh	鄳	𫑡
xhk	弔	吊
xkh	紃	𬘓
xmg	紬	䌷
xxg	繩	绳
yci	広	广
yfy	対	对
yii	氷	冰
yjf	斉	齐
yjf	齊	齐
yni	応	应
ypd	這	这
yrh	訢	䜣
ysk	庁	厅
