a	あ
aa	ああ
aba	あば
abara	あばら
abu	あぶ
abura	あぶら
ada	あだ
ade	あで
afu	あふ
aga	あが
agito	あぎと
ago	あご
agu	あぐ
ahiru	あひる
ai	あい
aida	あいだ
aka	あか
akagane	あかがね
akane	あかね
akari	あかり
akashi	あかし
akatsuki	あかつき
akaza	あかざ
ake	あけ
akebono	あけぼの
aki	あき
akina	あきな
akira	あきら
akiraka	あきらか
akoga	あこが
aku	あく
akuta	あくた
ama	あま
amane	あまね
amaneshi	あまねし
amari	あまり
amatsusae	あまつさえ
ame	あめ
ami	あみ
an	あん
ana	あな
anado	あなど
anazu	あなず
anzu	あんず
ao	あお
aogiri	あおぎり
aoi	あおい
ara	あら
araga	あらが
arashi	あらし
araso	あらそ
arata	あらた
arawa	あらわ
arawasu	あらわす
areru	あれる
arewa	あれわ
arui	あるい
aruiha	あるいは
aruku	あるく
asa	あさ
asahi	あさひ
ase	あせ
ashi	あし
ashita	あした
aso	あそ
ata	あた
atai	あたい
ataka	あたか
ataru	あたる
atata	あたた
atataka	あたたか
atatameru	あたためる
ate	あて
ato	あと
atsu	あつ
atsui	あつい
atsuka	あつか
awa	あわ
aya	あや
ayaka	あやか
ayama	あやま
ayatsu	あやつ
ayaui	あやうい
ayu	あゆ
ayumi	あゆみ
ayumu	あゆむ
aza	あざ
azake	あざけ
azamu	あざむ
aze	あぜ
azu	あず
azuka	あずか
azusa	あずさ
ba	ば
bai	ばい
baku	ばく
ban	ばん
bara	ばら
bata	ばた
batake	ばたけ
batsu	ばつ
be	べ
bei	べい
ben	べん
beni	べに
betsu	べつ
bi	び
bin	びん
bitsu	びつ
bo	ぼ
bochi	ぼち
boko	ぼこ
boku	ぼく
bon	ぼん
boshi	ぼし
botsu	ぼつ
bou	ぼう
bu	ぶ
bun	ぶん
bune	ぶね
buta	ぶた
butsu	ぶつ
byaku	びゃく
byou	びょう
chaku	ちゃく
chan	ちゃん
chi	ち
chichi	ちち
chidi	ちぢ
chigaya	ちがや
chikiri	ちきり
chiku	ちく
chimata	ちまた
chin	ちん
chitsu	ちつ
cho	ちょ
choku	ちょく
chou	ちょう
chu	ちゅ
chun	ちゅん
chuu	ちゅう
da	だ
dai	だい
dake	だけ
daku	だく
dama	だま
dan	だん
dana	だな
dao	だお
datsu	だつ
de	で
dei	でい
deki	でき
deko	でこ
deku	でく
den	でん
do	ど
doku	どく
domo	ども
don	どん
donburi	どんぶり
doro	どろ
dou	どう
du	づ
duka	づか
duke	づけ
duki	づき
dura	づら
dutsu	づつ
e	え
eba	えば
ebi	えび
ebisu	えびす
eda	えだ
ei	えい
eki	えき
emishi	えみし
en	えん
enoki	えのき
era	えら
eri	えり
esa	えさ
etsu	えつ
fu	ふ
fuchi	ふち
fuda	ふだ
fue	ふえ
fueru	ふえる
fuji	ふじ
fuka	ふか
fuke	ふけ
fuki	ふき
fuku	ふく
fukube	ふくべ
fumoto	ふもと
fun	ふん
funa	ふな
funabata	ふなばた
funaberi	ふなべり
fune	ふね
furu	ふる
fusa	ふさ
fusagu	ふさぐ
fuse	ふせ
fushi	ふし
fusuma	ふすま
futa	ふた
futata	ふたた
futatabi	ふたたび
futo	ふと
futokoro	ふところ
futsu	ふつ
fuu	ふう
fuyasu	ふやす
fuyu	ふゆ
ga	が
gaenji	がえんじ
gai	がい
gakari	がかり
gake	がけ
gaku	がく
gama	がま
gan	がん
gara	がら
gata	がた
ge	げ
gei	げい
geki	げき
gen	げん
getsu	げつ
gi	ぎ
giwa	ぎわ
go	ご
goku	ごく
gomi	ごみ
gon	ごん
goro	ごろ
goto	ごと
gou	ごう
gu	ぐ
gumo	ぐも
guramu	ぐらむ
guru	ぐる
guu	ぐう
gya	ぎゃ
gyaku	ぎゃく
gyo	ぎょ
gyoku	ぎょく
gyou	ぎょう
ha	は
haba	はば
habe	はべ
habiko	はびこ
habu	はぶ
hachi	はち
hachisu	はちす
hadaka	はだか
hagane	はがね
hage	はげ
hagi	はぎ
hagu	はぐ
haguku	はぐく
hai	はい
haji	はじ
hajime	はじめ
haka	はか
hakado	はかど
hakama	はかま
hakari	はかり
hakarigoto	はかりごと
hako	はこ
haku	はく
hama	はま
han	はん
hana	はな
hanaha	はなは
hanahada	はなはだ
hanawa	はなわ
hani	はに
hara	はら
harawata	はらわた
hari	はり
harinezumi	はりねずみ
haru	はる
hasa	はさ
hasha	はしゃ
hashi	はし
hashibami	はしばみ
hashigo	はしご
hasu	はす
hata	はた
hatake	はたけ
hate	はて
hato	はと
hatsu	はつ
haya	はや
hayabusa	はやぶさ
hayai	はやい
hayashi	はやし
hazama	はざま
hazu	はず
hazukashi	はずかし
he	へ
hebi	へび
heda	へだ
hei	へい
heki	へき
heko	へこ
hen	へん
hena	へな
herikuda	へりくだ
hetsu	へつ
hezu	へず
hi	ひ
hibi	ひび
hichikudo	ひちくど
hida	ひだ
hido	ひど
hidume	ひづめ
hige	ひげ
hii	ひい
hiiragi	ひいらぎ
hika	ひか
hikari	ひかり
hiki	ひき
hikii	ひきい
hiko	ひこ
hiku	ひく
hima	ひま
hime	ひめ
himorogi	ひもろぎ
hin	ひん
hina	ひな
hine	ひね
hineku	ひねく
hinoe	ひのえ
hinoki	ひのき
hinoto	ひのと
hira	ひら
hirame	ひらめ
hiro	ひろ
hiroi	ひろい
hiru	ひる
hirugae	ひるがえ
hisa	ひさ
hisago	ひさご
hisashi	ひさし
hishi	ひし
hishikui	ひしくい
hishio	ひしお
hiso	ひそ
hita	ひた
hitai	ひたい
hito	ひと
hitoe	ひとえ
hitomi	ひとみ
hitsu	ひつ
hitsuji	ひつじ
hiya	ひや
hiyoko	ひよこ
ho	ほ
hobo	ほぼ
hoda	ほだ
hodo	ほど
hodoko	ほどこ
hoga	ほが
hoho	ほほ
hojishi	ほじし
hoka	ほか
hoke	ほけ
hoko	ほこ
hokoro	ほころ
hokosaki	ほこさき
hoku	ほく
homa	ほま
home	ほめ
hon	ほん
honoo	ほのお
hoo	ほお
hora	ほら
hori	ほり
horo	ほろ
hoshi	ほし
hoshiimama	ほしいまま
hoso	ほそ
hotohoto	ほとほと
hotoke	ほとけ
hoton	ほとん
hotori	ほとり
hotsu	ほつ
hou	ほう
houki	ほうき
hyaku	ひゃく
hyou	ひょう
hyuu	ひゅう
i	い
ibara	いばら
ibari	いばり
ichigo	いちご
ichijiru	いちじる
ichijirushii	いちじるしい
ida	いだ
ido	いど
iga	いが
igeta	いげた
ihaya	いはや
ii	いい
iji	いじ
ijiku	いじく
ika	いか
ikaduchi	いかづち
ikan	いかん
ikanobori	いかのぼり
ikazuchi	いかずち
iki	いき
ikidoo	いきどお
iko	いこ
iku	いく
ikusa	いくさ
imashi	いまし
imo	いも
in	いん
ina	いな
ine	いね
inishie	いにしえ
ino	いの
inoru	いのる
inoshishi	いのしし
inui	いぬい
io	いお
iori	いおり
irada	いらだ
irie	いりえ
irodo	いろど
irodori	いろどり
irori	いろり
isa	いさ
isagiyo	いさぎよ
