# Batch 1a — freq 10k-15k AA-redup sweep (E bucket).
# Strategy: delete by default; whitelist preserves 37 curated literary
# / real AA reduplications (粼粼/锵锵/忡忡/怏怏/淅淅/涓涓/霏霏/辘辘/...).
# Schema: code\tword\treason
momo	抹抹	noise
xiexie	鞋鞋	noise
xixi	曦曦	noise
daidai	袋袋	noise
xuanxuan	璇璇	name
zhouzhou	舟舟	name
tiantian	湉湉	name
kenken	啃啃	noise
jiangjiang	酱酱	noise
dudu	度度	noise
shanshan	删删	noise
nainai	奈奈	noise
chuichui	捶捶	noise
qiaoqiao	巧巧	noise
miaomiao	妙妙	noise
zhuozhuo	桌桌	noise
susu	酥酥	noise
dudu	毒毒	noise
yingying	颖颖	name
shuaishuai	甩甩	noise
zuizui	嘴嘴	noise
wanwan	碗碗	noise
jiejie	街街	noise
hanhan	翰翰	name
doudou	窦窦	noise
diandian	颠颠	noise
keke	克克	noise
koukou	抠抠	noise
niangniang	嬢嬢	noise
baba	坝坝	noise
shoushou	兽兽	noise
wuwu	捂捂	noise
xiongxiong	凶凶	noise
tangtang	烫烫	noise
shenshen	伸伸	noise
qinqin	沁沁	noise
fufu	敷敷	noise
qiangqiang	抢抢	noise
shuanshuan	涮涮	noise
lili	梨梨	noise
liuliu	留留	noise
youyou	优优	noise
zhouzhou	粥粥	noise
zhezhe	哲哲	name
zhizhi	芝芝	noise
dengdeng	登登	noise
qiqi	骑骑	noise
loulou	搂搂	noise
zhaozhao	招招	noise
jiji	集集	noise
zeizei	贼贼	noise
yanyan	演演	noise
xianxian	纤纤	noise
keke	珂珂	name
xixi	夕夕	noise
pingping	评评	noise
songsong	怂怂	noise
kaokao	烤烤	noise
lanlan	岚岚	name
zhenzhen	震震	noise
kuangkuang	哐哐	noise
panpan	盘盘	noise
zhuzhu	煮煮	noise
jingjing	婧婧	name
qiangqiang	将将	noise
liangliang	量量	noise
xianxian	闲闲	noise
lailai	赖赖	noise
xuanxuan	选选	noise
pinpin	拼拼	noise
lianlian	莲莲	noise
junjun	菌菌	noise
shuoshuo	硕硕	noise
weiwei	伟伟	name
xiongxiong	胸胸	noise
hehe	河河	noise
gugu	股股	noise
hanhan	晗晗	name
maomao	帽帽	noise
toutou	投投	noise
chenchen	辰辰	name
duoduo	哆哆	noise
guagua	挂挂	noise
popo	坡坡	noise
