# Batch 1b — freq < 10000 AA-redup sweep (F bucket, 278 candidates).
# Strategy: blanket delete; literary AA-redups (汩汩/煌煌/笃笃/淙淙/...)
# at this freq band never surface above tier 5 anyway; user-recapture
# path is `source=polish` row (see commit 5a0a00d 凡凡 precedent).
# Schema: code\tword\treason
mianmian	免免	noise
jiejie	桀桀	noise
fenfen	粉粉	noise
mengmeng	盟盟	noise
pingping	乒乒	onomatopoeia_partial
gugu	汩汩	noise
tete	忒忒	noise
dudu	赌赌	noise
hengheng	横横	noise
yiyi	怡怡	noise
tongtong	筒筒	noise
tantan	坛坛	noise
huanghuang	煌煌	noise
youyou	忧忧	noise
mama	玛玛	noise
youyou	幼幼	noise
tingting	庭庭	noise
xuanxuan	旋旋	noise
anan	俺俺	noise
guigui	跪跪	noise
jinjin	锦锦	name
lala	喇喇	noise
longlong	笼笼	noise
pangpang	庞庞	name
qianqian	潜潜	noise
xunxun	巡巡	noise
yunyun	允允	noise
yuyu	瑜瑜	name
chenchen	臣臣	name
shushu	蜀蜀	noise
xiexie	屑屑	noise
dingding	丁丁	name
pupu	铺铺	noise
yongyong	泳泳	noise
ee	恶恶	noise
ewu	恶恶	noise
wue	恶恶	noise
wuwu	恶恶	noise
diedie	碟碟	noise
miaomiao	庙庙	noise
qiqi	旗旗	noise
tuntun	屯屯	noise
lulu	炉炉	noise
diedie	蝶蝶	noise
fufu	弗弗	noise
keke	嗑嗑	noise
niangniang	酿酿	noise
shenshen	审审	noise
zongzong	粽粽	noise
nainai	耐耐	noise
baobao	煲煲	noise
jiaojiao	饺饺	noise
momo	魔魔	noise
titi	剃剃	noise
wenwen	吻吻	noise
yiyi	忆忆	noise
zuzu	族族	noise
duidui	兑兑	noise
fufu	腐腐	noise
huanhuan	幻幻	noise
fenfen	粪粪	noise
jianjian	煎煎	noise
kongkong	恐恐	noise
qiangqiang	呛呛	noise
weiwei	胃胃	noise
yinyin	饮饮	noise
youyou	邮邮	noise
cece	侧侧	noise
zhizhi	职职	noise
liaoliao	疗疗	noise
lielie	猎猎	noise
sasa	萨萨	name
leilei	勒勒	noise
xingxing	悻悻	noise
chuangchuang	幢幢	noise
titi	踢踢	noise
sengseng	僧僧	noise
beibei	倍倍	noise
kuku	库库	noise
chanchan	蝉蝉	noise
huhu	壶壶	noise
jiajia	贾贾	noise
lianlian	炼炼	name
lielie	裂裂	noise
lili	厉厉	noise
papa	葩葩	noise
tantan	叹叹	noise
taotao	讨讨	noise
xiexie	邪邪	noise
suosuo	琐琐	noise
ganggang	缸缸	noise
fangfang	防防	noise
gougou	钩钩	noise
aiai	挨挨	noise
chichi	翅翅	noise
laolao	劳劳	noise
caicai	财财	noise
cancan	残残	noise
chichi	哧哧	onomatopoeia_partial
cuncun	寸寸	noise
daodao	捣捣	noise
fufu	肤肤	noise
huaihuai	淮淮	noise
jianjian	剑剑	noise
lulu	卢卢	noise
meimei	玫玫	noise
wuwu	雾雾	noise
yanyan	恹恹	noise
zhengzheng	峥峥	noise
dudu	督督	noise
tantan	碳碳	noise
gege	阁阁	noise
shoushou	守守	noise
guanguan	惯惯	noise
guanguan	灌灌	noise
hengheng	亨亨	noise
jinjin	巾巾	noise
nene	讷讷	noise
susu	窣窣	noise
wuwu	悟悟	noise
xiangxiang	享享	noise
xiaxia	侠侠	noise
yueyue	粤粤	noise
zaozao	枣枣	noise
zhizhi	汁汁	noise
zhizhi	织织	noise
bobo	菠菠	noise
cencen	涔涔	noise
fufu	副副	noise
shushu	淑淑	noise
zhenzhen	朕朕	noise
baobao	剥剥	noise
cuocuo	措措	noise
daidai	逮逮	noise
daodao	盗盗	noise
jiangjiang	僵僵	noise
miaomiao	描描	noise
shishi	狮狮	noise
jiejie	截截	noise
congcong	淙淙	noise
nainai	妳妳	noise
caocao	槽槽	noise
cece	厕厕	noise
dundun	囤囤	noise
fufu	拂拂	noise
gougou	苟苟	noise
huihui	悔悔	noise
lulu	芦芦	noise
shengsheng	胜胜	noise
sunsun	笋笋	noise
tutu	屠屠	noise
xingxing	腥腥	noise
zaizai	宰宰	noise
chengcheng	乘乘	noise
feifei	啡啡	noise
jianjian	舰舰	noise
aiai	哀哀	noise
songsong	耸耸	noise
liangliang	踉踉	noise
baba	疤疤	noise
banban	扮扮	noise
chichi	驰驰	noise
dingding	盯盯	noise
jiejie	捷捷	noise
kuakua	跨跨	noise
tantan	瘫瘫	noise
wanwan	莞莞	noise
weiwei	猥猥	noise
wuwu	乌乌	noise
yiyi	毅毅	noise
rongrong	溶溶	noise
caocao	曹曹	noise
dingding	订订	noise
momo	膜膜	noise
qiqi	妻妻	noise
shanshan	衫衫	noise
dudu	笃笃	noise
pipi	披披	noise
penpen	喷喷	noise
chouchou	仇仇	noise
juanjuan	捐捐	noise
xuxu	吁吁	noise
binbin	滨滨	noise
chunchun	唇唇	noise
fenfen	奋奋	noise
genggeng	梗梗	noise
huihui	毁毁	noise
kuikui	亏亏	noise
tantan	毯毯	noise
tutu	途途	noise
xixi	晰晰	noise
yaya	鸦鸦	noise
zhengzheng	挣挣	noise
hunhun	魂魂	noise
shuishui	税税	noise
yingying	荧荧	noise
ruru	蠕蠕	noise
dundun	钝钝	noise
zhengzheng	怔怔	noise
zhenzhen	蓁蓁	noise
lanlan	兰兰	name
shenshen	申申	noise
zuizui	罪罪	noise
gaogao	杲杲	noise
juju	踽踽	noise
xuxu	煦煦	noise
paopao	跑跑	noise
jiji	汲汲	noise
chengcheng	程程	noise
wowo	沃沃	noise
juju	锯锯	noise
junjun	郡郡	noise
xianxian	险险	noise
xiaoxiao	哓哓	noise
chunchun	醇醇	noise
lingling	陵陵	noise
caca	擦擦	noise
changchang	昌昌	noise
huahua	华华	noise
yaya	雅雅	noise
erer	尔尔	noise
fengfeng	封封	noise
huanghuang	黄黄	noise
jingjing	井井	noise
rongrong	容容	noise
xianxian	鲜鲜	noise
yinyin	印印	noise
yuyu	于于	noise
koukou	扣扣	noise
juanjuan	眷眷	noise
yaya	轧轧	noise
zhangzhang	彰彰	noise
sheshe	设设	noise
aiai	艾艾	noise
lili	黎黎	noise
pupu	朴朴	noise
shishi	施施	noise
wenwen	温温	noise
zhanzhan	展展	noise
benben	苯苯	noise
kengkeng	铿铿	noise
wanwan	婠婠	noise
yeye	噎噎	noise
sisi	咝咝	onomatopoeia_partial
zhuozhuo	濯濯	noise
linlin	鳞鳞	noise
lanlan	烂烂	noise
shuangshuang	爽爽	noise
yiyi	悒悒	noise
aiai	蔼蔼	noise
sheshe	射射	noise
keke	渴渴	noise
chuochuo	戳戳	noise
lili	呖呖	onomatopoeia_partial
linlin	辚辚	noise
zhengzheng	诤诤	noise
aiai	霭霭	noise
jiji	鸡鸡	noise
shanshan	潸潸	noise
changchang	怅怅	noise
gungun	衮衮	noise
shanshan	讪讪	noise
kaokao	靠靠	noise
chouchou	抽抽	zero_freq_dead_row
dangdang	噹噹	onomatopoeia_partial
diaodiao	吊吊	zero_freq_dead_row
dundun	惇惇	zero_freq_dead_row
gugu	鸪鸪	zero_freq_dead_row
guigui	硅硅	zero_freq_dead_row
guoguo	嘓嘓	zero_freq_dead_row
lingling	呤呤	zero_freq_dead_row
linlin	磷磷	onomatopoeia_partial
luoluo	荦荦	zero_freq_dead_row
niaoniao	嫋嫋	zero_freq_dead_row
pipi	狉狉	zero_freq_dead_row
ruru	嚅嚅	zero_freq_dead_row
xiaoxiao	销销	zero_freq_dead_row
zhizhi	蜘蜘	zero_freq_dead_row
