# code	word	freq	source	class_hint
haha	哈哈	48791	digested	onomatopoeia
xiexie	谢谢	45110	digested	unknown
kankan	看看	44049	digested	verb_redup
haohao	好好	44017	digested	adj_redup
mama	妈妈	41242	digested	unknown
jiejie	姐姐	40713	digested	unknown
gege	哥哥	40580	digested	unknown
dengdeng	等等	40340	digested	verb_redup
ganggang	刚刚	39994	digested	name
tiantian	天天	39769	digested	unknown
manman	慢慢	39309	digested	verb_redup
hehe	呵呵	38763	digested	onomatopoeia
meimei	妹妹	38338	digested	unknown
baobao	宝宝	37805	digested	name
xiangxiang	想想	37797	digested	verb_redup
shishi	试试	37602	digested	verb_redup
didi	弟弟	37380	digested	unknown
heihei	嘿嘿	37125	digested	onomatopoeia
mingming	明明	36742	digested	name
taitai	太太	36561	digested	unknown
shushu	叔叔	36002	digested	unknown
nainai	奶奶	35817	digested	unknown
dada	大大	35148	digested	adj_redup
renren	人人	35067	digested	unknown
baobao	抱抱	34990	digested	unknown
toutou	偷偷	34915	digested	unknown
wenwen	问问	34650	digested	verb_redup
diandian	点点	34572	digested	unknown
momo	默默	34509	digested	unknown
yeye	爷爷	34505	digested	unknown
shenshen	深深	34410	digested	adj_redup
yiyi	一一	34270	digested	unknown
wawa	娃娃	33869	digested	unknown
xiaoxiao	小小	33711	digested	adj_redup
baba	爸爸	33492	digested	unknown
jinjin	仅仅	33483	digested	unknown
xingxing	星星	33431	digested	unknown
tantan	谈谈	33263	digested	verb_redup
duoduo	多多	33083	digested	adj_redup
xixi	嘻嘻	33015	digested	onomatopoeia
wangwang	往往	33014	digested	unknown
tingting	听听	32893	digested	verb_redup
zouzou	走走	32773	digested	verb_redup
momo	摸摸	32694	digested	verb_redup
changchang	常常	32642	digested	unknown
manman	满满	32451	digested	unknown
wuwu	呜呜	32379	digested	onomatopoeia
liaoliao	聊聊	32361	digested	verb_redup
qiaoqiao	悄悄	32296	digested	unknown
guaiguai	乖乖	32258	digested	name
gege	个个	32255	digested	unknown
popo	婆婆	31845	digested	unknown
wanwan	玩玩	31543	digested	verb_redup
kuaikuai	快快	31501	digested	adj_redup
meimei	美美	31394	digested	name
jingjing	静静	31316	digested	adj_redup
lailai	来来	31256	digested	unknown
huahua	花花	31254	digested	unknown
baibai	拜拜	30985	digested	unknown
yuanyuan	远远	30955	digested	adj_redup
xuexue	学学	30910	digested	unknown
zeze	啧啧	30804	digested	onomatopoeia
baibai	白白	30733	digested	unknown
lala	拉拉	30611	digested	verb_redup
zhengzheng	整整	30608	digested	unknown
qingqing	轻轻	30549	digested	adj_redup
gaogao	高高	30453	digested	adj_redup
zaozao	早早	30296	digested	unknown
huahua	画画	30245	digested	unknown
wawa	哇哇	30237	digested	unknown
maomao	毛毛	30128	digested	unknown
changchang	尝尝	30080	digested	verb_redup
duidui	对对	30013	digested	unknown
caicai	猜猜	29764	digested	verb_redup
kaikai	开开	29684	digested	unknown
xixi	洗洗	29653	digested	unknown
gougou	狗狗	29461	digested	name
congcong	匆匆	29451	digested	unknown
chuchu	处处	29351	digested	unknown
jianjian	渐渐	29337	digested	unknown
liaoliao	了了	29337	digested	unknown
gaga	嘎嘎	29231	digested	onomatopoeia
hengheng	哼哼	29223	digested	unknown
changchang	长长	29205	digested	adj_redup
niangniang	娘娘	29181	digested	unknown
anan	安安	29146	digested	unknown
xinxin	心心	28933	digested	unknown
pingping	平平	28854	digested	unknown
jinjin	紧紧	28792	digested	unknown
yaya	呀呀	28787	digested	unknown
henhen	狠狠	28784	digested	unknown
jianjian	见见	28643	digested	unknown
bubu	步步	28623	digested	unknown
zhuanzhuan	转转	28620	digested	verb_redup
huhu	呼呼	28520	digested	onomatopoeia
shishi	事事	28519	digested	unknown
bangbang	棒棒	28440	digested	unknown
paopao	泡泡	28396	digested	unknown
jiujiu	舅舅	28363	digested	unknown
guangguang	逛逛	28362	digested	unknown
pianpian	偏偏	28305	digested	unknown
zhazha	查查	28225	digested	unknown
pangpang	胖胖	28169	digested	unknown
qiaoqiao	瞧瞧	28089	digested	verb_redup
jiajia	家家	28048	digested	unknown
kuku	苦苦	27984	digested	adj_redup
maimai	买买	27979	digested	unknown
dudu	嘟嘟	27930	digested	name
laolao	姥姥	27921	digested	unknown
gugu	姑姑	27904	digested	unknown
weiwei	微微	27884	digested	unknown
dandan	蛋蛋	27882	digested	unknown
mama	麻麻	27846	digested	unknown
wangwang	汪汪	27834	digested	onomatopoeia
nana	娜娜	27802	digested	name
baba	巴巴	27696	digested	unknown
fenfen	纷纷	27665	digested	unknown
zhongzhong	种种	27587	digested	unknown
dongdong	东东	27535	digested	unknown
dandan	淡淡	27519	digested	adj_redup
wanwan	万万	27506	digested	unknown
paipai	拍拍	27439	digested	verb_redup
shengsheng	生生	27415	digested	adj_redup
xiaoxiao	笑笑	27362	digested	verb_redup
moumou	某某	27347	digested	unknown
niannian	念念	27319	digested	verb_redup
lele	乐乐	27307	digested	unknown
honghong	红红	27301	digested	unknown
baobao	包包	27244	digested	unknown
qiaqia	恰恰	27241	digested	unknown
shishi	时时	27227	digested	unknown
aoao	嗷嗷	27198	digested	unknown
didi	滴滴	27168	digested	unknown
xixi	西西	27135	digested	unknown
dada	打打	27096	digested	verb_redup
shanshan	闪闪	27079	digested	unknown
manman	漫漫	27067	digested	unknown
chongchong	重重	27017	digested	adj_redup
tiantian	甜甜	26968	digested	adj_redup
jiujiu	救救	26958	digested	unknown
jiangjiang	讲讲	26952	digested	verb_redup
bangbang	帮帮	26946	digested	unknown
zuizui	最最	26881	digested	unknown
dandan	单单	26878	digested	unknown
sese	瑟瑟	26855	digested	unknown
jiujiu	久久	26746	digested	unknown
zuozuo	做做	26746	digested	verb_redup
bingbing	冰冰	26640	digested	unknown
gonggong	公公	26606	digested	unknown
zuozuo	坐坐	26565	digested	verb_redup
mangmang	茫茫	26508	digested	unknown
shishi	实实	26505	digested	unknown
jiji	唧唧	26460	digested	unknown
lili	莉莉	26459	digested	name
duanduan	短短	26434	digested	adj_redup
fenfen	分分	26427	digested	unknown
quanquan	圈圈	26401	digested	unknown
gege	格格	26390	digested	unknown
xingxing	猩猩	26382	digested	unknown
kaka	卡卡	26300	digested	unknown
zhenzhen	真真	26259	digested	unknown
xiaxia	下下	26134	digested	unknown
tongtong	通通	26079	digested	unknown
huanhuan	换换	26051	digested	unknown
lianlian	连连	26027	digested	unknown
riri	日日	26016	digested	unknown
mengmeng	萌萌	25908	digested	name
rourou	肉肉	25883	digested	unknown
xiongxiong	熊熊	25845	digested	unknown
bibi	比比	25820	digested	unknown
huanhuan	缓缓	25819	digested	verb_redup
keke	可可	25811	digested	unknown
zizi	滋滋	25695	digested	unknown
kongkong	空空	25647	digested	unknown
xiexie	歇歇	25640	digested	verb_redup
dangdang	当当	25639	digested	unknown
tongtong	统统	25630	digested	unknown
zhaozhao	找找	25627	digested	verb_redup
cici	次次	25620	digested	unknown
yuanyuan	圆圆	25592	digested	adj_redup
tuantuan	团团	25528	digested	unknown
xingxing	醒醒	25489	digested	unknown
guangguang	光光	25437	digested	unknown
shangshang	上上	25395	digested	unknown
bobo	波波	25387	digested	name
youyou	悠悠	25373	digested	unknown
laolao	牢牢	25314	digested	unknown
hanghang	行行	25224	digested	unknown
doudou	痘痘	25159	digested	unknown
baba	粑粑	25146	digested	unknown
tingting	停停	25126	digested	verb_redup
benben	本本	25096	digested	unknown
qiqi	七七	25095	digested	unknown
banban	般般	25090	digested	unknown
jiaojiao	教教	25040	digested	unknown
qinqin	亲亲	25040	digested	unknown
nuannuan	暖暖	25023	digested	adj_redup
ququ	去去	25010	digested	unknown
tingting	婷婷	25001	digested	name
huihui	会会	24980	digested	unknown
guoguo	国国	24893	digested	unknown
weiwei	薇薇	24881	digested	name
rangrang	嚷嚷	24861	digested	unknown
mianmian	绵绵	24842	digested	unknown
youyou	友友	24792	digested	unknown
qianqian	千千	24764	digested	unknown
piaopiao	飘飘	24755	digested	unknown
yangyang	痒痒	24741	digested	unknown
houhou	吼吼	24726	digested	unknown
suansuan	算算	24716	digested	verb_redup
pipi	皮皮	24715	digested	unknown
xiangxiang	香香	24673	digested	adj_redup
doudou	豆豆	24646	digested	name
maomao	猫猫	24642	digested	name
wangwang	旺旺	24625	digested	unknown
leilei	累累	24610	digested	unknown
shuashua	刷刷	24545	digested	unknown
zuzu	足足	24493	digested	unknown
xixi	细细	24440	digested	adj_redup
hehe	喝喝	24425	digested	verb_redup
bubu	补补	24422	digested	unknown
xiexie	写写	24355	digested	verb_redup
mengmeng	蒙蒙	24296	digested	unknown
qingqing	清清	24287	digested	adj_redup
guaiguai	怪怪	24280	digested	unknown
papa	啪啪	24230	digested	unknown
fangfang	方方	24225	digested	adj_redup
shanshan	姗姗	24216	digested	unknown
chuanchuan	串串	24213	digested	unknown
shaoshao	稍稍	24175	digested	unknown
shuaishuai	帅帅	24160	digested	name
lili	丽丽	24131	digested	name
shasha	莎莎	24107	digested	name
doudou	兜兜	24054	digested	name
qiuqiu	求求	23969	digested	unknown
yangyang	样样	23938	digested	unknown
honghong	轰轰	23930	digested	unknown
yaoyao	摇摇	23901	digested	verb_redup
guoguo	过过	23895	digested	unknown
qieqie	切切	23844	digested	unknown
wengweng	嗡嗡	23826	digested	unknown
houhou	厚厚	23812	digested	adj_redup
shenshen	婶婶	23794	digested	unknown
sisi	思思	23791	digested	unknown
zhuzhu	猪猪	23788	digested	unknown
xinxin	欣欣	23751	digested	unknown
yuanyuan	源源	23743	digested	unknown
huohuo	活活	23652	digested	unknown
luoluo	落落	23608	digested	unknown
toutou	头头	23603	digested	unknown
kuku	哭哭	23600	digested	verb_redup
lvelve	略略	23597	digested	unknown
ruanruan	软软	23595	digested	adj_redup
jiujiu	九九	23520	digested	unknown
tiaodiao	调调	23517	digested	unknown
shunshun	顺顺	23493	digested	unknown
benben	奔奔	23476	digested	unknown
mianmian	面面	23470	digested	unknown
yangyang	洋洋	23469	digested	unknown
dongdong	咚咚	23466	digested	onomatopoeia
shoushou	瘦瘦	23463	digested	unknown
tiaotiao	条条	23426	digested	unknown
cheche	车车	23414	digested	unknown
huhu	糊糊	23405	digested	unknown
papa	怕怕	23389	digested	unknown
cengceng	层层	23377	digested	unknown
miaomiao	喵喵	23335	digested	onomatopoeia
dudu	读读	23331	digested	verb_redup
zhengzheng	正正	23293	digested	unknown
qiqi	齐齐	23288	digested	unknown
xixi	兮兮	23275	digested	unknown
qiuqiu	球球	23261	digested	unknown
juju	聚聚	23145	digested	unknown
chenchen	晨晨	23134	digested	name
duoduo	朵朵	23130	digested	unknown
keke	科科	23125	digested	unknown
liuliu	溜溜	23121	digested	unknown
bobo	伯伯	23105	digested	unknown
liangliang	亮亮	23088	digested	name
zhizhi	吱吱	23087	digested	unknown
yinyin	隐隐	23076	digested	unknown
sheishei	谁谁	23072	digested	unknown
sheishui	谁谁	23072	digested	unknown
shuishei	谁谁	23072	digested	unknown
shuishui	谁谁	23072	digested	unknown
shasha	傻傻	23070	digested	unknown
xiuxiu	修修	23070	digested	unknown
tangtang	堂堂	23040	digested	unknown
guanguan	管管	23034	digested	unknown
zhazha	渣渣	23025	digested	unknown
chichi	迟迟	22993	digested	unknown
gugu	咕咕	22991	digested	onomatopoeia
feifei	飞飞	22967	digested	unknown
zhenzhen	阵阵	22956	digested	unknown
songsong	松松	22951	digested	unknown
guoguo	果果	22950	digested	unknown
nongnong	浓浓	22942	digested	adj_redup
juju	句句	22937	digested	unknown
liangliang	凉凉	22937	digested	adj_redup
chouchou	瞅瞅	22922	digested	verb_redup
shaishai	晒晒	22906	digested	unknown
lulu	露露	22875	digested	unknown
bianbian	便便	22795	digested	unknown
sansan	散散	22781	digested	unknown
qiqi	奇奇	22775	digested	unknown
yaoyao	遥遥	22765	digested	unknown
dangdang	荡荡	22719	digested	unknown
kuakua	夸夸	22715	digested	unknown
ganggang	杠杠	22703	digested	unknown
chuchu	楚楚	22682	digested	unknown
jiji	叽叽	22675	digested	onomatopoeia
qiqi	琪琪	22673	digested	name
tutu	兔兔	22656	digested	unknown
meimei	每每	22650	digested	unknown
huihui	回回	22624	digested	unknown
pianpian	片片	22609	digested	unknown
bobo	勃勃	22591	digested	unknown
laolao	老老	22540	digested	adj_redup
yeye	夜夜	22521	digested	unknown
pengpeng	碰碰	22510	digested	verb_redup
jingjing	晶晶	22502	digested	unknown
erer	二二	22496	digested	unknown
wuwu	五五	22495	digested	unknown
rere	热热	22465	digested	adj_redup
lengleng	冷冷	22459	digested	adj_redup
yiyi	翼翼	22443	digested	unknown
huihui	灰灰	22382	digested	unknown
lingling	零零	22381	digested	unknown
lingling	玲玲	22371	digested	unknown
shaoshao	少少	22366	digested	adj_redup
jiujiu	啾啾	22359	digested	unknown
mangmang	忙忙	22333	digested	unknown
beibei	贝贝	22329	digested	name
daidai	呆呆	22283	digested	unknown
yongyong	用用	22280	digested	unknown
huahua	哗哗	22242	digested	unknown
liuliu	六六	22210	digested	unknown
zhanzhan	沾沾	22210	digested	unknown
chuchu	出出	22149	digested	unknown
gege	咯咯	22146	digested	onomatopoeia
suansuan	酸酸	22143	digested	adj_redup
mengmeng	梦梦	22142	digested	unknown
niuniu	妞妞	22095	digested	unknown
sansan	三三	22076	digested	unknown
shuangshuang	双双	22049	digested	unknown
wenwen	稳稳	21971	digested	unknown
gugu	呱呱	21954	digested	unknown
daodao	叨叨	21935	digested	unknown
wanwan	弯弯	21935	digested	adj_redup
lianlian	练练	21916	digested	unknown
yaya	压压	21893	digested	unknown
peipei	陪陪	21862	digested	unknown
xiaoxiao	消消	21861	digested	unknown
huanhuan	欢欢	21860	digested	unknown
shasha	啥啥	21849	digested	unknown
pipi	屁屁	21796	digested	unknown
