
# strict-0001 auto-polish (54 quickfix from SOFT+single-HARD)
lu	麓	30000	# strict-0001 HARD single
chu	处	30000
daji	大计	30000
jian	间	30000
xin	新	30000
hehu	呵护	30000
zhishi	指示	30000
hu	湖	30000
yang	阳	30000
gong	共	30000
gao	搞	30000
dingli	定力	30000
chakan	察看	30000
licheng	历程	30000
duxing	笃行	30000
budai	不怠	30000
jiujiu	久久	30000
qipan	期盼	30000
wang	望	30000
si	思	30000
shi	时	30000
duan	段	30000
shiguan	事关	30000
he	河	30000
shige	时隔	30000
mei	美	30000
yi	以	30000
qixu	期许	30000
wei	未	30000
bian	变	30000
buru	步入	30000
caochang	草场	30000
fukan	俯瞰	30000
zhichu	指出	30000
jian	建	30000
lin	林	30000
ta	它	30000
zhe	着	30000
shadi	沙地	30000
fangyan	放眼	30000
zhengzhi	整治	30000
jinyu	禁渔	30000
shuai	甩	30000
men	们	30000
zhifu	致富	30000
huiyi	回忆	30000
qingjie	情结	30000
jumu	举目	30000
gan	感	30000
zaixian	再现	30000
zaojiu	造就	30000
shijian	实践	30000
fuzhi	福祉	30000
tujing	图景	30000
