# auto-segmented exhaustively via jieba (skips ultra-trivial single chars)
# idx	word	pinyin	reason
001	大美	damei	auto-jieba
002	中国	zhongguo	auto-jieba
003	江山如画	jiangshanruhua	auto-jieba
004	党	dang	auto-jieba
005	十八	shiba	auto-jieba
006	大	da	auto-jieba
007	以来	yilai	auto-jieba
008	习近平	xijinping	auto-jieba
009	总书记	zongshuji	auto-jieba
010	考察	kaocha	auto-jieba
011	足迹	zuji	auto-jieba
012	遍及	bianji	auto-jieba
013	神州大地	shenzhoudadi	auto-jieba
014	祁连山	qilianshan	auto-jieba
015	麓	lu	auto-jieba
016	坝上	bashang	auto-jieba
017	林海	linhai	auto-jieba
018	秦岭	qinling	auto-jieba
019	深处	shenchu	auto-jieba
020	黄	huang	auto-jieba
021	河之滨	hezhibin	auto-jieba
022	大江	dajiang	auto-jieba
023	奔涌	benyong	auto-jieba
024	处	chu	auto-jieba
025	谋划	mouhua	auto-jieba
026	千秋	qianqiu	auto-jieba
027	大计	daji	auto-jieba
028	山川	shanchuan	auto-jieba
029	锦绣	jinxiu	auto-jieba
030	间	jian	auto-jieba
031	擘画	bohua	auto-jieba
032	生态	shengtai	auto-jieba
033	蓝图	lantu	auto-jieba
034	一系列	yixilie	auto-jieba
035	重要	zhongyao	auto-jieba
036	论述	lunshu	auto-jieba
037	为	wei	auto-jieba
038	新	xin	auto-jieba
039	时代	shidai	auto-jieba
040	文明	wenming	auto-jieba
041	建设	jianshe	auto-jieba
042	提供	tigong	auto-jieba
043	根本	genben	auto-jieba
044	遵循	zunxun	auto-jieba
045	行动指南	xingdongzhinan	auto-jieba
046	世界	shijie	auto-jieba
047	环境	huanjing	auto-jieba
048	日	ri	auto-jieba
049	到来之际	daolaizhiji	auto-jieba
050	我们	women	auto-jieba
051	跟随	gensui	auto-jieba
052	脚步	jiaobu	auto-jieba
053	一起	yiqi	auto-jieba
054	呵护	hehu	auto-jieba
055	山水	shanshui	auto-jieba
056	寄情	jiqing	auto-jieba
