# article 0003 — 刘国中 安徽调研 (linear typing plan)
# idx \t word \t pinyin \t reason

# SKIP-PERSON 0001	刘国中	liuguozhong	linear
0002	在	zai	linear
0003	安徽	anhui	linear
0004	调研	diaoyan	linear
0005	时	shi	linear
0006	强调	qiangdiao	linear
0007	全力以赴	quanliyifu	linear
0008	夺取	duoqu	linear
0009	夏粮	xialiang	linear
0010	丰收	fengshou	linear
0011	全面	quanmian	linear
0012	打牢	dalao	linear
0013	秋粮	qiuliang	linear
0014	生产	shengchan	linear
0015	基础	jichu	linear
# SKIP-PERSON 0016	刘国中	liuguozhong	linear
0017	先后	xianhou	linear
0018	来到	laidao	linear
0019	宿州市	suzhoushi	linear
0020	淮南市	huainanshi	linear
0021	六安市	luanshi	linear
0022	深入	shenru	linear
0023	小麦	xiaomai	linear
0024	机收	jishou	linear
0025	和	he	linear
0026	夏播	xiabo	linear
0027	现场	xianchang	linear
0028	农机	nongji	linear
0029	跨区	kuaqu	linear
0030	作业	zuoye	linear
0031	服务	fuwu	linear
0032	点	dian	linear
0033	农事	nongshi	linear
0034	服务	fuwu	linear
0035	中心	zhongxin	linear
0036	粮食	liangshi	linear
0037	仓储	cangchu	linear
0038	中心	zhongxin	linear
0039	地方	difang	linear
0040	农科院	nongkeyuan	linear
0041	等	deng	linear
0042	实地	shidi	linear
0043	察看	chakan	linear
0044	夏收	xiashou	linear
0045	夏种	xiazhong	linear
0046	农机	nongji	linear
0047	作业	zuoye	linear
0048	服务	fuwu	linear
0049	保障	baozhang	linear
0050	粮食	liangshi	linear
0051	烘干	honggan	linear
0052	收储	shouchu	linear
0053	等	deng	linear
0054	工作	gongzuo	linear
0055	详细	xiangxi	linear
0056	了解	liaojie	linear
0057	农作物	nongzuowu	linear
0058	新品种	xinpinzhong	linear
0059	选育	xuanyu	linear
0060	大面积	damianji	linear
0061	单产	danchan	linear
0062	提升	tisheng	linear
0063	农资	nongzi	linear
0064	保供	baogong	linear
0065	稳价	wenjia	linear
0066	高标准	gaobiaozhun	linear
0067	农田	nongtian	linear
0068	建设	jianshe	linear
0069	等	deng	linear
0070	情况	qingkuang	linear
# SKIP-PERSON 0071	刘国中	liuguozhong	linear
0072	强调	qiangdiao	linear
0073	三夏	sanxia	linear
0074	工作	gongzuo	linear
