# article 0005 — 丁薛祥 山西调研 (linear typing plan)
# idx \t word \t pinyin \t reason

# SKIP-PERSON 0001	丁薛祥	dingxuexiang	linear
0002	在	zai	linear
0003	山西	shanxi	linear
0004	调研	diaoyan	linear
0005	时	shi	linear
0006	强调	qiangdiao	linear
0007	守	shou	linear
0008	好	hao	linear
0009	公平	gongping	linear
0010	公正	gongzheng	linear
0011	生命线	shengmingxian	linear
0012	确保	quebao	linear
0013	实现	shixian	linear
0014	平安	pingan	linear
0015	高考	gaokao	linear
0016	目标	mubiao	linear
# SKIP-PERSON 0017	丁薛祥	dingxuexiang	linear
0018	首先	shouxian	linear
0019	前往	qianwang	linear
0020	山西省	shanxisheng	linear
0021	招生	zhaosheng	linear
0022	考试	kaoshi	linear
0023	管理	guanli	linear
0024	中心	zhongxin	linear
0025	和	he	linear
0026	太原市	taiyuanshi	linear
0027	晋源区	jinyuanqu	linear
0028	实验	shiyan	linear
0029	中学	zhongxue	linear
0030	考点	kaodian	linear
0031	听取	tingqu	linear
0032	高考	gaokao	linear
0033	工作	gongzuo	linear
0034	情况	qingkuang	linear
0035	汇报	huibao	linear
0036	实地	shidi	linear
0037	察看	chakan	linear
0038	考务	kaowu	linear
0039	组织	zuzhi	linear
0040	各	ge	linear
0041	环节	huanjie	linear
0042	工作	gongzuo	linear
0043	情况	qingkuang	linear
0044	他	ta	linear
0045	说	shuo	linear
0046	高考	gaokao	linear
0047	事关	shiguan	linear
0048	国计民生	guojiminsheng	linear
0049	关系	guanxi	linear
0050	千家万户	qianjiawanhu	linear
0051	切身	qieshen	linear
0052	利益	liyi	linear
0053	要	yao	linear
0054	认真	renzhen	linear
0055	学习	xuexi	linear
0056	贯彻	guanche	linear
# SKIP-PERSON 0057	习近平	xijinping	linear
0058	总书记	zongshuji	linear
0059	重要	zhongyao	linear
0060	指示	zhishi	linear
0061	精神	jingshen	linear
0062	贯彻	guanche	linear
0063	落实	luoshi	linear
0064	党中央	dangzhongyang	linear
0065	和	he	linear
0066	国务院	guowuyuan	linear
0067	决策	juece	linear
0068	部署	bushu	linear
0069	确保	quebao	linear
0070	实现	shixian	linear
