# B051 — 氪星晚报 小米人事+松下AI (科技数码/晚报)
# Persons skipped: 王晓雁4x 陈幕楠3x 樊家麟 夏志国 张健 陈恺 斯科特 贝森特3x

0001	氪星	kexing	linear
0002	晚报	wanbao	linear
0003	小米	xiaomi	linear
0004	人事	renshi	linear
0005	调整	tiaozheng	linear
0006	中国区	zhongguoqu	linear
0007	总裁	zongcai	linear
0008	不再	buzai	linear
0009	兼任	jianren	linear
0010	销售	xiaoshou	linear
0011	运营	yunying	linear
0012	一部	yibu	linear
0013	总经理	zongjingli	linear
0014	接任	jieren	linear
0015	松下	songxia	linear
0016	计划	jihua	linear
0017	进一步	jinyibu	linear
0018	拓展	tuozhan	linear
0019	人工智能	rengongzhineng	linear
0020	业务	yewu	linear
0021	大公司	dagongsi	linear
0022	光线传媒	guangxianchuanmei	linear
0023	已	yi	linear
0024	与	yu	linear
0025	合作方	hezuofang	linear
0026	组建	zujian	linear
0027	游戏	youxi	linear
0028	公司	gongsi	linear
0029	首款	shoukuan	linear
0030	游戏	youxi	linear
0031	计划	jihua	linear
0032	用	yong	linear
0033	三年	sannian	linear
0034	左右	zuoyou	linear
0035	时间	shijian	linear
0036	推出	tuichu	linear
0037	氪	ke	linear
0038	获悉	huoxi	linear
0039	光线传媒	guangxianchuanmei	linear
0040	在	zai	linear
0041	互动	hudong	linear
0042	平台	pingtai	linear
0043	表示	biaoshi	linear
0044	公司	gongsi	linear
0045	已	yi	linear
0046	与	yu	linear
0047	合作方	hezuofang	linear
0048	组建	zujian	linear
0049	游戏	youxi	linear
0050	公司	gongsi	linear
0051	第一款	diyikuan	linear
0052	游戏	youxi	linear
0053	已	yi	linear
0054	在	zai	linear
0055	制作	zhizuo	linear
0056	过程中	guochengzhong	linear
0057	计划	jihua	linear
0058	用	yong	linear
0059	三年	sannian	linear
0060	左右	zuoyou	linear
0061	时间	shijian	linear
0062	推出	tuichu	linear
0063	奇瑞集团	qiruijituan	linear
0064	月	yue	linear
0065	销售	xiaoshou	linear
0066	汽车	qiche	linear
0067	辆	liang	linear
0068	同比	tongbi	linear
0069	增长	zengzhang	linear
0070	氪	ke	linear
0071	获悉	huoxi	linear
0072	据	ju	linear
0073	奇瑞集团	qiruijituan	linear
0074	消息	xiaoxi	linear
0075	月	yue	linear
0076	奇瑞集团	qiruijituan	linear
0077	销售	xiaoshou	linear
0078	汽车	qiche	linear
0079	辆	liang	linear
0080	同比	tongbi	linear
0081	增长	zengzhang	linear
0082	其中	qizhong	linear
0083	出口	chukou	linear
0084	辆	liang	linear
0085	同比	tongbi	linear
0086	增长	zengzhang	linear
0087	并	bing	linear
0088	首次	shouci	linear
0089	单月	danyue	linear
0090	出口	chukou	linear
0091	超过	chaoguo	linear
0092	万辆	wanliang	linear
0093	月份	yuefen	linear
0094	集团	jituan	linear
0095	销售	xiaoshou	linear
0096	新能源	xinnengyuan	linear
0097	汽车	qiche	linear
0098	辆	liang	linear
0099	同比	tongbi	linear
0100	增长	zengzhang	linear
0101	觅蜂科技	mifengkeji	linear
0102	与	yu	linear
0103	同道	tongdao	linear
0104	猎聘	liepin	linear
0105	集团	jituan	linear
0106	达成	dacheng	linear
0107	合作	hezuo	linear
0108	氪	ke	linear
0109	获悉	huoxi	linear
0110	近日	jinri	linear
0111	觅蜂科技	mifengkeji	linear
0112	与	yu	linear
0113	同道	tongdao	linear
0114	猎聘	liepin	linear
0115	集团	jituan	linear
0116	宣布	xuanbu	linear
0117	达成	dacheng	linear
0118	合作	hezuo	linear
0119	双方	shuangfang	linear
0120	将	jiang	linear
0121	整合	zhenghe	linear
0122	物理	wuli	linear
0123	数据	shuju	linear
0124	全链路	quanlianlu	linear
0125	技术	jishu	linear
0126	能力	nengli	linear
0127	与	yu	linear
0128	全域	quanyu	linear
0129	人才	rencai	linear
0130	供给	gongji	linear
0131	灵活用工	linghuoyonggong	linear
0132	产业	chanye	linear
0133	场景	changjing	linear
0134	运营	yunying	linear
0135	资源	ziyuan	linear
0136	联合	lianhe	linear
0137	打造	dazao	linear
0138	面向	mianxiang	linear
0139	具身智能	jushenzhineng	linear
0140	产业	chanye	linear
0141	的	de	linear
0142	标准化	biaozhunhua	linear
0143	数据	shuju	linear
0144	采集	caiji	linear
0145	人才	rencai	linear
0146	体系	tixi	linear
0147	与	yu	linear
0148	场景	changjing	linear
0149	共建	gongjian	linear
0150	生态	shengtai	linear
0151	打通	datong	linear
0152	真实	zhenshi	linear
0153	场景	changjing	linear
0154	人力	renli	linear
0155	供给	gongji	linear
0156	标准化	biaozhunhua	linear
0157	数据	shuju	linear
0158	采集	caiji	linear
0159	模型	moxing	linear
0160	训练	xunlian	linear
0161	落地	luodi	linear
0162	完整	wanzheng	linear
0163	闭环	bihuan	linear
0164	助推	zhutui	linear
0165	具身智能	jushenzhineng	linear
0166	数据	shuju	linear
0167	元年	yuannian	linear
0168	规模化	guimohua	linear
0169	产业	chanye	linear
0170	落地	luodi	linear
0171	东方铁塔	dongfangtieta	linear
0172	预计	yuji	linear
0173	年	nian	linear
0174	半年度	banniandu	linear
0175	净利润	jinglirun	linear
0176	同比	tongbi	linear
0177	增长	zengzhang	linear
0178	氪	ke	linear
0179	获悉	huoxi	linear
0180	东方铁塔	dongfangtieta	linear
0181	公告	gonggao	linear
0182	预计	yuji	linear
0183	年	nian	linear
0184	半年度	banniandu	linear
0185	归属于	guishuyu	linear
0186	上市公司	shangshigongsi	linear
0187	股东	gudong	linear
0188	的	de	linear
0189	净利润	jinglirun	linear
0190	为	wei	linear
0191	亿元	yiyuan	linear
0192	亿元	yiyuan	linear
0193	同比	tongbi	linear
0194	增长	zengzhang	linear
