# K008 — 坂本浩一导演 (百科/电影)
# persons: 坂本浩一

0001	年月日	nianyueri	linear
0002	是	shi	linear
0003	一个	yige	linear
0004	在	zai	linear
0005	日本	riben	linear
0006	美国	meiguo	linear
0007	与	yu	linear
0008	纽西兰	niuxilan	linear
0009	工作	gongzuo	linear
0010	的	de	linear
0011	电影	dianying	linear
0012	导演	daoyan	linear
0013	特摄	teshe	linear
0014	导演	daoyan	linear
0015	经历	jingli	linear
0016	高中时代	gaozhongshidai	linear
0017	就	jiu	linear
0018	加入	jiaru	linear
0019	了	le	linear
0020	仓田	cangtian	linear
0021	动作	dongzuo	linear
0022	特技	teji	linear
0023	俱乐部	julebu	linear
0024	其后	qihou	linear
0025	旅美	lvmei	linear
0026	他	ta	linear
0027	也	ye	linear
0028	同时	tongshi	linear
0029	兼任	jianren	linear
0030	特技	teji	linear
0031	演员	yanyuan	linear
0032	导演	daoyan	linear
0033	制片人	zhipianren	linear
0034	电影	dianying	linear
0035	武打	wuda	linear
0036	替身	tishen	linear
0037	团体	tuanti	linear
0038	的	de	linear
0039	一员	yiyuan	linear
0040	足立	zuli	linear
0041	区立	quli	linear
0042	东绫	dongling	linear
0043	瀬	lai	linear
0044	中	zhong	linear
0045	学校	xuexiao	linear
0046	专修	zhuanxiu	linear
0047	大学	daxue	linear
0048	松户	songhu	linear
0049	中	zhong	linear
0050	学校	xuexiao	linear
0051	毕业	biye	linear
0052	跟	gen	linear
0053	女性	nvxing	linear
0054	特技	teji	linear
0055	演员	yanyuan	linear
0056	梛	nuo	linear
0057	野	ye	linear
0058	素子	suzi	linear
0059	结婚	jiehun	linear
0060	参与	canyu	linear
0061	作品	zuopin	linear
0062	电视剧	dianshiju	linear
0063	露易丝	luyisi	linear
0064	与	yu	linear
0065	克拉克	kelake	linear
0066	超人	chaoren	linear
0067	的	de	linear
0068	新	xin	linear
0069	历险	lixian	linear
0070	动作	dongzuo	linear
0071	导演	daoyan	linear
0072	梦幻	menghuan	linear
0073	战警	zhanjing	linear
0074	第二	dier	linear
0075	工作组	gongzuozu	linear
0076	监督	jiandu	linear
0077	少年	shaonian	linear
0078	英雄	yingxiong	linear
0079	艾伦	ailun	linear
0080	史东	shidong	linear
0081	动作	dongzuo	linear
0082	导演	daoyan	linear
0083	牙狼	yalang	linear
0084	魔戒	mojie	linear
0085	闪骑	shanqi	linear
0086	第二	dier	linear
0087	工作组	gongzuozu	linear
0088	导演	daoyan	linear
0089	第二期	dierqi	linear
0090	真人	zhenren	linear
0091	特	te	linear
0092	摄影	sheying	linear
0093	像	xiang	linear
0094	导演	daoyan	linear
0095	金刚	jingang	linear
0096	战士	zhanshi	linear
0097	系列	xilie	linear
0098	金刚	jingang	linear
0099	战士	zhanshi	linear
0100	第二	dier	linear
0101	工作组	gongzuozu	linear
0102	主任	zhuren	linear
0103	特技	teji	linear
0104	指导	zhidao	linear
0105	第	di	linear
0106	话	hua	linear
0107	金刚	jingang	linear
0108	战士	zhanshi	linear
0109	导演	daoyan	linear
0110	第二	dier	linear
0111	工作组	gongzuozu	linear
0112	主任	zhuren	linear
0113	金刚	jingang	linear
0114	战士	zhanshi	linear
0115	导演	daoyan	linear
0116	动作	dongzuo	linear
0117	导演	daoyan	linear
0118	第二	dier	linear
0119	工作组	gongzuozu	linear
0120	主任	zhuren	linear
0121	金刚	jingang	linear
0122	战士	zhanshi	linear
0123	导演	daoyan	linear
0124	动作	dongzuo	linear
0125	导演	daoyan	linear
0126	特技	teji	linear
0127	动作	dongzuo	linear
0128	协调员	xietiaoyuan	linear
0129	特效	texiao	linear
0130	监督	jiandu	linear
0131	最终	zuizhong	linear
0132	回	hui	linear
0133	剧本	juben	linear
0134	原案	yuanan	linear
0135	金刚	jingang	linear
0136	战士	zhanshi	linear
0137	导演	daoyan	linear
0138	动作	dongzuo	linear
0139	导演	daoyan	linear
0140	第	di	linear
