# K196 — LGBT电视节目
# persons: 

0001	在	zai	linear
0002	电视剧	dianshiju	linear
0003	或	huo	linear
0004	为	wei	linear
0005	电视	dianshi	linear
0006	制作	zhizuo	linear
0007	的	de	linear
0008	电影	dianying	linear
0009	中	zhong	linear
0010	涉及	sheji	linear
0011	同性恋	tongxinglian	linear
0012	双性恋	shuangxinglian	linear
0013	与	yu	linear
0014	或	huo	linear
0015	跨	kua	linear
0016	性别	xingbie	linear
0017	话题	huati	linear
0018	以及	yiji	linear
0019	或	huo	linear
0020	塑造	suzao	linear
0021	重要	zhongyao	linear
0022	同志	tongzhi	linear
0023	角色	juese	linear
0024	和	he	linear
0025	或	huo	linear
0026	把	ba	linear
0027	同性恋	tongxinglian	linear
0028	双性恋	shuangxinglian	linear
0029	以及	yiji	linear
0030	或	huo	linear
0031	跨	kua	linear
0032	性别	xingbie	linear
0033	身份	shenfen	linear
0034	或	huo	linear
0035	关系	guanxi	linear
0036	作为	zuowei	linear
0037	一个	yige	linear
0038	重要	zhongyao	linear
0039	的	de	linear
0040	剧情	juqing	linear
0041	的	de	linear
0042	有	you	linear
0043	依	yi	linear
0044	开播	kaibo	linear
0045	年代	niandai	linear
0046	排序	paixu	linear
0047	年代	niandai	linear
0048	指路明灯	zhilumingdeng	linear
0049	美国	meiguo	linear
0050	年代	niandai	linear
0051	美国	meiguo	linear
0052	年代	niandai	linear
0053	加冕	jiamian	linear
0054	街	jie	linear
0055	英国	yingguo	linear
0056	美国	meiguo	linear
0057	我们	women	linear
0058	的	de	linear
0059	日子	rizi	linear
0060	美国	meiguo	linear
0061	美国	meiguo	linear
0062	年代	niandai	linear
0063	美国	meiguo	linear
0064	百货店	baihuodian	linear
0065	奇遇记	qiyuji	linear
0066	英国	yingguo	linear
0067	美国	meiguo	linear
0068	美国	meiguo	linear
0069	美国	meiguo	linear
0070	美国	meiguo	linear
0071	美国	meiguo	linear
0072	美国	meiguo	linear
0073	美国	meiguo	linear
0074	美国	meiguo	linear
0075	美国	meiguo	linear
0076	美国	meiguo	linear
0077	人间	renjian	linear
0078	世外	shiwai	linear
0079	香港	xianggang	linear
0080	无线电视	wuxiandianshi	linear
0081	家变	jiabian	linear
0082	香港	xianggang	linear
0083	无线电视	wuxiandianshi	linear
0084	美国	meiguo	linear
0085	追族	zhuizu	linear
0086	香港	xianggang	linear
0087	丽	li	linear
0088	的	de	linear
0089	电视	dianshi	linear
0090	美国	meiguo	linear
0091	英国	yingguo	linear
0092	指	zhi	linear
0093	日本	riben	linear
0094	年代	niandai	linear
0095	故园	guyuan	linear
0096	风雨	fengyu	linear
0097	后	hou	linear
0098	英国	yingguo	linear
0099	小型	xiaoxing	linear
0100	电视剧	dianshiju	linear
0101	湿	shi	linear
0102	濡	ru	linear
0103	的	de	linear
0104	心	xin	linear
0105	濡	ru	linear
0106	心	xin	linear
0107	杀人	sharen	linear
0108	事件	shijian	linear
0109	日本	riben	linear
0110	美国	meiguo	linear
0111	希尔	xier	linear
0112	街	jie	linear
0113	的	de	linear
0114	布鲁斯	bulusi	linear
0115	美国	meiguo	linear
0116	豪门	haomen	linear
0117	恩怨	enyuan	linear
0118	美国	meiguo	linear
0119	英国	yingguo	linear
0120	英国	yingguo	linear
0121	美国	meiguo	linear
0122	英国	yingguo	linear
0123	魔性	moxing	linear
0124	魔性	moxing	linear
0125	日本	riben	linear
0126	红	hong	linear
0127	日本	riben	linear
0128	美国	meiguo	linear
0129	美国	meiguo	linear
0130	美国	meiguo	linear
0131	美国	meiguo	linear
0132	美国	meiguo	linear
0133	东区	dongqu	linear
0133	人	ren	linear
0134	英国	yingguo	linear
0135	德国	deguo	linear
0136	澳大利亚	aodaliya	linear
0137	美国	meiguo	linear
0138	洛城	luocheng	linear
0139	法网	fawang	linear
0140	美国	meiguo	linear
0141	美国	meiguo	linear
0142	美国	meiguo	linear
0143	美国	meiguo	linear
0144	美国	meiguo	linear
0145	肥妈	feima	linear
0146	日记	riji	linear
0147	美国	meiguo	linear
0148	美国	meiguo	linear
0149	美国	meiguo	linear
0150	美国	meiguo	linear
0151	英国	yingguo	linear
0152	爱尔兰	aierlan	linear
0153	年代	niandai	linear
0154	英国	yingguo	linear
0155	英国	yingguo	linear
0156	英国	yingguo	linear
0157	法律	falv	linear
0158	与	yu	linear
0159	秩序	zhixu	linear
0160	美国	meiguo	linear
0161	豪门	haomen	linear
0162	香港	xianggang	linear
0163	亚洲	yazhou	linear
0164	英国	yingguo	linear
0165	约束	yueshu	linear
0166	之夏	zhixia	linear
0167	约束	yueshu	linear
0168	夏	xia	linear
0169	日本	riben	linear
0170	是	shi	linear
0171	谁	shui	linear
0172	偷走	touzou	linear
0173	我	wo	linear
0174	的	de	linear
0175	心	xin	linear
0176	时	shi	linear
0177	盗	dao	linear
0178	日本	riben	linear
0179	美国	meiguo	linear
0180	美国	meiguo	linear
0181	城市	chengshi	linear
0182	故事	gushi	linear
0183	美国	meiguo	linear
0184	美国	meiguo	linear
0185	小型	xiaoxing	linear
0186	电视剧	dianshiju	linear
0187	美国	meiguo	linear
0188	美国	meiguo	linear
0189	爱情	aiqing	linear
0190	白皮书	baipishu	linear
0191	白书	baishu	linear
0192	日本	riben	linear
0193	恶魔	emo	linear
0194	之	zhi	linear
0195	吻	wen	linear
0196	悪	e	linear
0197	魔	mo	linear
0198	日本	riben	linear
0199	同窗	tongchuang	linear
0200	会	hui	linear
0201	同	tong	linear
0202	窓	chuang	linear
0203	会	hui	linear
0204	日本	riben	linear
0205	美国	meiguo	linear
0206	美国	meiguo	linear
0207	纽约	niuyue	linear
0208	重案	zhongan	linear
0209	组	zu	linear
0210	美国	meiguo	linear
0211	美国	meiguo	linear
0212	人间	renjian	linear
0213	失格	shige	linear
0214	假如	jiaru	linear
0215	我	wo	linear
0216	死	si	linear
0217	的话	dehua	linear
0218	人间	renjian	linear
0219	失格	shige	linear
0220	死	si	linear
0221	日本	riben	linear
0222	青春	qingchun	linear
0223	组曲	zuqu	linear
0224	美国	meiguo	linear
0225	美国	meiguo	linear
0226	美国	meiguo	linear
0227	美国	meiguo	linear
0228	老友记	laoyouji	linear
0229	美国	meiguo	linear
0230	急诊室	jizhenshi	linear
0231	的	de	linear
0232	故事	gushi	linear
0233	美国	meiguo	linear
0234	英国	yingguo	linear
0235	美国	meiguo	linear
0236	美国	meiguo	linear
0237	美国	meiguo	linear
0238	皇甫少华	huangfushaohua	linear
0239	与	yu	linear
0240	孟丽君	menglijun	linear
0241	台湾	taiwan	linear
0242	华视	huashi	linear
0243	美国	meiguo	linear
0244	美国	meiguo	linear
0245	美国	meiguo	linear
0246	美国	meiguo	linear
0247	被	bei	linear
0248	禁止	jinzhi	linear
0249	的	de	linear
0250	爱	ai	linear
0251	德国	deguo	linear
0252	美国	meiguo	linear
0253	美国	meiguo	linear
0254	美国	meiguo	linear
0255	美国	meiguo	linear
0256	幸福	xingfu	linear
0257	的	de	linear
0258	预感	yugan	linear
0259	幸福	xingfu	linear
0260	予感	yugan	linear
0261	日本	riben	linear
0262	变	bian	linear
0263	変	bian	linear
0264	日本	riben	linear
0265	美国	meiguo	linear
0266	美国	meiguo	linear
0267	政界	zhengjie	linear
0268	小人物	xiaorenwu	linear
0269	美国	meiguo	linear
0270	告白	gaobai	linear
0271	告白	gaobai	linear
0272	日本	riben	linear
0273	美国	meiguo	linear
