# K443 — 安定县洪武
# persons: 

0001	安定	anding	linear
0002	县	xian	linear
0003	是	shi	linear
0004	明朝	mingchao	linear
0005	时	shi	linear
0006	设置	shezhi	linear
0007	的	de	linear
0008	县	xian	linear
0009	在	zai	linear
0010	今	jin	linear
0011	甘肃省	gansusheng	linear
0012	定西市	dingxishi	linear
0013	安定区	andingqu	linear
0014	沿革	yange	linear
0015	明太祖	mingtaizu	linear
0016	洪武	hongwu	linear
0017	十年	shinian	linear
0018	年	nian	linear
0019	降	jiang	linear
0020	安定	anding	linear
0021	州	zhou	linear
0022	为	wei	linear
0023	安定	anding	linear
0024	县	xian	linear
0025	隶属	lishu	linear
0026	陕西	shanxi	linear
0027	巩昌府	gongchangfu	linear
0028	民国	minguo	linear
0029	年	nian	linear
0030	年	nian	linear
0031	因	yin	linear
0032	与	yu	linear
0033	陕西省	shanxisheng	linear
0034	安定	anding	linear
0035	县	xian	linear
0036	重名	zhongming	linear
0037	甘肃省	gansusheng	linear
0038	安定	anding	linear
0039	县	xian	linear
0040	改为	gaiwei	linear
0041	定西	dingxi	linear
0042	县	xian	linear
0043	知县	zhixian	linear
0044	明朝	mingchao	linear
0045	方叔亮	fangshuliang	linear
0046	贡生	gongsheng	linear
0047	直隶	zhili	linear
0048	人	ren	linear
0049	周杰	zhoujie	linear
0050	贡生	gongsheng	linear
0051	湖广	huguang	linear
0052	人	ren	linear
0053	萧庸	xiaoyong	linear
0054	刘奉	liufeng	linear
0055	先	xian	linear
0056	宋道	songdao	linear
0057	河南人	henanren	linear
0058	黄惠	huanghui	linear
0059	举人	juren	linear
0060	福建	fujian	linear
0060	人	ren	linear
0061	周豫	zhouyu	linear
0062	湖广	huguang	linear
0063	人	ren	linear
0064	赵天	zhaotian	linear
0065	祐	you	linear
0066	四川人	sichuanren	linear
0067	陈信	chenxin	linear
0068	进士	jinshi	linear
0069	河南	henan	linear
0070	信阳	xinyang	linear
0071	人	ren	linear
0072	杜让	durang	linear
0073	举人	juren	linear
0074	密云	miyun	linear
0075	人	ren	linear
0076	赵通	zhaotong	linear
0077	直隶	zhili	linear
0078	沧州	cangzhou	linear
0079	人	ren	linear
0080	张蛟	zhangjiao	linear
0081	贡生	gongsheng	linear
0082	河	he	linear
0083	南阳	nanyang	linear
0084	武人	wuren	linear
0085	李	li	linear
0086	世相	shixiang	linear
0087	举人	juren	linear
0088	山西	shanxi	linear
0089	介休	jiexiu	linear
0090	人	ren	linear
0091	张世昌	zhangshichang	linear
0092	举人	juren	linear
0093	山东	shandong	linear
0094	德平人	depingren	linear
0095	许弗如	xufuru	linear
0096	举人	juren	linear
0097	直隶	zhili	linear
0098	定兴	dingxing	linear
0099	人	ren	linear
