# K554 — 上积代数拓扑
# persons: 

0001	代数	daishu	linear
0002	拓扑	tuopu	linear
0003	中	zhong	linear
0004	上积	shangji	linear
0005	或	huo	linear
0006	杯积	beiji	linear
0007	是	shi	linear
0008	将	jiang	linear
0009	两个	liangge	linear
0010	度为	duwei	linear
0011	和	he	linear
0012	的	de	linear
0013	上	shang	linear
0014	循环	xunhuan	linear
0015	联接	lianjie	linear
0016	起来	qilai	linear
0017	形成	xingcheng	linear
0018	度为	duwei	linear
0019	的	de	linear
0020	复合	fuhe	linear
0021	循环	xunhuan	linear
0022	的	de	linear
0023	方法	fangfa	linear
0024	这	zhe	linear
0025	定义	dingyi	linear
0026	了	le	linear
0027	上同调	shangtongdiao	linear
0028	中	zhong	linear
0029	的	de	linear
0030	结合	jiehe	linear
0031	与	yu	linear
0032	分散	fensan	linear
0033	分	fen	linear
0034	次	ci	linear
0035	交换	jiaohuan	linear
0036	积	ji	linear
0037	将	jiang	linear
0038	空间	kongjian	linear
0039	的	de	linear
0040	上同调	shangtongdiao	linear
0041	转变	zhuanbian	linear
0042	为	wei	linear
0043	分次	fenci	linear
0044	环	huan	linear
0045	称作	chengzuo	linear
0046	上同调	shangtongdiao	linear
0047	环	huan	linear
0048	上积	shangji	linear
0049	由	you	linear
0050	詹姆斯	zhanmusi	linear
0051	韦德	weide	linear
0052	尔	er	linear
0053	亚历山大	yalishanda	linear
0054	爱德华	aidehua	linear
0055	切赫	qiehe	linear
0056	与	yu	linear
0057	哈斯勒	hasilei	linear
0058	惠特尼	huiteni	linear
0059	于	yu	linear
0060	年间	nianjian	linear
0061	提出	tichu	linear
0062	年	nian	linear
0063	塞缪尔	saimouer	linear
0064	艾伦伯格	ailunboge	linear
0065	给出	geichu	linear
0066	了	le	linear
0067	一般	yiban	linear
0068	定义	dingyi	linear
0069	定义	dingyi	linear
0070	奇异	qiyi	linear
0071	上同调	shangtongdiao	linear
0072	中	zhong	linear
0073	上积	shangji	linear
0074	构造	gouzao	linear
0075	给出	geichu	linear
0076	了	le	linear
0077	拓扑	tuopu	linear
0078	空间	kongjian	linear
0079	的	de	linear
0080	分次	fenci	linear
0081	上同调	shangtongdiao	linear
0082	环	huan	linear
0083	上	shang	linear
0084	的	de	linear
0085	积	ji	linear
0086	构造	gouzao	linear
0087	始于	shiyu	linear
0088	上链	shanglian	linear
0089	之积	zhiji	linear
0090	若	ruo	linear
0091	是	shi	linear
0092	上	shang	linear
0093	链	lian	linear
0094	且	qie	linear
0095	是	shi	linear
0096	上	shang	linear
0097	链	lian	linear
0098	则	ze	linear
0099	其中	qizhong	linear
0100	是	shi	linear
0101	奇异	qiyi	linear
0102	单纯形	danchunxing	linear
0103	是	shi	linear
0104	张成	zhangcheng	linear
0105	的	de	linear
0106	单纯形	danchunxing	linear
0107	规范	guifan	linear
0108	嵌入	qianru	linear
0109	单纯形	danchunxing	linear
0110	后者	houzhe	linear
0111	的	de	linear
0112	顶点	dingdian	linear
0113	索引	suoyin	linear
0114	为	wei	linear
0115	非正式	feizhengshi	linear
0116	地	di	linear
0117	是	shi	linear
0118	的	de	linear
0119	第	di	linear
0120	个	ge	linear
0121	正面	zhengmian	linear
0122	是	shi	linear
0123	的	de	linear
