# K575 — BYOB歌曲
# persons: 

0001	英语	yingyu	linear
0002	自备	zibei	linear
0003	酒瓶	jiuping	linear
0004	它	ta	linear
0005	也	ye	linear
0006	可以	keyi	linear
0007	是	shi	linear
0008	或	huo	linear
0009	的	de	linear
0010	英文	yingwen	linear
0011	缩写	suoxie	linear
0012	前面	qianmian	linear
0013	两者	liangzhe	linear
0014	的	de	linear
0015	意思	yisi	linear
0016	都	dou	linear
0017	是	shi	linear
0018	请	qing	linear
0019	自备	zibei	linear
0020	啤酒	pijiu	linear
0021	英文字	yingwenzi	linear
0022	这个	zhege	linear
0023	字眼	ziyan	linear
0024	是	shi	linear
0025	酒精	jiujing	linear
0026	饮料	yinliao	linear
0027	的	de	linear
0028	俚语	liyu	linear
0029	字	zi	linear
0030	在	zai	linear
0031	烤肉	kaorou	linear
0032	活动	huodong	linear
0033	里	li	linear
0034	它	ta	linear
0035	也	ye	linear
0036	可以	keyi	linear
0037	是	shi	linear
0038	自备	zibei	linear
0039	牛肉	niurou	linear
0040	的	de	linear
0041	意思	yisi	linear
0042	在	zai	linear
0043	环保	huanbao	linear
0044	方面	fangmian	linear
0045	里	li	linear
0046	它	ta	linear
0047	还	hai	linear
0048	可以	keyi	linear
0049	是	shi	linear
0050	自备	zibei	linear
0051	袋	dai	linear
0052	的	de	linear
0053	意思	yisi	linear
0054	英文	yingwen	linear
0055	缩写	suoxie	linear
0056	字	zi	linear
0057	最	zui	linear
0058	常用	changyong	linear
0059	在	zai	linear
0060	类似	leisi	linear
0061	的	de	linear
0062	派对	paidui	linear
0063	活动	huodong	linear
0064	上	shang	linear
0065	特别	tebie	linear
0066	指出	zhichu	linear
0067	活动	huodong	linear
0068	主持人	zhuchiren	linear
0069	不会	buhui	linear
0070	主动	zhudong	linear
0071	提供	tigong	linear
0072	酒精	jiujing	linear
0073	饮料	yinliao	linear
0074	而且	erqie	linear
0075	非常	feichang	linear
0076	欢迎	huanying	linear
0077	客人	keren	linear
0078	自行	zixing	linear
0079	携带	xiedai	linear
0080	他们	tamen	linear
0081	的	de	linear
