# typo_code	expanded_code	word	freq	source
airxinqie	aierxinqie	爱儿心切	0	digested
arhun	aerhun	阿儿浑	0	digested
bairbashi	baierbashi	百儿八十	3094	digested
bargou	baergou	叭儿狗	0	digested
bargou	baergou	巴儿狗	0	digested
barji	baerji	巴儿吉	0	digested
barjian	baerjian	巴儿监	0	digested
bendeirmu	bendeiermu	锛得儿木	0	digested
caizhirtong	caizhiertong	才智儿童	0	digested
canjirtong	canjiertong	残疾儿童	5671	digested
dairxi	daierxi	大儿媳	5286	digested
dairzi	daierzi	大儿子	22162	digested
darxi	daerxi	大儿媳	5286	digested
darzi	daerzi	大儿子	22162	digested
faryin	faeryin	法儿引	0	digested
farzhen	faerzhen	法儿真	0	digested
fentiaorcai	fentiaoercai	粉条儿菜	0	digested
funvrtong	funvertong	妇女儿童	11545	digested
gangkourtian	gangkouertian	岗口儿甜	0	digested
gourye	gouerye	狗儿爷	1493	digested
guaimairtong	guaimaiertong	拐卖儿童	5577	digested
guirniang	guierniang	桂儿娘	0	digested
guirzi	guierzi	龟儿子	0	digested
guorcheng	guoercheng	过儿成	3094	digested
guorzhen	guoerzhen	过儿真	0	digested
gurci	guerci	鼓儿词	0	digested
gurguafu	guerguafu	孤儿寡妇	0	digested
gurguanv	guerguanv	孤儿寡女	0	digested
gurhan	guerhan	古儿汗	0	digested
gurxiaoxi	guerxiaoxi	孤儿消息	0	digested
guryuan	gueryuan	孤儿院	17236	digested
gurzi	guerzi	孤儿仔	0	digested
hairxiang	haierxiang	孩儿巷	3094	digested
haornv	haoernv	好儿女	6927	digested
hourjing	houerjing	猴儿精	3094	digested
huardongzi	huaerdongzi	花儿洞子	0	digested
huarhuo	huaerhuo	化儿伙	0	digested
huarjiang	huaerjiang	花儿匠	0	digested
huarledui	huaerledui	花儿乐队	8535	digested
huaryangzi	huaeryangzi	花儿样子	0	digested
huaryuedui	huaeryuedui	花儿乐队	8535	digested
huorgan	huoergan	活儿干	3239	digested
hurhuan	huerhuan	呼儿唤	0	digested
jiaoryinghai	jiaoeryinghai	教儿婴孩	0	digested
jiarjiafu	jiaerjiafu	佳儿佳妇	0	digested
kuairbamao	kuaierbamao	块儿八毛	3094	digested
laoshudirzihuidadong	laoshudierzihuidadong	老鼠的儿子会打洞	0	digested
laoshudirzikuaidadong	laoshudierzikuaidadong	老鼠的儿子会打洞	0	digested
laotouryu	laotoueryu	老头儿鱼	0	digested
luanshirnv	luanshiernv	乱世儿女	0	digested
lurdao	luerdao	鹿儿岛	8347	digested
lurdaoxian	luerdaoxian	鹿儿岛县	3468	digested
mairtiefu	maiertiefu	卖儿贴妇	0	digested
maorgai	maoergai	毛儿盖	3861	digested
maorni	maoerni	猫儿腻	4422	digested
maorshan	maoershan	猫儿山	7387	digested
maoryan	maoeryan	猫儿眼	4422	digested
marhan	maerhan	马儿罕	4193	digested
markuai	maerkuai	马儿快	5930	digested
marpao	maerpao	马儿跑	10905	digested
miaorgou	miaoergou	庙儿沟	0	digested
murchao	muerchao	木儿朝	0	digested
murdai	muerdai	木儿代	0	digested
murji	muerji	木儿继	0	digested
murjun	muerjun	木儿军	0	digested
murling	muerling	木儿领	0	digested
muryi	mueryi	木儿亦	0	digested
muryong	mueryong	木儿拥	0	digested
murzhao	muerzhao	木儿朝	0	digested
niurbang	niuerbang	牛儿帮	0	digested
niurmiao	niuermiao	牛儿苗	0	digested
niurxisu	niuerxisu	狃儿习俗	0	digested
nurgan	nuergan	奴儿干	5527	digested
nurhai	nuerhai	努儿海	0	digested
nvrdao	nverdao	女儿岛	0	digested
nvrguo	nverguo	女儿国	18398	digested
nvrhe	nverhe	女儿河	2367	digested
nvrhong	nverhong	女儿红	12039	digested
nvrjie	nverjie	女儿节	8942	digested
nvrshen	nvershen	女儿身	14514	digested
penbirxiang	penbierxiang	喷鼻儿香	0	digested
potirdiyizao	potierdiyizao	破题儿第一遭	0	digested
purtie	puertie	蒲儿帖	0	digested
qiaorgou	qiaoergou	桥儿沟	3094	digested
qirhui	qierhui	齐儿会	0	digested
qirkuai	qierkuai	齐儿会	0	digested
qirmayi	qiermayi	乞儿马医	0	digested
qizirnv	qiziernv	妻子儿女	6886	digested
qurte	querte	曲儿忒	0	digested
ruozhirtong	ruozhiertong	弱智儿童	13711	digested
shaorbaike	shaoerbaike	少儿百科	4422	digested
shaorbu	shaoerbu	少儿部	0	digested
shaorbuyi	shaoerbuyi	少儿不宜	0	digested
shaorchubanshe	shaoerchubanshe	少儿出版社	3094	digested
shaorduwu	shaoerduwu	少儿读物	6032	digested
shaorguan	shaoerguan	少儿馆	4652	digested
shaoryingyu	shaoeryingyu	少儿英语	8091	digested
sharbaji	shaerbaji	傻儿巴叽	3094	digested
shirqu	shierqu	侍儿取	0	digested
shoudourkeyanjiusuo	shoudouerkeyanjiusuo	首都儿科研究所	0	digested
shoudurkeyanjiusuo	shouduerkeyanjiusuo	首都儿科研究所	0	digested
sirgou	siergou	寺儿沟	5167	digested
tairzhuang	taierzhuang	台儿庄	16291	digested
tairzhuangqu	taierzhuangqu	台儿庄区	2987	digested
taorhe	taoerhe	洮儿河	0	digested
taorqi	taoerqi	桃儿七	0	digested
tarhai	taerhai	塔儿海	0	digested
tuorsuo	tuoersuo	托儿所	19846	digested
turye	tuerye	兔儿爷	8743	digested
wurwuer	wuerwuer	呜儿呜儿	0	digested
wurwunv	wuerwunv	无儿无女	9723	digested
wurwur	wuerwur	呜儿呜儿	0	digested
xiaolurjiang	xiaoluerjiang	小炉儿匠	0	digested
xiaorke	xiaoerke	小儿科	13571	digested
xiaormabi	xiaoermabi	小儿痲痹	0	digested
xiaormabi	xiaoermabi	小儿麻痹	6407	digested
xiaorzi	xiaoerzi	小儿子	17561	digested
yaoshirtong	yaoshiertong	钥匙儿童	0	digested
yarli	yaerli	鸭儿梨	0	digested
yaryo	yaeryo	呀儿哟	3094	digested
yihuirbu	yihuierbu	一会儿步	0	digested
yihuirda	yihuierda	一会儿打	10634	digested
yihuirhui	yihuierhui	一会儿回	14036	digested
yihuirji	yihuierji	一会儿记	6868	digested
yihuirkai	yihuierkai	一会儿开	9795	digested
yihuirmen	yihuiermen	一会儿门	0	digested
yihuirshuanghang	yihuiershuanghang	一会儿双行	0	digested
yihuirshuangxing	yihuiershuangxing	一会儿双行	0	digested
yihuirtan	yihuiertan	一会儿摊	0	digested
yihuirtian	yihuiertian	一会儿天	9667	digested
yihuirtou	yihuiertou	一会儿头	6442	digested
yihuirzhan	yihuierzhan	一会儿站	4422	digested
yihuirzhang	yihuierzhang	一会儿张	0	digested
yikuairbu	yikuaierbu	一会儿步	0	digested
yikuairda	yikuaierda	一会儿打	10634	digested
yikuairhui	yikuaierhui	一会儿回	14036	digested
yikuairji	yikuaierji	一会儿记	6868	digested
yikuairkai	yikuaierkai	一会儿开	9795	digested
yikuairmen	yikuaiermen	一会儿门	0	digested
yikuairshuanghang	yikuaiershuanghang	一会儿双行	0	digested
yikuairshuangxing	yikuaiershuangxing	一会儿双行	0	digested
yikuairtan	yikuaiertan	一会儿摊	0	digested
yikuairtian	yikuaiertian	一会儿天	9667	digested
yikuairtou	yikuaiertou	一会儿头	6442	digested
yikuairzhan	yikuaierzhan	一会儿站	4422	digested
yikuairzhang	yikuaierzhang	一会儿张	0	digested
yirhan	yierhan	伊儿汗	7598	digested
yitourchen	yitouerchen	一头儿沉	0	digested
yourban	youerban	幼儿班	7836	digested
yourchen	youerchen	由儿臣	0	digested
yourjiaoshi	youerjiaoshi	幼儿教师	10214	digested
yourjiaoyu	youerjiaoyu	幼儿教育	10628	digested
yourqi	youerqi	幼儿期	7509	digested
yoursuo	youersuo	幼儿所	0	digested
yourxuexiao	youerxuexiao	幼儿学校	4131	digested
youryuan	youeryuan	幼儿园	31793	digested
youryuan	youeryuan	幼儿圆	0	digested
youxiurnv	youxiuernv	优秀儿女	0	digested
yurdai	yuerdai	育儿袋	7623	digested
yurguan	yuerguan	育儿观	6868	digested
yurmeimei	yuermeimei	玉儿妹妹	0	digested
yurwang	yuerwang	育儿网	5930	digested
zhongguortongyishujuyuan	zhongguoertongyishujuyuan	中国儿童艺术剧院	0	digested
zhonghuarnv	zhonghuaernv	中华儿女	12192	digested
ziyourtong	ziyouertong	资优儿童	0	digested
