# code	word	tag	mv_freq	lib_freq	v2	reason
adaofu	阿道夫	modern-vocab-audit-p2: name-obscure	30000	15384	0	著名译名
aichong	爱宠	modern-vocab-audit-p2: frag-np	30000	0	0	现代常用词
ailike	埃里克	modern-vocab-audit-p2: name-obscure	30000	19840	0	常见译名
ailun	艾伦	modern-vocab-audit-p2: name-obscure	30000	24549	0	常见译名
aisake	艾萨克	modern-vocab-audit-p2: name-obscure	30000	14497	0	常见音译名
andelie	安德烈	modern-vocab-audit-p2: name-obscure	30000	16608	0	极常用音译名
andelu	安德鲁	modern-vocab-audit-p2: name-obscure	30000	20181	0	极常用译名
andesen	安德森	modern-vocab-audit-p2: name-obscure	30000	20403	0	极常用译名
anjila	安吉拉	modern-vocab-audit-p2: name-obscure	30000	18013	0	常见音译名
anquankekao	安全可靠	modern-vocab-audit-p2: frag-np	30000	8147	0	固定搭配
aosite	奥斯特	modern-vocab-audit-p2: name-obscure	30000	12679	0	物理单位
baiyuan	百元	modern-vocab-audit-p2: frag-num	30000	20162	0	常用钱数
bangqiudui	棒球队	modern-vocab-audit-p2: frag-np	30000	7061	0	常用球队词
baoweier	鲍威尔	modern-vocab-audit-p2: name-obscure	30000	12019	0	常见译名
beijingcheng	北京城	modern-vocab-audit-p2: frag-np	30000	15312	0	固定称谓
bengang	本港	modern-vocab-audit-p2: frag-grammar	30000	21035	0	港式常用词
bengshi	崩逝	modern-vocab-audit-p2: word	30000	0	0	词典词帝王逝
benpian	本片	modern-vocab-audit-p2: frag-grammar	30000	18813	0	常用词
benshuobo	本硕博	modern-vocab-audit-p2: frag-np	30000	2987	0	固定缩略
biaochu	标出	modern-vocab-audit-p2: frag-verb	30000	14631	0	常用动补
biece	别册	modern-vocab-audit-p2: name-obscure	30000	0	0	词典词:副刊别册
bingmeiyou	并没有	modern-vocab-audit-p2: frag-grammar	30000	0	0	常用固定短语
bingyong	并用	modern-vocab-audit-p2: frag-verb	30000	20272	0	词典词手脚并用
boen	伯恩	modern-vocab-audit-p2: name-obscure	30000	19677	0	常见音译名
boqian	播迁	modern-vocab-audit-p2: word	30000	6920	0	迁徙流离本义
bufenxianhou	不分先后	modern-vocab-audit-p2: frag-grammar	30000	0	0	固定表达
buhuangbuluan	不慌不乱	modern-vocab-audit-p2: frag-grammar	30000	3094	0	惯用四字语
bulade	布拉德	modern-vocab-audit-p2: name-obscure	30000	18938	0	常见译名
buliyu	不利于	modern-vocab-audit-p2: frag-grammar	30000	21320	0	固定功能短语
bulunuo	布鲁诺	modern-vocab-audit-p2: name-obscure	30000	17224	0	常见译名
buwending	不稳定	modern-vocab-audit-p2: frag-grammar	30000	0	0	词化否定形
buyuanchu	不远处	modern-vocab-audit-p2: frag-grammar	30000	21232	0	常用方位词
buzhiyuci	不止于此	modern-vocab-audit-p2: frag-grammar	30000	0	0	固定表达
canruoxingchen	灿若星辰	modern-vocab-audit-p2: frag-np	30000	0	0	固定表达
chaidanzhuanjia	拆弹专家	modern-vocab-audit-p2: frag-np	30000	0	0	职业名词
chaidiao	拆掉	modern-vocab-audit-p2: frag-verb	30000	18015	0	口语常用动补词
chalie	差劣	modern-vocab-audit-p2: jargon-slice	30000	9452	0	港式真词
changnei	场内	modern-vocab-audit-p2: frag-grammar	30000	21531	0	金融常用词
chanzai	产仔	modern-vocab-audit-p2: frag-verb	30000	0	0	畜牧常用词
chaolizi	炒栗子	modern-vocab-audit-p2: frag-np	30000	14694	0	常见食品
chaxiang	茶香	modern-vocab-audit-p2: frag-np	30000	15884	0	常用词
chenei	车内	modern-vocab-audit-p2: frag-grammar	30000	20608	0	高频常用单位
chengbanfang	承办方	modern-vocab-audit-p2: frag-np	30000	5930	0	常用词
chengnei	城内	modern-vocab-audit-p2: frag-grammar	30000	21883	0	常用方位词
chengzhengbi	成正比	modern-vocab-audit-p2: frag-verb	30000	19578	0	固定惯用语
cheyaoshi	车钥匙	modern-vocab-audit-p2: frag-np	30000	0	0	日常生活实物词
choubeichu	筹备处	modern-vocab-audit-p2: frag-np	30000	6848	0	通用机构词
chuanbozhe	传播者	modern-vocab-audit-p2: frag-np	30000	14395	0	常用者字词
chuangxingao	创新高	modern-vocab-audit-p2: frag-verb	30000	0	0	财经常用
chuanlie	串列	modern-vocab-audit-p2: word	30000	6455	0	串列式真术语
chuansuoji	穿梭机	modern-vocab-audit-p2: word	30000	17970	0	词典真词
chunjiedang	春节档	modern-vocab-audit-p2: frag-np	30000	0	0	影业常用词
chunmoxiachu	春末夏初	modern-vocab-audit-p2: frag-np	30000	0	0	固定时令语
chupiao	出票	modern-vocab-audit-p2: frag-verb	30000	0	0	票务真词
chuquwan	出去玩	modern-vocab-audit-p2: frag-verb	30000	28189	0	口语常用单位
chuzifang	出资方	modern-vocab-audit-p2: frag-np	30000	4422	0	财经固定术语
