delete_code	word	freq	why
zunchong	尊重	36809	del_wrong
zuichong	最重	32138	del_wrong
henchong	很重	30314	del_wrong
zhangshijian	长时间	29306	del_prim
jiuhangle	就行了	29074	del_wrong
jiuhangliao	就行了	29074	del_wrong
haihang	还行	28795	del_wrong
douhang	都行	28784	del_wrong
buchong	不重	28526	del_wrong
buzhang	不长	28065	del_prim
weichong	为重	27184	del_wrong
duozhang	多长	26195	del_prim
longchong	隆重	25840	del_wrong
taizhang	太长	25800	del_prim
changpang	长胖	25787	del_wrong
taichong	太重	25774	del_wrong
changrou	长肉	25090	del_wrong
zuizhang	最长	24958	del_prim
chongzheng	重症	24843	del_wrong
wohang	我行	24799	del_wrong
hangbuxing	行不行	24650	del_wrong
fazhang	发长	24612	del_prim
tuihang	推行	24533	del_wrong
changdou	长痘	24454	del_wrong
xingyuan	行员	24411	del_prim
tianzhang	天长	24392	del_prim
zhangqun	长裙	24284	del_prim
zhonglai	重来	24046	del_prim
duozhangshijian	多长时间	23611	del_prim
youhang	游行	23582	del_wrong
tuizhang	腿长	23559	del_prim
nenghang	能行	23505	del_wrong
liuzhang	留长	23372	del_prim
jiaochong	较重	23151	del_wrong
cihang	此行	23077	del_wrong
zhangbai	长白	22811	del_prim
chongbing	重病	22710	del_wrong
changdeishuai	长得帅	22690	del_wrong
changdeshuai	长得帅	22690	del_wrong
taixing	太行	22675	del_prim
chongdu	重度	22488	del_wrong
shenghang	盛行	22376	del_wrong
tanchang	探长	22273	del_wrong
quanzhang	全长	22234	del_prim
renchong	任重	22215	del_wrong
jiazhang	加长	22087	del_prim
zhonghui	重回	21964	del_prim
zhangdao	长岛	21935	del_prim
jiaozhang	较长	21725	del_prim
zhihang	之行	21670	del_wrong
gouzhang	够长	21605	del_prim
zhangda	长达	21588	del_prim
gexing	各行	21542	del_prim
changjianshi	长见识	21450	del_wrong
qihang	骑行	21342	del_wrong
zhongsu	重塑	21212	del_prim
changyizhi	长一智	21191	del_wrong
chongyong	重用	21182	del_wrong
chongren	重人	21150	del_wrong
zhangjing	长颈	21082	del_prim
yuechangyue	越长越	21040	del_wrong
zhongfa	重发	20926	del_prim
yingchang	营长	20908	del_wrong
haozhangshijian	好长时间	20731	del_prim
zhongdao	重蹈	20648	del_prim
changdoudou	长痘痘	20604	del_wrong
suihang	随行	20525	del_wrong
zuchang	族长	20520	del_wrong
zhenhang	真行	20510	del_wrong
canchong	惨重	20496	del_wrong
daduichang	大队长	20489	del_wrong
zhongzhen	重振	20330	del_prim
shichang	室长	20211	del_wrong
hangce	行测	20195	del_wrong
jianchang	舰长	20186	del_wrong
zhangzhi	长直	20173	del_prim
zhongzheng	重整	20136	del_prim
zhangsan	长三	20134	del_prim
zhongzhi	重制	19915	del_prim
zhangzhi	长治	19886	del_prim
chongganmao	重感冒	19778	del_wrong
tingchang	厅长	19762	del_wrong
zhehang	这行	19762	del_wrong
duohang	多行	19705	del_wrong
bianzhang	变长	19685	del_prim
zhongkao	重考	19646	del_prim
changzhi	长智	19644	del_wrong
chechang	车长	19532	del_wrong
zhongshi	重拾	19452	del_prim
hangdeitong	行得通	19446	del_wrong
hangdetong	行得通	19446	del_wrong
zhanglong	长隆	19376	del_prim
hangqian	行前	19370	del_wrong
zhixing	支行	19271	del_prim
yuanchang	园长	19123	del_wrong
hangkong	行空	19102	del_wrong
zhanglu	长路	19008	del_prim
chachong	查重	18989	del_wrong
chongqing	重情	18988	del_wrong
zhangtan	长滩	18972	del_prim
dengzhang	等长	18946	del_prim
chongbang	重磅	18929	del_wrong
nahang	那行	18899	del_wrong
jinhangqu	进行曲	18896	del_wrong
zhangyi	长椅	18884	del_prim
gaihang	该行	18800	del_wrong
zhangxue	长学	18714	del_prim
zhangzhu	长住	18701	del_prim
zhongkai	重开	18701	del_prim
shouchong	受重	18636	del_wrong
changjianshile	长见识了	18547	del_wrong
changjianshiliao	长见识了	18547	del_wrong
laozhang	老长	18470	del_prim
zhongyou	重游	18464	del_prim
quchang	区长	18425	del_wrong
mishuchang	秘书长	18416	del_wrong
changfei	长肥	18363	del_wrong
zhizhang	之长	18355	del_prim
zhangdai	长带	18310	del_prim
yezhang	夜长	18226	del_prim
jianchachang	检察长	18198	del_wrong
chongyu	重于	18191	del_wrong
youzhang	悠长	18071	del_prim
