loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	gede	各地	33862	gedi	LEGITIMATE	whitelist N+助词
地	jiede	接地	26319	jiedi	LEGITIMATE	whitelist N+助词
地	yingde	营地	25878	yingdi	LEGITIMATE	whitelist N+助词
地	deli	地里	24582	dili	UNCERTAIN	default
地	jingjingde	静静地	24476	jingjingdi	SPURIOUS	重叠副词 '静静' + 助词
地	zuode	坐地	24119	zuodi	UNCERTAIN	single-char prefix '坐' + 助词 (likely legitimate N+助词,但 ambiguous)
地	suide	随地	23851	suidi	UNCERTAIN	single-char prefix '随' + 助词 (likely legitimate N+助词,但 ambiguous)
地	momode	默默地	23740	momodi	SPURIOUS	重叠副词 '默默' + 助词
地	jingde	静地	23482	jingdi	UNCERTAIN	single-char prefix '静' + 助词 (likely legitimate N+助词,但 ambiguous)
地	shenshende	深深地	23010	shenshendi	SPURIOUS	重叠副词 '深深' + 助词
地	hede	何地	22481	hedi	UNCERTAIN	single-char prefix '何' + 助词 (likely legitimate N+助词,但 ambiguous)
地	deda	地大	22463	dida	UNCERTAIN	default
地	dedai	地大	22463	dida	UNCERTAIN	default
地	qiaoqiaode	悄悄地	22461	qiaoqiaodi	SPURIOUS	重叠副词 '悄悄' + 助词
地	dongde	动地	22334	dongdi	UNCERTAIN	single-char prefix '动' + 助词 (likely legitimate N+助词,但 ambiguous)
