delete_code	word	freq	why
wokuai	我会	38654	会:hui->kuai del-wrong
suipian	随便	37899	便:bian->pian del-wrong
mocuo	没错	35184	没:mei->mo del-wrong
yuxian	遇见	35071	见:jian->xian del-wrong
yidai	一大	34847	大:da->dai del-wrong
yidaili	意大利	34814	大:da->dai del-wrong
xinzhao	寻找	34726	寻:xun->xin del-wrong
mofa	没法	33907	没:mei->mo del-wrong
yanchangkuai	演唱会	33613	会:hui->kuai del-wrong
zuidai	最大	33403	大:da->dai del-wrong
congmo	从没	33226	没:mei->mo del-wrong
hendai	很大	33186	大:da->dai del-wrong
yimo	一万	33163	万:wan->mo del-wrong
zongkuai	总会	32764	会:hui->kuai del-wrong
dingkuai	定会	32575	会:hui->kuai del-wrong
mokan	没看	32564	没:mei->mo del-wrong
meixian	没见	31585	见:jian->xian del-wrong
mojian	没见	31585	没:mei->mo del-wrong
moxian	没见	31585	没:mei->mo del-wrong
taidai	太大	31453	大:da->dai del-wrong
moxiang	没想	31403	没:mei->mo del-wrong
mole	没了	31107	没:mei->mo del-wrong
moliao	没了	31107	没:mei->mo del-wrong
tiandai	天大	30763	大:da->dai del-wrong
mengxian	梦见	30742	见:jian->xian del-wrong
daili	大利	30581	大:da->dai del-wrong
moban	没办	30431	没:mei->mo del-wrong
changxian	常见	30348	见:jian->xian del-wrong
wankuai	晚会	30334	会:hui->kuai del-wrong
moxiangdao	没想到	30037	没:mei->mo del-wrong
jiaokuai	教会	30013	会:hui->kuai del-wrong
dailou	大楼	29990	大:da->dai del-wrong
conglaimo	从来没	29876	没:mei->mo del-wrong
moqu	没去	29844	没:mei->mo del-wrong
kuaiqu	会去	29821	会:hui->kuai del-wrong
jiadai	加大	29774	大:da->dai del-wrong
shukuo	舒适	29706	适:shi->kuo del-wrong
moqian	没钱	29634	没:mei->mo del-wrong
moguan	没关	29533	没:mei->mo del-wrong
fabukuai	发布会	29515	会:hui->kuai del-wrong
beidai	北大	29237	大:da->dai del-wrong
mode	没得	29193	没:mei->mo del-wrong
modei	没得	29193	没:mei->mo del-wrong
kuaizhu	会主	29050	会:hui->kuai del-wrong
chaodai	超大	28932	大:da->dai del-wrong
kuailai	会来	28912	会:hui->kuai del-wrong
xinqiu	寻求	28878	寻:xun->xin del-wrong
duola	堕落	28846	落:luo->la del-wrong
kuaihou	会后	28839	会:hui->kuai del-wrong
dailao	大佬	28656	大:da->dai del-wrong
jianxian	见见	28643	见:jian->xian del-wrong
xianjian	见见	28643	见:jian->xian del-wrong
xianxian	见见	28643	见:jian->xian del-wrong
houkuai	后会	28573	会:hui->kuai del-wrong
mozhun	没准	28443	没:mei->mo del-wrong
molai	没来	28346	没:mei->mo del-wrong
xinchang	寻常	28214	寻:xun->xin del-wrong
mohui	没回	28201	没:mei->mo del-wrong
kuoyong	适用	28144	适:shi->kuo del-wrong
moren	万人	28101	万:wan->mo del-wrong
gaikuai	该会	28073	会:hui->kuai del-wrong
pianxian	偏见	28045	见:jian->xian del-wrong
haojiumo	好久没	28002	没:mei->mo del-wrong
mochu	没出	27767	没:mei->mo del-wrong
daisan	大三	27680	大:da->dai del-wrong
yuedai	越大	27627	大:da->dai del-wrong
daishan	大山	27615	大:da->dai del-wrong
daiguimo	大规模	27602	大:da->dai del-wrong
kanshi	看似	27562	似:shi->si REVERSED del-prim
mokai	没开	27426	没:mei->mo del-wrong
modao	没到	27390	没:mei->mo del-wrong
likuai	理会	27326	会:hui->kuai del-wrong
leyue	乐乐	27307	乐:le->yue del-wrong
yuele	乐乐	27307	乐:le->yue del-wrong
yueyue	乐乐	27307	乐:le->yue del-wrong
jimo	几万	27288	万:wan->mo del-wrong
nengxian	能见	27277	见:jian->xian del-wrong
zhongdai	中大	27257	大:da->dai del-wrong
changkuai	常会	27073	会:hui->kuai del-wrong
liangmo	两万	27052	万:wan->mo del-wrong
tiankuai	天会	27016	会:hui->kuai del-wrong
yinyuekuai	音乐会	26927	会:hui->kuai del-wrong
moneng	没能	26891	没:mei->mo del-wrong
kuaiyong	会用	26888	会:hui->kuai del-wrong
daiyu	大于	26830	大:da->dai del-wrong
daijiang	大奖	26756	大:da->dai del-wrong
shidai	师大	26744	大:da->dai del-wrong
daiyu	大鱼	26738	大:da->dai del-wrong
gongdai	工大	26691	大:da->dai del-wrong
daifu	大幅	26610	大:da->dai del-wrong
guodai	国大	26590	大:da->dai del-wrong
daixian	大仙	26543	大:da->dai del-wrong
daibu	大步	26504	大:da->dai del-wrong
daige	大个	26482	大:da->dai del-wrong
chengdai	成大	26416	大:da->dai del-wrong
yibaimo	一百万	26220	万:wan->mo del-wrong
daiyan	大眼	26200	大:da->dai del-wrong
shoushishuai	收视率	26189	率:lv->shuai del-wrong
moshang	没上	26158	没:mei->mo del-wrong
daier	大二	26065	大:da->dai del-wrong
kedai	科大	26021	大:da->dai del-wrong
sanmo	三万	25967	万:wan->mo del-wrong
shandai	山大	25949	大:da->dai del-wrong
daisi	大四	25939	大:da->dai del-wrong
kuaisheng	会生	25890	会:hui->kuai del-wrong
kandexian	看得见	25849	见:jian->xian del-wrong
daiqing	大清	25814	大:da->dai del-wrong
nadai	那大	25781	大:da->dai del-wrong
henjiumo	很久没	25750	没:mei->mo del-wrong
zhuanlai	传来	25738	传:chuan->zhuan del-wrong
tedai	特大	25717	大:da->dai del-wrong
moxia	没下	25680	没:mei->mo del-wrong
daibao	大宝	25635	大:da->dai del-wrong
douhaimo	都还没	25615	没:mei->mo del-wrong
daixi	大西	25531	大:da->dai del-wrong
mogei	没给	25480	没:mei->mo del-wrong
moji	没给	25480	没:mei->mo del-wrong
zikuai	子会	25473	会:hui->kuai del-wrong
nandai	南大	25397	大:da->dai del-wrong
jidai	纪大	25382	大:da->dai del-wrong
shangmo	上万	25374	万:wan->mo del-wrong
badai	八大	25366	大:da->dai del-wrong
moduo	万多	25343	万:wan->mo del-wrong
moge	万个	25296	万:wan->mo del-wrong
daidui	大堆	25162	大:da->dai del-wrong
wumo	五万	25125	万:wan->mo del-wrong
lingkuai	领会	25012	会:hui->kuai del-wrong
huikuai	会会	24980	会:hui->kuai del-wrong
kuaihui	会会	24980	会:hui->kuai del-wrong
kuaikuai	会会	24980	会:hui->kuai del-wrong
yanjue	眼角	24968	角:jiao->jue del-wrong
daixiong	大熊	24957	大:da->dai del-wrong
youyue	游乐	24904	乐:le->yue del-wrong
xueshengkuai	学生会	24883	会:hui->kuai del-wrong
yalishandai	亚历山大	24883	大:da->dai del-wrong
shangkuai	上会	24775	会:hui->kuai del-wrong
mofang	没放	24747	没:mei->mo del-wrong
daizhong	大中	24724	大:da->dai del-wrong
laixian	来见	24678	见:jian->xian del-wrong
biandai	变大	24657	大:da->dai del-wrong
mochiguo	没吃过	24576	没:mei->mo del-wrong
daihan	大喊	24562	大:da->dai del-wrong
shangzhuan	上传	24525	传:chuan->zhuan del-wrong
modian	没电	24521	没:mei->mo del-wrong
daidian	大点	24520	大:da->dai del-wrong
zhuanchu	传出	24465	传:chuan->zhuan del-wrong
aodaili	澳大利	24457	大:da->dai del-wrong
liandai	脸大	24448	大:da->dai del-wrong
daima	大马	24435	大:da->dai del-wrong
kuaifen	会分	24420	会:hui->kuai del-wrong
juedai	绝大	24389	大:da->dai del-wrong
duomo	多万	24371	万:wan->mo del-wrong
zhuandao	传到	24343	传:chuan->zhuan del-wrong
kuaikuaileyue	快快乐乐	24321	乐:le->yue del-wrong
moxin	没心	24303	没:mei->mo del-wrong
weikuai	委会	24229	会:hui->kuai del-wrong
xinmi	寻觅	24139	寻:xun->xin del-wrong
mochuan	没穿	24111	没:mei->mo del-wrong
macha	抹茶	24086	抹:mo->ma del-wrong
kaidai	开大	24079	大:da->dai del-wrong
jianmiankuai	见面会	24057	会:hui->kuai del-wrong
daiwei	大为	24002	大:da->dai del-wrong
shishi	似是	23989	似:shi->si REVERSED del-prim
moyuan	万元	23946	万:wan->mo del-wrong
souxin	搜寻	23895	寻:xun->xin del-wrong
shangjue	上角	23870	角:jiao->jue del-wrong
miankuai	面会	23868	会:hui->kuai del-wrong
wudai	五大	23865	大:da->dai del-wrong
daikuai	待会	23847	会:hui->kuai del-wrong
kuoyi	适宜	23813	适:shi->kuo del-wrong
laru	落入	23773	落:luo->la del-wrong
ziyue	自乐	23723	乐:le->yue del-wrong
taikuai	太会	23657	会:hui->kuai del-wrong
simo	四万	23619	万:wan->mo del-wrong
daichu	大厨	23617	大:da->dai del-wrong
daixia	大虾	23615	大:da->dai del-wrong
lala	落落	23608	落:luo->la del-wrong
laluo	落落	23608	落:luo->la del-wrong
luola	落落	23608	落:luo->la del-wrong
suoxian	所见	23592	见:jian->xian del-wrong
ladao	落到	23573	落:luo->la del-wrong
daigui	大规	23553	大:da->dai del-wrong
dailiu	大流	23547	大:da->dai del-wrong
eee	哦哦哦	23545	哦:o->e del-wrong
eeo	哦哦哦	23545	哦:o->e del-wrong
eoe	哦哦哦	23545	哦:o->e del-wrong
eoo	哦哦哦	23545	哦:o->e del-wrong
oee	哦哦哦	23545	哦:o->e del-wrong
oeo	哦哦哦	23545	哦:o->e del-wrong
ooe	哦哦哦	23545	哦:o->e del-wrong
moxi	没洗	23520	没:mei->mo del-wrong
mobian	没变	23493	没:mei->mo del-wrong
shidai	十大	23490	大:da->dai del-wrong
yueshi	乐视	23489	乐:le->yue del-wrong
dailian	大脸	23443	大:da->dai del-wrong
buyue	不乐	23430	乐:le->yue del-wrong
dongdai	东大	23387	大:da->dai del-wrong
moxie	没写	23340	没:mei->mo del-wrong
zhenkuai	真会	23323	会:hui->kuai del-wrong
moli	万里	23314	万:wan->mo del-wrong
zhaoxin	找寻	23309	寻:xun->xin del-wrong
xiajue	下角	23304	角:jiao->jue del-wrong
daishi	大石	23298	大:da->dai del-wrong
moxue	没学	23258	没:mei->mo del-wrong
hengdai	恒大	23210	大:da->dai del-wrong
changyue	常乐	23171	乐:le->yue del-wrong
kuaizhan	会展	23152	会:hui->kuai del-wrong
daizui	大嘴	23147	大:da->dai del-wrong
jiexian	接见	23125	见:jian->xian del-wrong
suisuibianpian	随随便便	23097	便:bian->pian del-wrong
suisuipianbian	随随便便	23097	便:bian->pian del-wrong
suisuipianpian	随随便便	23097	便:bian->pian del-wrong
seer	塞尔	23062	塞:sai->se del-wrong
daibian	大变	23057	大:da->dai del-wrong
mowan	没玩	23027	没:mei->mo del-wrong
daiku	大哭	23012	大:da->dai del-wrong
daipai	大牌	23006	大:da->dai del-wrong
daidong	大东	23005	大:da->dai del-wrong
dandai	胆大	22996	大:da->dai del-wrong
moduojiu	没多久	22975	没:mei->mo del-wrong
modong	没动	22959	没:mei->mo del-wrong
congxiaodaodai	从小到大	22951	大:da->dai del-wrong
daizeng	大增	22944	大:da->dai del-wrong
zuikuo	最适	22938	适:shi->kuo del-wrong
mojin	没进	22892	没:mei->mo del-wrong
gankun	乾坤	22889	乾:qian->gan del-wrong
daijiudian	大酒店	22879	大:da->dai del-wrong
youyuechang	游乐场	22879	乐:le->yue del-wrong
daidu	大肚	22856	大:da->dai del-wrong
jiaodai	交大	22839	大:da->dai del-wrong
shuaigao	率高	22835	率:lv->shuai del-wrong
bianpian	便便	22795	便:bian->pian del-wrong
pianbian	便便	22795	便:bian->pian del-wrong
pianpian	便便	22795	便:bian->pian del-wrong
lexian	乐见	22760	见:jian->xian del-wrong
yuejian	乐见	22760	乐:le->yue del-wrong
yuexian	乐见	22760	乐:le->yue del-wrong
fadaicai	发大财	22746	大:da->dai del-wrong
zhaoyue	找乐	22727	乐:le->yue del-wrong
fudai	福大	22665	大:da->dai del-wrong
jikuai	计会	22656	会:hui->kuai del-wrong
daiguo	大锅	22619	大:da->dai del-wrong
momen	没门	22584	没:mei->mo del-wrong
jiezi	桔子	22533	桔:ju->jie del-wrong
fengkuai	峰会	22517	会:hui->kuai del-wrong
kuoshi	适时	22510	适:shi->kuo del-wrong
pofu	剖腹	22506	剖:pou->po del-wrong
daiying	大英	22504	大:da->dai del-wrong
youxiaoshuai	有效率	22490	率:lv->shuai del-wrong
zhendai	真大	22490	大:da->dai del-wrong
didai	地大	22463	大:da->dai del-wrong
morang	没让	22458	没:mei->mo del-wrong
fenbianshuai	分辨率	22451	率:lv->shuai del-wrong
diaola	掉落	22376	落:luo->la del-wrong
daixiong	大兄	22374	大:da->dai del-wrong
daibaoyu	大暴雨	22371	大:da->dai del-wrong
huadai	华大	22355	大:da->dai del-wrong
dailong	大龙	22338	大:da->dai del-wrong
daijin	大金	22311	大:da->dai del-wrong
bula	不落	22283	落:luo->la del-wrong
daizhao	大招	22280	大:da->dai del-wrong
ligongdai	理工大	22256	大:da->dai del-wrong
wudai	武大	22222	大:da->dai del-wrong
daitang	大唐	22208	大:da->dai del-wrong
weixian	未见	22198	见:jian->xian del-wrong
