delete_code	word	freq	why
pengyoujuan	朋友圈	29690	圈:quan/juan del-wrong b2
chenyang	沈阳	29018	沈:shen/chen del-wrong b2
yijuan	一圈	28495	圈:quan/juan del-wrong b2
yanjuan	眼圈	27409	圈:quan/juan del-wrong b2
yiji	一系	26679	系:xi/ji del-wrong b2
zongjiao	总觉	26469	觉:jue/jiao del-wrong b2
juanjuan	圈圈	26401	圈:quan/juan del-wrong b2
juanquan	圈圈	26401	圈:quan/juan del-wrong b2
quanjuan	圈圈	26401	圈:quan/juan del-wrong b2
jiaozhao	觉着	25809	觉:jue/jiao del-wrong b2
jiaozhe	觉着	25809	觉:jue/jiao del-wrong b2
jiaozhuo	觉着	25809	觉:jue/jiao del-wrong b2
heiyanjuan	黑眼圈	24311	圈:quan/juan del-wrong b2
nipoer	尼泊尔	23083	泊:po/bo del-prim b2
juantao	圈套	22945	圈:quan/juan del-wrong b2
juanli	圈里	22561	圈:quan/juan del-wrong b2
yanyijuan	演艺圈	21749	圈:quan/juan del-wrong b2
seji	色系	21407	系:xi/ji del-wrong b2
yexia	咽下	21172	咽:yan/ye del-wrong b2
xishang	系上	21054	系:xi/ji del-prim b2
yuejiao	越觉	21032	觉:jue/jiao del-wrong b2
panweibai	潘玮柏	20679	柏:bai/bo del-prim b2
liangjuan	两圈	20669	圈:quan/juan del-wrong b2
shuijiaojue	睡觉觉	20161	觉:jue/jiao del-prim b2
xinji	心系	19975	系:xi/ji del-wrong b2
zhuquan	猪圈	19791	圈:quan/juan del-prim b2
houzhihoujiao	后知后觉	19783	觉:jue/jiao del-wrong b2
huajuan	花圈	19621	圈:quan/juan del-wrong b2
jiaochu	觉出	19566	觉:jue/jiao del-wrong b2
jijuan	几圈	19497	圈:quan/juan del-wrong b2
quanyang	圈养	19443	圈:quan/juan del-prim b2
huilongjue	回笼觉	19439	觉:jue/jiao del-prim b2
juannei	圈内	19390	圈:quan/juan del-wrong b2
dajuan	大圈	19094	圈:quan/juan del-wrong b2
sanjuan	三圈	18905	圈:quan/juan del-wrong b2
youyongjuan	游泳圈	18572	圈:quan/juan del-wrong b2
fanjuan	饭圈	18541	圈:quan/juan del-wrong b2
gaiji	该系	18539	系:xi/ji del-wrong b2
shuidajue	睡大觉	18102	觉:jue/jiao del-prim b2
guaijuan	怪圈	18051	圈:quan/juan del-wrong b2
jiushengjuan	救生圈	18006	圈:quan/juan del-wrong b2
xiaojuan	小圈	17981	圈:quan/juan del-wrong b2
shangjuan	商圈	17958	圈:quan/juan del-wrong b2
juanwai	圈外	17910	圈:quan/juan del-wrong b2
duozheni	多着呢	17808	呢:ne/ni del-wrong b2
yisha	一刹	17796	刹:sha/cha del-prim b2
yigejuan	一个圈	17691	圈:quan/juan del-wrong b2
heti	河堤	17657	堤:di/ti del-wrong b2
baila	柏拉	17525	柏:bai/bo del-prim b2
shoucha	手刹	17395	刹:sha/cha del-wrong b2
faji	法系	17349	系:xi/ji del-wrong b2
juanqian	圈钱	17325	圈:quan/juan del-wrong b2
jiaoshi	觉世	17142	觉:jue/jiao del-wrong b2
jizhuren	系主任	17077	系:xi/ji del-wrong b2
zhongwenji	中文系	17045	系:xi/ji del-wrong b2
zhuanquanjuan	转圈圈	17035	圈:quan/juan del-wrong b2
waijuan	外圈	16937	圈:quan/juan del-wrong b2
weiji	维系	16824	系:xi/ji del-wrong b2
piaojuan	票圈	16753	圈:quan/juan del-wrong b2
tuijuan	退圈	16753	圈:quan/juan del-wrong b2
yangni	养呢	16729	呢:ne/ni del-wrong b2
shenghuojuan	生活圈	16662	圈:quan/juan del-wrong b2
tiba	堤坝	16548	堤:di/ti del-wrong b2
huajuan	画圈	16426	圈:quan/juan del-wrong b2
yebuxia	咽不下	16405	咽:yan/ye del-wrong b2
paojuan	跑圈	16367	圈:quan/juan del-wrong b2
zhengjiao	正觉	16014	觉:jue/jiao del-wrong b2
bomu	柏木	16009	柏:bai/bo del-wrong b2
chenyue	沈月	15959	沈:shen/chen del-wrong b2
zhongjiao	终觉	15878	觉:jue/jiao del-wrong b2
tongji	同系	15771	系:xi/ji del-wrong b2
jueti	决堤	15483	堤:di/ti del-wrong b2
jiaoluo	觉罗	15475	觉:jue/jiao del-wrong b2
shijuan	十圈	15378	圈:quan/juan del-wrong b2
jili	系里	15376	系:xi/ji del-wrong b2
yita	一沓	15374	沓:da/ta del-wrong b2
hulajuan	呼啦圈	15282	圈:quan/juan del-wrong b2
yuanji	院系	15134	系:xi/ji del-wrong b2
jiaoyuji	教育系	15106	系:xi/ji del-wrong b2
haojijuan	好几圈	15033	圈:quan/juan del-wrong b2
xuegu	削骨	15003	削:xue/xiao del-prim b2
gangjuan	钢圈	14744	圈:quan/juan del-wrong b2
shahai	刹海	14658	刹:sha/cha del-prim b2
nedayi	呢大衣	14658	呢:ne/ni del-prim b2
bayujuan	鲅鱼圈	14646	圈:quan/juan del-wrong b2
gongchengji	工程系	14503	系:xi/ji del-wrong b2
chenyangshi	沈阳市	14492	沈:shen/chen del-wrong b2
duojuan	多圈	14476	圈:quan/juan del-wrong b2
banjuan	半圈	14395	圈:quan/juan del-wrong b2
raojuan	绕圈	14391	圈:quan/juan del-wrong b2
shenshahai	什刹海	14385	刹:sha/cha del-prim b2
juanneiren	圈内人	14376	圈:quan/juan del-wrong b2
kejuankedian	可圈可点	14330	圈:quan/juan del-wrong b2
tifang	堤防	14238	堤:di/ti del-wrong b2
jiaocha	脚刹	14106	刹:sha/cha del-wrong b2
lingbi	另辟	14105	辟:pi/bi del-wrong b2
fengjuan	风圈	13989	圈:quan/juan del-wrong b2
shenhui	参会	13919	参:can/shen del-wrong b2
shenkuai	参会	13919	参:can/shen del-wrong b2
tishang	堤上	13764	堤:di/ti del-wrong b2
liji	力系	13753	系:xi/ji del-wrong b2
weijiao	未觉	13749	觉:jue/jiao del-wrong b2
weijuan	围圈	13722	圈:quan/juan del-wrong b2
cheji	车系	13668	系:xi/ji del-wrong b2
jiaojie	觉解	13650	觉:jue/jiao del-wrong b2
