delete_code	word	freq	why
chenyang	沈阳	29018	沈:shen/chen del-wrong b2
zongjiao	总觉	26469	觉:jue/jiao del-wrong b2
jiaozhao	觉着	25809	觉:jue/jiao del-wrong b2
jiaozhe	觉着	25809	觉:jue/jiao del-wrong b2
jiaozhuo	觉着	25809	觉:jue/jiao del-wrong b2
nipoer	尼泊尔	23083	泊:po/bo del-prim b2
yexia	咽下	21172	咽:yan/ye del-wrong b2
yuejiao	越觉	21032	觉:jue/jiao del-wrong b2
panweibai	潘玮柏	20679	柏:bai/bo del-prim b2
shuijiaojue	睡觉觉	20161	觉:jue/jiao del-prim b2
houzhihoujiao	后知后觉	19783	觉:jue/jiao del-wrong b2
jiaochu	觉出	19566	觉:jue/jiao del-wrong b2
huilongjue	回笼觉	19439	觉:jue/jiao del-prim b2
shuidajue	睡大觉	18102	觉:jue/jiao del-prim b2
duozheni	多着呢	17808	呢:ne/ni del-wrong b2
yisha	一刹	17796	刹:sha/cha del-prim b2
heti	河堤	17657	堤:di/ti del-wrong b2
baila	柏拉	17525	柏:bai/bo del-prim b2
shoucha	手刹	17395	刹:sha/cha del-wrong b2
jiaoshi	觉世	17142	觉:jue/jiao del-wrong b2
yangni	养呢	16729	呢:ne/ni del-wrong b2
tiba	堤坝	16548	堤:di/ti del-wrong b2
yebuxia	咽不下	16405	咽:yan/ye del-wrong b2
zhengjiao	正觉	16014	觉:jue/jiao del-wrong b2
bomu	柏木	16009	柏:bai/bo del-wrong b2
chenyue	沈月	15959	沈:shen/chen del-wrong b2
zhongjiao	终觉	15878	觉:jue/jiao del-wrong b2
jueti	决堤	15483	堤:di/ti del-wrong b2
jiaoluo	觉罗	15475	觉:jue/jiao del-wrong b2
yita	一沓	15374	沓:da/ta del-wrong b2
xuegu	削骨	15003	削:xue/xiao del-prim b2
shahai	刹海	14658	刹:sha/cha del-prim b2
nedayi	呢大衣	14658	呢:ne/ni del-prim b2
chenyangshi	沈阳市	14492	沈:shen/chen del-wrong b2
shenshahai	什刹海	14385	刹:sha/cha del-prim b2
tifang	堤防	14238	堤:di/ti del-wrong b2
jiaocha	脚刹	14106	刹:sha/cha del-wrong b2
lingbi	另辟	14105	辟:pi/bi del-wrong b2
shenhui	参会	13919	参:can/shen del-wrong b2
shenkuai	参会	13919	参:can/shen del-wrong b2
tishang	堤上	13764	堤:di/ti del-wrong b2
weijiao	未觉	13749	觉:jue/jiao del-wrong b2
jiaojie	觉解	13650	觉:jue/jiao del-wrong b2
shentuan	参团	13319	参:can/shen del-wrong b2
xuejian	削尖	13227	削:xue/xiao del-prim b2
xuediao	削掉	13108	削:xue/xiao del-prim b2
abodu	阿卜杜	13064	卜:bo/bu del-prim b2
chenyangzhan	沈阳站	13030	沈:shen/chen del-wrong b2
dayine	大衣呢	12975	呢:ne/ni del-prim b2
boshu	蕃薯	12953	蕃:fan/bo del-wrong b2
shenjiao	深觉	12908	觉:jue/jiao del-wrong b2
