char	word	freq	prim_code	wrong_code
卜	卜卜	13598	bobo	bobu
卜	卜卜	13598	bobo	bubo
卜	卜卜	13598	bobo	bubu
嗯	嗯帮忙	3094	nbangmang	ngbangmang
爪	鸡爪	20397	jizhao	jizhua
爪	爪爪	17999	zhaozhao	zhaozhua
爪	爪爪	17999	zhaozhao	zhuazhao
爪	爪爪	17999	zhaozhao	zhuazhua
爪	爪机	17099	zhaoji	zhuaji
爪	猫爪	15095	maozhao	maozhua
爪	鸭爪	14407	yazhao	yazhua
爪	狗爪	12455	gouzhao	gouzhua
爪	蟹爪	12317	xiezhao	xiezhua
爪	爪印	12314	zhaoyin	zhuayin
爪	黑爪	11998	heizhao	heizhua
爪	熊爪	11902	xiongzhao	xiongzhua
爪	脚爪	11815	jiaozhao	jiaozhua
爪	龙爪	11450	longzhao	longzhua
爪	猪爪	10968	zhuzhao	zhuzhua
爪	冰爪	10893	bingzhao	bingzhua
爪	磨爪	10798	mozhao	mozhua
爪	双爪	9772	shuangzhao	shuangzhua
爪	泡爪	9667	paozhao	paozhua
爪	绿爪	9533	lvzhao	lvzhua
爪	狼爪	9392	langzhao	langzhua
爪	虎爪	9039	huzhao	huzhua
爪	爪抓	8668	zhaozhua	zhuazhua
爪	风爪	8535	fengzhao	fengzhua
爪	喵爪	8091	miaozhao	miaozhua
爪	爪鸡	8091	zhaoji	zhuaji
爪	鸟爪	6927	niaozhao	niaozhua
爪	指爪	6359	zhizhao	zhizhua
爪	棘爪	6265	jizhao	jizhua
爪	爪甲	5311	zhaojia	zhuajia
爪	爪钩	3094	zhaogou	zhuagou
辟	征辟	4193	zhengpi	zhengbi
辟	便辟	3094	bianpi	bianbi
