aicairuming	爱才如命	ACCEPT
aidabuli	爱答不理	ACCEPT
aiganwanyan	哀感顽艳	ACCEPT
aimenaihu	挨门挨户	ACCEPT
airenliwu	爱人利物	ACCEPT
airenyide	爱人以德	ACCEPT
ananjingjing	安安静静	ACCEPT
ananwenwen	安安稳稳	ACCEPT
ananxinxin	安安心心	ACCEPT
anbangzhiguo	安邦治国	ACCEPT
anbingshujia	按兵束甲	ACCEPT
anbuwangwei	安不忘危	ACCEPT
ancangshaji	暗藏杀机	ACCEPT
anchaoxiongyong	暗潮汹涌	ACCEPT
anchepulun	安车蒲轮	ACCEPT
andanwuguang	暗淡无光	ACCEPT
andanwuguang	黯淡无光	ACCEPT
anduchencang	暗度陈仓	ACCEPT
andulaoxing	案牍劳形	ACCEPT
andurugu	安堵如故	ACCEPT
anguzhibian	岸谷之变	ACCEPT
anjiannanfang	暗箭难防	ACCEPT
anjianshangren	暗箭伤人	ACCEPT
anneirangwai	安内攘外	ACCEPT
anpinlejian	安贫乐贱	ACCEPT
anranwushi	安然无事	ACCEPT
anruotaishan	安若泰山	ACCEPT
anrutaishan	安如泰山	ACCEPT
antongkuanqu	暗通款曲	ACCEPT
anxiangwannian	安享晚年	ACCEPT
anyupanshi	安于盘石	ACCEPT
anzhenerwo	安枕而卧	ACCEPT
anzhenwuyou	安枕无忧	ACCEPT
anzhiruoming	安之若命	ACCEPT
anzhongmosuo	暗中摸索	ACCEPT
aobukezhang	傲不可长	ACCEPT
aogulinlin	傲骨嶙嶙	ACCEPT
aoxuelingshuang	傲雪凌霜	ACCEPT
ayufengcheng	阿谀奉承	ACCEPT
ayufengying	阿谀逢迎	ACCEPT
babaiguhan	八百孤寒	ACCEPT
babenseyuan	拔本塞源	ACCEPT
babirulin	把臂入林	ACCEPT
badaoxiangzhu	拔刀相助	ACCEPT
badouzhicai	八斗之才	ACCEPT
baibaijingjing	白白净净	ACCEPT
baibanwunai	百般无奈	ACCEPT
baibaxiongdi	拜把兄弟	ACCEPT
baibingcongsheng	百病丛生	ACCEPT
baibuxuanzhong	败不旋踵	ACCEPT
baidubuqin	百毒不侵	ACCEPT
baierheshan	百二河山	ACCEPT
baifeijuju	百废具举	ACCEPT
baifeikoushe	白费口舌	ACCEPT
baiguanyeshi	稗官野史	ACCEPT
baihongguanri	白虹贯日	ACCEPT
baihuanufang	百花怒放	ACCEPT
baihuazhengyan	百花争艳	ACCEPT
baijubaijie	百举百捷	ACCEPT
baijunzhijiang	败军之将	ACCEPT
baikanbuyan	百看不厌	ACCEPT
bailongyufu	白龙鱼服	ACCEPT
baimafeima	白马非马	ACCEPT
baimiyishu	百密一疏	ACCEPT
bainianyiyu	百年一遇	ACCEPT
bainianzhihao	百年之好	ACCEPT
bainiaochaofeng	百鸟朝凤	ACCEPT
baiquanfeisheng	百犬吠声	ACCEPT
bairenchengjin	百忍成金	ACCEPT
bairiqingtian	白日青天	ACCEPT
