# code	word	v1_freq	reason
wusuoweiju	无所畏惧	25308	标准成语
laolaoshishi	老老实实	25084	固定叠字熟语
kaikaixinxin	开开心心	25074	固定叠字熟语
kuaikuailele	快快乐乐	24321	固定叠字熟语
mengxiangchengzhen	梦想成真	24192	标准成语
pingpinganan	平平安安	23994	固定叠字熟语
honghonghuohuo	红红火火	23801	固定叠字熟语
ananjingjing	安安静静	23648	固定叠字熟语
zhiguanchongyao	至关重要	23266	固定四字熟语
suisuibianbian	随随便便	23097	固定叠字熟语
wuyongzhiyi	毋庸置疑	23008	标准成语
jianjiandandan	简简单单	22868	固定叠字熟语
yinianyidu	一年一度	22178	固定成语
bukanhuishou	不堪回首	22160	标准成语
renrenzhenzhen	认认真真	21963	固定叠字熟语
xixihaha	嘻嘻哈哈	21778	叠字成语
huanghuanghuhu	恍恍惚惚	21718	叠字成语
qingqingchuchu	清清楚楚	21666	固定叠字熟语
jidongrenxin	激动人心	21480	标准成语
jianjiankangkang	健健康康	21288	固定叠字熟语
shiwaitaoyuan	世外桃源	21204	标准成语
banyesangeng	半夜三更	21095	标准成语
xinyoulingxi	心有灵犀	20925	标准成语
yibizhili	一臂之力	20831	标准成语
wukehoufei	无可厚非	20471	标准成语
qianchengsijin	前程似锦	20436	标准成语
buzhiyiti	不值一提	20275	标准成语
jixiangruyi	吉祥如意	20243	标准成语
shuwozhiyan	恕我直言	20232	固定成语
changpiandalun	长篇大论	20176	标准成语
qiazhiyisuan	掐指一算	20141	固定熟语
shunshunlili	顺顺利利	20139	固定叠字熟语
diedangqifu	跌宕起伏	20083	标准成语
piaoyangguohai	漂洋过海	20007	标准成语
congcongmangmang	匆匆忙忙	19994	固定叠字熟语
jinrurenyi	尽如人意	19901	标准成语
fajiazhifu	发家致富	19724	标准成语
youliyouju	有理有据	19643	固定成语
yukuwulei	欲哭无泪	19515	标准成语
zhenfenrenxin	振奋人心	19424	固定成语
tianzhenwuxie	天真无邪	19416	标准成语
ririyeye	日日夜夜	19392	固定叠字熟语
shanshanfaguang	闪闪发光	19296	固定四字熟语
shibukedang	势不可挡	19189	标准成语
zhaojiuwanwu	朝九晚五	18973	固定熟语
jinjinchuchu	进进出出	18941	固定叠字熟语
dajiangnanbei	大江南北	18888	标准成语
tianshidili	天时地利	18818	标准成语
youxueyourou	有血有肉	18802	标准成语
jiabanjiadian	加班加点	18763	固定熟语
shangshangxiaxia	上上下下	18746	固定叠字熟语
mangmanglulu	忙忙碌碌	18741	固定叠字熟语
zhenzhenqieqie	真真切切	18735	固定叠字熟语
renjianyanhuo	人间烟火	18730	固定四字熟语
xuxuduoduo	许许多多	18716	固定叠字熟语
xiongxinzhuangzhi	雄心壮志	18704	标准成语
mangmangrenhai	茫茫人海	18674	固定四字熟语
dafengdalang	大风大浪	18647	标准成语
zhongchengjuanshu	终成眷属	18647	固定成语
qiqiguaiguai	奇奇怪怪	18644	固定叠字熟语
douzhidouyong	斗智斗勇	18643	标准成语
suansuantiantian	酸酸甜甜	18639	固定叠字熟语
tianhundian	天昏地暗	18588	标准成语
zhuozhuangchengzhang	茁壮成长	18575	标准成语
wanshijubei	万事俱备	18554	标准成语
shoubinanshan	寿比南山	18552	标准成语
piaopiaoliangliang	漂漂亮亮	18551	固定叠字熟语
yaosuanbeitong	腰酸背痛	18399	固定熟语
lengnuanzizhi	冷暖自知	18378	成语
zhenqingshigan	真情实感	18369	固定熟语
qianchuangbaikong	千疮百孔	18338	成语
yanyanggaozhao	艳阳高照	18323	固定熟语
bulengbure	不冷不热	18300	成语
youguoyoumin	忧国忧民	18218	成语
guangcaizhaoren	光彩照人	18085	成语
furudonghai	福如东海	18020	成语
gankaiwanqian	感慨万千	17977	成语
yishenzhengqi	一身正气	17937	成语
jiankangchangshou	健康长寿	17904	固定祝语
huitoushian	回头是岸	17882	成语
fazifeifu	发自肺腑	17835	成语
pingxinjingqi	平心静气	17824	成语
tianxiawudi	天下无敌	17811	固定熟语
fengjingruhua	风景如画	17795	成语
kaihuaidaxiao	开怀大笑	17731	成语
lebusishu	乐不思蜀	17731	成语
yundanfengqing	云淡风轻	17641	成语
riliwanji	日理万机	17613	成语
wulihuitian	无力回天	17590	成语
jingyanzhitan	经验之谈	17552	成语
qirenyoutian	杞人忧天	17524	成语
chunyiangran	春意盎然	17507	成语
yiqubufan	一去不返	17441	成语
qingzheziqing	清者自清	17435	成语
congshizhizhong	从始至终	17426	成语
shencangbulu	深藏不露	17424	成语
dilaotianhuang	地老天荒	17401	成语
qiaoluodagu	敲锣打鼓	17391	固定熟语
dianshanleiming	电闪雷鸣	17382	成语
tiantianmimi	甜甜蜜蜜	17354	固定叠词
baidubuqin	百毒不侵	17336	固定熟语
zuoshibuguan	坐视不管	17320	成语
shencanzhijian	身残志坚	17302	成语
jiezhongerzhi	接踵而至	17280	成语
wusuoguji	无所顾忌	17260	成语
shichuyouyin	事出有因	17233	成语
baikanbuyan	百看不厌	17230	成语
chaofantuosu	超凡脱俗	17218	成语
tanchengxiangdai	坦诚相待	17216	固定熟语
jingyingtitou	晶莹剔透	17161	成语
anbangzhiguo	安邦治国	17154	成语
rerenaonao	热热闹闹	17153	固定叠词
qinglizhizhong	情理之中	17147	成语
feifenzhixiang	非分之想	17139	成语
yongbaoqingchun	永葆青春	17114	固定熟语
gudichongyou	故地重游	17102	成语
xiaokouchangkai	笑口常开	17099	固定熟语
denghuolanshan	灯火阑珊	17040	成语
laishixiongxiong	来势汹汹	17021	成语
laoleizongheng	老泪纵横	17004	成语
qingqingbaibai	清清白白	16986	固定叠词
kejianyiban	可见一斑	16961	成语
chunxindangyang	春心荡漾	16955	固定熟语
ziqiuduofu	自求多福	16949	成语
huimouyixiao	回眸一笑	16943	固定熟语
yiyishenghui	熠熠生辉	16896	成语
jiaoshuyuren	教书育人	16889	固定熟语
banmennongfu	班门弄斧	16888	典故成语
yuxuefenzhan	浴血奋战	16862	成语
chongguiyuhao	重归于好	16840	固定熟语
ananwenwen	安安稳稳	16831	AABB熟语
zhenhanrenxin	震撼人心	16826	固定熟语
ciqingcijing	此情此景	16809	固定熟语
dangjuzhemi	当局者迷	16780	成语
nannannvnv	男男女女	16767	AABB熟语
xinshounianlai	信手拈来	16761	成语
laoruobingcan	老弱病残	16760	固定熟语
bukanzhongfu	不堪重负	16737	成语
zhefengdangyu	遮风挡雨	16734	固定熟语
youxinwuli	有心无力	16731	成语
huakaihualuo	花开花落	16706	固定熟语
fengdupianpian	风度翩翩	16703	成语
jingcaijuelun	精彩绝伦	16686	成语
renzhejianren	仁者见仁	16676	成语
kunnanchongchong	困难重重	16664	成语
yanzhiyouli	言之有理	16664	成语
dijiutianchang	地久天长	16658	成语
chibaohezu	吃饱喝足	16646	固定熟语
shenshidushi	审时度势	16635	成语
xizhiruwei	细致入微	16627	成语
qianglindanyu	枪林弹雨	16622	成语
zhizhejianzhi	智者见智	16616	成语
yexinbobo	野心勃勃	16610	成语
woshouyanhe	握手言和	16589	成语
baitoudaolao	白头到老	16578	固定熟语
zhenqingliulu	真情流露	16546	固定熟语
manxinhuanxi	满心欢喜	16511	固定熟语
jinyanshenxing	谨言慎行	16507	成语
yiziyiju	一字一句	16504	固定熟语
yibuliushen	一不留神	16497	固定熟语
feitongyiban	非同一般	16492	固定熟语
maosuizijian	毛遂自荐	16479	典故成语
wochuangbuqi	卧床不起	16477	固定熟语
busijinqu	不思进取	16455	成语
shizhibuyu	矢志不渝	16428	成语
zisunhoudai	子孙后代	16409	固定熟语
nianniansuisui	年年岁岁	16379	固定熟语
laiqucongcong	来去匆匆	16364	固定熟语
bolanbujing	波澜不惊	16353	成语
weiweidaolai	娓娓道来	16345	成语
zhenxinchengyi	真心诚意	16343	固定熟语
tongmingxianglian	同命相连	16321	成语
jiayoudaqi	加油打气	16314	固定熟语
sixuwanqian	思绪万千	16314	固定熟语
moranhuishou	蓦然回首	16309	成语
weiwuxiongzhuang	威武雄壮	16301	成语
yangmeituqi	扬眉吐气	16279	成语
jiejiuxiaochou	借酒消愁	16277	固定熟语
zhizhishenshao	知之甚少	16252	固定熟语
jinmozhehei	近墨者黑	16251	成语
fulaoxiangqin	父老乡亲	16239	固定熟语
diandaoweizhi	点到为止	16229	成语
shaochiduocan	少吃多餐	16213	固定熟语
gaishiyingxiong	盖世英雄	16212	固定熟语
hairenhaiji	害人害己	16204	固定熟语
guangxianliangli	光鲜亮丽	16171	固定熟语
zhenzhenjiajia	真真假假	16167	AABB熟语
yingxionghaojie	英雄豪杰	16098	固定熟语
qianlvjiqiong	黔驴技穷	16089	典故成语
renrenpingdeng	人人平等	16025	固定熟语
dongnuanxialiang	冬暖夏凉	16006	成语
chaochaonaonao	吵吵闹闹	16000	AABB熟语
shiguangrenran	时光荏苒	15998	成语
nanyiyanbiao	难以言表	15988	成语
burushiming	不辱使命	15974	成语
tuantuanyuanyuan	团团圆圆	15961	AABB熟语
shunxinruyi	顺心如意	15950	固定熟语
weirenchushi	为人处事	15942	成语
zhigenzhidi	知根知底	15915	固定熟语
tianshangrenjian	天上人间	15899	固定熟语
jinguangshanshan	金光闪闪	15890	固定熟语
zhenzhenzhengzheng	真真正正	15890	AABB熟语
qingzhuangshangzhen	轻装上阵	15883	成语
nandehutu	难得糊涂	15879	成语
zhixingheyi	知行合一	15878	固定熟语
sichubenbo	四处奔波	15867	成语
bushanyanci	不善言辞	15859	固定熟语
sanweiyiti	三位一体	15858	成语
beixijiaojia	悲喜交加	15855	成语
chuchudongren	楚楚动人	15844	成语
wukuiyuxin	无愧于心	15832	固定熟语
zuiwengzhiyi	醉翁之意	15818	成语
bainianyiyu	百年一遇	15782	固定熟语
changranruoshi	怅然若失	15778	成语
dazuowenzhang	大作文章	15773	成语变体
tantandangdang	坦坦荡荡	15764	叠字熟语
tiangaodihou	天高地厚	15764	成语
hejiahuanle	阖家欢乐	15759	固定祝福熟语
henianheyue	何年何月	15723	成语
xinjirufen	心急如焚	15722	成语
wuyunmibu	乌云密布	15653	成语
zhuzhouweinve	助纣为虐	15647	成语
chechedidi	彻彻底底	15645	叠字熟语
yueheifenggao	月黑风高	15631	成语
jiankuzhuojue	艰苦卓绝	15618	成语
huannanyugong	患难与共	15616	成语
enenaiai	恩恩爱爱	15588	叠字熟语
enuoduozi	婀娜多姿	15586	成语
chengxiongdaodi	称兄道弟	15585	成语
dahaoheshan	大好河山	15566	成语
guiguijuju	规规矩矩	15523	叠字熟语
huaqianyuexia	花前月下	15509	成语
baibaijingjing	白白净净	15492	叠字熟语
zhicuojiugai	知错就改	15469	成语
shishiruyi	事事如意	15450	固定祝福熟语
feihuangtengda	飞黄腾达	15447	成语
xinchengzeling	心诚则灵	15444	俗语熟语
shishifeifei	是是非非	15437	成语
changciyiwang	长此以往	15417	成语
kekepengpeng	磕磕碰碰	15410	叠字熟语
ziwenzida	自问自答	15382	成语
faliwubian	法力无边	15364	成语
mianbozhili	绵薄之力	15355	成语
dizhuzhiyi	地主之谊	15351	成语
kengqiangyouli	铿锵有力	15347	成语
shengshengshishi	生生世世	15338	叠字成语
songsongkuakua	松松垮垮	15269	叠字熟语
congguzhijin	从古至今	15252	熟语
zishuozihua	自说自话	15249	成语
jinzhuzhechi	近朱者赤	15248	成语
suisuiniannian	岁岁年年	15218	叠字成语
yisaoerguang	一扫而光	15216	成语
risiyexiang	日思夜想	15214	成语
hedeheneng	何德何能	15177	成语
jianglangcaijin	江郎才尽	15148	成语
nianqingqicheng	年轻气盛	15146	成语
rencaibeichu	人才辈出	15144	成语
shewoqishui	舍我其谁	15131	成语
zizixixi	仔仔细细	15131	叠字熟语
momohuhu	模模糊糊	15111	叠字熟语
fanhuasijin	繁花似锦	15089	成语
ananxinxin	安安心心	15081	叠字熟语
changjiuzhiji	长久之计	15069	成语
gaoshanliushui	高山流水	15068	成语
jingcaifencheng	精彩纷呈	15067	成语
bunanbunv	不男不女	15061	成语
fengyujiancheng	风雨兼程	15032	成语
zaisuobuxi	在所不惜	15027	成语
quzhongrensan	曲终人散	15019	成语
qingshensihai	情深似海	15013	成语
xunxunmimi	寻寻觅觅	15004	叠字成语
weiguojuanqu	为国捐躯	15000	成语
yunyunhuhu	晕晕乎乎	15000	叠字熟语
rumuchunfeng	如沐春风	14988	成语
minglingjinzhi	明令禁止	14977	成语
xunhuanwangfu	循环往复	14975	成语
shoufangziru	收放自如	14969	成语
tongfengbaoxin	通风报信	14962	成语
tanhunlunjia	谈婚论嫁	14951	成语
yinyulianmian	阴雨连绵	14936	成语
weirenchushi	为人处世	14924	成语
geyousuochang	各有所长	14922	成语
qiruanpaying	欺软怕硬	14895	成语
direnyideng	低人一等	14890	成语
qiqiluoluo	起起落落	14889	叠字熟语
wuguzaliang	五谷杂粮	14870	固定熟语
zunjishoufa	遵纪守法	14831	成语
baobianbuyi	褒贬不一	14817	成语
jingzhongbaoguo	精忠报国	14802	典故成语
meiweijiayao	美味佳肴	14784	固定熟语
rengeyouzhi	人各有志	14783	成语
dafacibei	大发慈悲	14772	成语
buzhilianchi	不知廉耻	14760	成语
rentouzandong	人头攒动	14760	成语
congtouzhiwei	从头至尾	14757	成语
jiyuanqiaohe	机缘巧合	14757	成语
huanghuangzhangzhang	慌慌张张	14750	叠字熟语
dangtouyibang	当头一棒	14739	成语
jiejinsuoneng	竭尽所能	14739	成语
shishinanliao	世事难料	14732	固定熟语
youyuanwufen	有缘无份	14730	固定熟语
jiachangliduan	家长里短	14729	成语
wangchuanqiushui	望穿秋水	14724	成语
xiaoyoumingqi	小有名气	14690	成语
renjianxianjing	人间仙境	14659	成语
bierbutan	避而不谈	14637	成语
tianliburong	天理不容	14637	成语
bujinrenyi	不尽人意	14621	成语
cuxichangtan	促膝长谈	14619	成语
bukedongyao	不可动摇	14613	成语
shenlaizhibi	神来之笔	14606	成语
zhiwubuyan	知无不言	14588	成语
jiefengxichen	接风洗尘	14583	成语
jinghunweiding	惊魂未定	14583	成语
ernvqingchang	儿女情长	14573	成语
yaotouhuangnao	摇头晃脑	14563	成语
heerweiyi	合二为一	14550	成语
jinyincaibao	金银财宝	14549	固定熟语
youlaiyouwang	有来有往	14538	固定熟语
simianchuge	四面楚歌	14526	典故成语
manqiangrexue	满腔热血	14525	成语
wurennengdi	无人能敌	14514	固定熟语
lvshuiqingshan	绿水青山	14508	固定熟语
yuzixielao	与子偕老	14507	典故熟语
shanmodayan	善莫大焉	14506	典故熟语
shengshihaoda	声势浩大	14504	成语
fengfengbubu	缝缝补补	14503	叠字熟语
