aba	阿坝
abacangzuqiangzuzizhizhou	阿坝藏族羌族自治州
abalaqiya	阿巴拉契亚
abazhou	阿坝州
abirang	阿比让
abixiniya	阿比西尼亚
abo	阿伯
abujia	阿布贾
achangzu	阿昌族
adou	阿斗
aerbeisishan	阿尔卑斯山
aerbeisishanmai	阿尔卑斯山脉
aercihaimo	阿尔茨海默
aerjiliya	阿尔及利亚
aertai	阿尔泰
aertaishanmai	阿尔泰山脉
afanti	阿凡提
agentinggongheguo	阿根廷共和国
aiaowa	艾奥瓦
aibota	艾伯塔
aiche	爱车
aidingbao	爱丁堡
aidong	挨冻
aierlangongheguo	爱尔兰共和国
aierlangonghejun	爱尔兰共和军
aifeier	埃菲尔
aifeiertieta	埃菲尔铁塔
aifudun	埃弗顿
aifusen	艾弗森
aigeer	矮个儿
aigezi	矮个子
aiguotongyizhanxian	爱国统一战线
aiguoxin	爱国心
aiguozhuyizhe	爱国主义者
aihen	爱恨
aijigongheguo	埃及共和国
aijiyin	癌基因
aikesen	埃克森
aimeijiang	艾美奖
aimili	艾米丽
aimuzhe	爱慕者
aipusheng	爱普生
aiqi	爱妻
aiqing	爱卿
aiqing	艾青
aiqingguan	爱情观
aisaiebiyaren	埃塞俄比亚人
aisenhaoweier	艾森豪威尔
aishaniyagongheguo	爱沙尼亚共和国
aixun	挨训
aizhuang	矮壮
ajiao	阿胶
ajiasha	阿加莎
akela	阿克拉
akense	阿肯色
akesu	阿克苏
akuina	阿奎那
alabamazhou	阿拉巴马州
alabobandao	阿拉伯半岛
alaboguojialianmeng	阿拉伯国家联盟
alabolianmeng	阿拉伯联盟
alaboshuzi	阿拉伯数字
alading	阿拉丁
alasijiazhou	阿拉斯加州
aleipo	阿勒颇
aleitai	阿勒泰
alianqiu	阿联酋
alilang	阿里郎
alongsuo	阿隆索
amani	阿玛尼
amansudanguo	阿曼苏丹国
amengsen	阿蒙森
amusitelang	阿姆斯特朗
anbei	安倍
anchen	暗沉
anchenchen	暗沉沉
anchundan	鹌鹑蛋
andailve	安大略
andaluxiya	安达卢西亚
andan	黯淡
andi	安迪
andingmen	安定门
andisi	安第斯
andisishanmai	安第斯山脉
andong	按动
anfan	案犯
anfang	安防
anfang	岸防
anfanying	暗反应
anfeng	暗讽
angang	鞍钢
ange	暗格
anguila	安圭拉
anhong	暗红
anhui	安徽
anhuishifandaxue	安徽师范大学
anhuiyikedaxue	安徽医科大学
anhunqu	安魂曲
anjiafei	安家费
anjianju	安监局
anjianmen	安检门
anjianzhan	安检站
anjielun	安捷伦
anjufang	安居房
anla	安拉
anli	按例
anlushan	安禄山
anman	安曼
anmen	俺们
anmoqi	按摩器
anmoyi	按摩椅
anmoyuan	按摩院
anna	安娜
anni	安妮
anpeili	安培力
anqing	安庆
anqingshi	安庆市
anquanxian	安全线
anquanxie	安全鞋
anquanyuan	安全员
anruo	暗弱
anshui	安睡
anta	安踏
antai	安胎
antigua	安提瓜
antiguahebabuda	安提瓜和巴布达
antuo	安妥
anxian	暗线
anxiang	安享
anyan	铵盐
anyang	安阳
anyong	暗涌
anzhuanggong	安装工
aoao	嗷嗷
aoaojiao	嗷嗷叫
aobai	鳌拜
aobuzhu	熬不住
aodaliyalianbang	澳大利亚联邦
aodaliyaren	澳大利亚人
aodesa	敖德萨
aodi	凹地
aodi	奥迪
aoding	奥丁
aoguolai	熬过来
aohe	螯合
aoheji	螯合剂
aohewu	螯合物
aokema	澳柯玛
aokesi	奥克斯
aolanduo	奥兰多
aolian	熬炼
aolinpikecun	奥林匹克村
aolinpikegongyuan	奥林匹克公园
aolinpikeyundonghui	奥林匹克运动会
aolinuokehe	奥里诺科河
aomenbi	澳门币
aomenjibenfa	澳门基本法
aomentebiexingzhengqu	澳门特别行政区
aomenyuan	澳门元
aomian	凹面
aopula	奥普拉
aosailuo	奥赛罗
aosikajinxiangjiang	奥斯卡金像奖
aosimandiguo	奥斯曼帝国
aositeluofusiji	奥斯特洛夫斯基
aosiweixinjizhongying	奥斯威辛集中营
aoteman	奥特曼
aoweide	奥维德
aoweier	奥威尔
aozhi	熬制
aozhou	澳洲
aozhu	熬煮
aozuwei	奥组委
asaibaijiangren	阿塞拜疆人
asamu	阿萨姆
ashima	阿诗玛
asituliyasi	阿斯图里亚斯
asiwang	阿斯旺
atangge	阿汤哥
atatuerke	阿塔图尔克
atongmu	阿童木
