aiger	矮个儿	儿化 r 码非法音节;保留 aigeer
baipur	摆谱儿	儿化 r 码非法音节;保留 baipuer
bajianr	拔尖儿	儿化 r 码非法音节;保留 bajianer
baobeir	宝贝儿	儿化 r 码非法音节;保留 baobeier
bangbu	蚌埠	错码 蚌=beng;保留 bengbu
bangbushi	蚌埠市	错码 蚌=beng
beizhaoxian	北朝鲜	错码 朝=chao;保留 beichaoxian
beilei	贝勒	错码 勒=le;保留 beile
bileituoliya	比勒陀利亚	错码 勒=le;保留 biletuoliya
aidingbaodaixue	爱丁堡大学	错码 大=da
cangao	藏獒	错码 藏=zang
cangbei	藏北	错码 藏=zang
cangqu	藏区	错码 藏=zang
cangshi	藏式	错码 藏=zang
cangxue	藏学	错码 藏=zang
cangyao	藏药	错码 藏=zang
cangzhuang	藏装	错码 藏=zang
canglan	藏蓝	错码 藏=zang
cangqingse	藏青色	错码 藏=zang
aodesa	奥德萨	非规范译名+同码重复;保留 敖德萨
bulaimei	布莱梅	非规范译名+同码重复;保留 不来梅
chuancangxian	川藏线	错码 藏=zang
dager	大个儿	儿化 r 码;保留 dageer
dager	打嗝儿	儿化 r 码;保留 dageer
daihuir	待会儿	儿化 r 码;保留 daihuier
chuanmenr	串门儿	儿化 r 码且无 er 形;v1 仍可打
dahuor	大伙儿	儿化 r 码且无 er 形;v1 仍可打
denghuir	等会儿	儿化 r 码;保留 denghuier
dianr	点儿	儿化 r 码;保留 dianer
dicangwang	地藏王	错码 藏=zang
ekelahema	俄克拉荷马	同码重复非规范译写;保留 俄克拉何马
ekelahemazhou	俄克拉荷马州	同码重复非规范译写;保留 俄克拉何马州
diezhongdie	谍中谍	误写;正名 碟中谍
diao	迪奥	歧义切分码 di-ao 写成单音节 diao;会撞 掉/调
fanr	范儿	儿化 r 码;保留 faner
ganhuor	干活儿	儿化 r 码且无 er 形;v1 仍可打
guai	骨癌	歧义切分码 gu-ai 写成 guai;会撞 拐/怪
