# shinjitai	simp_peer
蔵	藏
覧	览
鴎	鸥
薬	药
薫	薰
荘	庄
茘	荔
隠	隐
聴	听
陥	陷
聡	聪
険	险
駆	驱
騒	骚
駅	驿
験	验
髪	发
圧	压
歴	历
暦	历
砕	碎
臓	脏
鶏	鸡
脳	脑
壊	坏
霊	灵
売	卖
壱	壹
塩	盐
壌	壤
増	增
賛	赞
弐	贰
帯	带
勅	敕
頼	赖
亜	亚
悪	恶
専	专
両	两
恵	惠
戸	户
麺	面
麹	曲
戯	戏
歳	岁
歩	步
児	儿
鹸	碱
県	县
齢	龄
歯	齿
満	满
厳	严
渓	溪
汚	污
瀬	濑
渉	涉
渋	涩
戦	战
単	单
渇	渴
巣	巢
獣	兽
沢	泽
覚	觉
蛍	萤
営	营
労	劳
栄	荣
浄	净
滝	泷
溌	泼
挙	举
済	济
涙	泪
暁	晓
黙	默
黒	黑
蝋	蜡
顕	显
晩	晚
唖	哑
噛	啮
呪	咒
呉	吴
軽	轻
転	转
団	团
囲	围
輌	辆
塁	垒
繋	系
撃	击
畳	叠
圏	圈
図	图
豊	丰
髄	髓
円	圆
巌	岩
収	收
悩	恼
遅	迟
懐	怀
焼	烧
焔	焰
粋	粹
粧	妆
寛	宽
実	实
竃	灶
鋳	铸
銭	钱
錬	炼
亀	龟
鉄	铁
猟	猎
鉱	鑛
摂	摄
掻	搔
払	拂
抜	拔
拝	拜
揺	摇
逓	递
皐	皋
撹	搅
楽	乐
捜	搜
掲	揭
気	气
択	择
挿	插
拠	据
勧	劝
観	观
歓	欢
曁	暨
拡	扩
覇	霸
桟	栈
醸	酿
酔	醉
醗	酦
桜	樱
桝	枡
権	权
様	样
楡	榆
検	检
稲	稻
穏	稳
徳	德
剰	剩
乗	乘
穂	穗
勲	勋
兎	兔
徴	征
処	处
釈	释
犠	牺
穣	穰
従	从
毎	每
巻	卷
奨	奖
醤	酱
闘	斗
痩	瘦
竜	龙
曽	曾
鼈	鳖
効	效
痺	痹
関	关
粛	肃
辺	边
雑	杂
嬢	娘
仏	佛
伝	传
舎	舍
舗	铺
発	发
剣	剑
仮	假
価	价
倹	俭
経	经
繊	纤
続	续
弾	弹
縄	绳
継	继
縦	纵
郷	乡
縁	缘
繍	绣
総	总
絵	绘
広	广
読	读
対	对
氷	冰
斉	齐
斎	斋
剤	剂
戻	戾
応	应
訳	译
変	变
庁	厅
帰	归
譲	让
廃	废
