# code	word
adat	蔵
ahnq	覧
aqwo	鴎
aris	薬
atgo	薫
auff	荘
avvv	茘
bevn	隠
bfln	聴
bqhj	陥
bwcn	聡
bwgw	険
caqy	駆
ccjy	騒
cnyy	駅
cwgw	験
dedc	髪
dfd	圧
dssh	歴
dssj	暦
dvfh	砕
eadt	臓
efwo	鶏
eiqb	脳
ffle	壊
ffog	霊
fpqb	売
fpxb	壱
ftkl	塩
fufe	壌
fulj	増
fwfm	賛
gafd	弐
gkgh	帯
gkil	勅
gkim	頼
gkjg	亜
gkjn	悪
gmfu	専
gmmk	両
gmnu	恵
gnr	戸
gtdd	麺
gtqo	麹
haoa	戯
hdgt	歳
hitr	歩
hjqb	児
hlow	鹸
hniu	県
hobc	齢
hobj	歯
iamm	満
idnt	厳
iefw	渓
ifnn	汚
igkm	瀬
ihit	渉
ihiy	渋
ijfa	戦
ijfj	単
ijqx	渇
ijsu	巣
ilgd	獣
inyy	沢
iphq	覚
ipju	蛍
ipkk	営
iplb	労
ipsu	栄
iqvh	浄
iujn	滝
iwfq	溌
iwrj	挙
iyjf	済
iynd	涙
jfaq	暁
jfdo	黙
jfou	黒
jimh	蝋
jogm	顕
jqjq	晩
kgkg	唖
khob	噛
kkqn	呪
kngw	呉
lcfg	軽
lfcy	転
lfi	団
lfjk	囲
lgmm	輌
liff	塁
lmci	繋
lmcr	撃
lpeg	畳
ludn	圏
luqi	図
magu	豊
medp	髄
mhgd	円
midt	巌
nhcy	収
niqb	悩
nudp	遅
nyle	懐
ofaq	焼
oqhj	焔
ovfh	粋
oyfg	粧
pahq	寛
pdwu	実
pwfn	竃
qdtf	鋳
qdxy	銭
qgji	錬
qjjn	亀
qrwy	鉄
qtih	猟
qycy	鉱
rbiy	摂
rcjy	掻
rcy	払
rdcy	抜
rdfh	拝
refb	揺
rfmp	逓
rifj	皐
ripq	撹
risu	楽
rjhc	捜
rjqx	掲
rnqu	気
rnyy	択
rtfj	挿
rtmn	拠
rwyl	勧
rwyq	観
rwyw	歓
rxag	曁
rycy	拡
safe	覇
sdny	桟
sgue	醸
sgvf	酔
sgwq	醗
sivg	桜
sqah	桝
srwy	権
sugi	様
swgb	楡
swgw	検
tehj	稲
tevn	穏
tfln	徳
tgaj	剰
tgas	乗
tgjn	穂
tgjo	勲
tkqy	兎
tmgt	徴
tmv	処
tony	釈
trut	犠
tufe	穣
tuhy	従
txfj	毎
udnb	巻
uefd	奨
uefg	醤
ugkf	闘
ujhc	痩
ujnb	竜
uljf	曽
umiv	鼈
uqln	効
urtf	痺
uudi	関
vojk	粛
vpv	辺
vswy	雑
vufe	嬢
wcy	仏
wfcy	伝
wfkf	舎
wfky	舗
wfqb	発
wgkj	剣
wrcy	仮
wsg	価
wwgw	倹
xcfg	経
xfag	繊
xfpq	続
xijf	弾
xjjn	縄
xonn	継
xtuh	縦
xtvb	郷
xvey	縁
xvoj	繍
xwcn	総
xwfc	絵
yci	広
yfpq	読
yfy	対
yii	氷
yjf	斉
yjff	斉
yjfi	斎
yjfj	剤
yndi	戻
yni	応
ynyy	訳
yotu	変
ysk	庁
ytvh	帰
yufe	譲
ywfq	廃
