a	あ
akashi	あかし
akatsuki	あかつき
akiraka	あきらか
aku	あく
ama	あま
amatsusae	あまつさえ
aragane	あらがね
arawa	あらわ
ata	あた
ataru	あたる
atsu	あつ
ba	ば
ban	ばん
bara	ばら
batsu	ばつ
be	べ
ben	べん
betsu	べつ
bu	ぶ
chan	ちゃん
chi	ち
choku	ちょく
chou	ちょう
chuu	ちゅう
dan	だん
den	でん
duta	づた
e	え
ei	えい
en	えん
era	えら
fu	ふ
fusa	ふさ
futa	ふた
futokoro	ふところ
futsu	ふつ
gan	がん
ge	げ
gen	げん
gi	ぎ
go	ご
gon	ごん
goto	ごと
gyou	ぎょう
ha	は
hai	はい
haji	はじ
haka	はか
haku	はく
hara	はら
harawata	はらわた
hasa	はさ
hatagashira	はたがしら
hatsu	はつ
hayai	はやい
hazu	はず
he	へ
hen	へん
hetsu	へつ
hettsui	へっつい
hi	ひ
hiro	ひろ
hishio	ひしお
hito	ひと
hitotsu	ひとつ
hitsu	ひつ
ho	ほ
honoo	ほのお
hotaru	ほたる
hoto	ほと
hotsu	ほつ
hou	ほう
houki	ほうき
i	い
ichi	いち
ida	いだ
ika	いか
ikenie	いけにえ
iki	いき
imashi	いまし
ina	いな
ine	いね
isao	いさお
ise	いせ
itona	いとな
itsu	いつ
itsukushi	いつくし
iwa	いわ
iwao	いわお
ja	じゃ
ji	じ
jou	じょう
ju	じゅ
juu	じゅう
ka	か
kai	かい
kaka	かか
kakehashi	かけはし
kako	かこ
kaku	かく
kama	かま
kamado	かまど
kame	かめ
kami	かみ
kamo	かも
kamome	かもめ
kan	かん
kane	かね
kannuki	かんぬき
kao	かお
karakuri	からくり
kari	かり
karu	かる
kasa	かさ
katamari	かたまり
katsu	かつ
katsute	かつて
kawa	かわ
ke	け
kedamono	けだもの
kega	けが
kei	けい
kemono	けもの
ken	けん
kewa	けわ
kezu	けず
ki	き
kibi	きび
kikime	ききめ
kiku	きく
kin	きん
kitana	きたな
kiyo	きよ
ko	こ
kou	こう
kouji	こうじ
kowa	こわ
koyomi	こよみ
ku	く
kuda	くだ
kun	くん
kura	くら
kure	くれ
kutsuro	くつろ
kyou	きょう
kyuu	きゅう
ma	ま
mai	まい
majina	まじな
maki	まき
maru	まる
masu	ます
megu	めぐ
men	めん
mi	み
mida	みだ
mikotonori	みことのり
mimizato	みみざと
mitsurou	みつろう
mo	も
modo	もど
monoimi	ものいみ
moppa	もっぱ
mugiko	むぎこ
musume	むすめ
na	な
nara	なら
natsu	なつ
nawa	なわ
naya	なや
nayami	なやみ
nazu	なず
ne	ね
ni	に
nire	にれ
niwatori	にわとり
no	の
noro	のろ
nou	のう
nu	ぬ
nuitori	ぬいとり
o	お
ochii	おちい
oda	おだ
oga	おが
ogoso	おごそ
omo	おも
omori	おもり
on	おん
oonira	おおにら
oroga	おろが
osa	おさ
oshi	おし
otoshii	おとしい
ou	おう
oyo	およ
rai	らい
ran	らん
rei	れい
reki	れき
ren	れん
ri	り
rou	ろう
rousoku	ろうそく
rui	るい
ryaku	りゃく
ryou	りょう
ryuu	りゅう
sa	さ
saga	さが
sai	さい
saka	さか
sama	さま
san	さん
sato	さと
satsuki	さつき
sawa	さわ
se	せ
sei	せい
seki	せき
sen	せん
setsu	せつ
sha	しゃ
shibi	しび
shibu	しぶ
shime	しめ
shio	しお
shira	しら
shirushi	しるし
sho	しょ
shou	しょう
shu	しゅ
shuku	しゅく
shuu	しゅう
so	そ
soe	そえ
soro	そろ
soso	そそ
sou	そう
su	す
sube	すべ
sui	すい
suku	すく
sunawachi	すなわち
suppon	すっぽん
susu	すす
suta	すた
tada	ただ
tagaini	たがいに
taki	たき
taku	たく
tama	たま
tame	ため
tameshi	ためし
tan	たん
tani	たに
tanigawa	たにがわ
tasu	たす
tata	たた
tatami	たたみ
tate	たて
tatsu	たつ
tawamu	たわむ
te	て
tei	てい
ten	てん
to	と
tobichi	とびち
toki	とき
tokoro	ところ
toku	とく
ton	とん
tori	とり
toride	とりで
toshi	とし
tou	とう
toyo	とよ
tsu	つ
tsuchi	つち
tsuda	つだ
tsudumayaka	つづまやか
tsuma	つま
tsuna	つな
tsurugi	つるぎ
tsuta	つた
tsute	つて
tsutsushi	つつし
tsuya	つや
urei	うれい
uruo	うるお
usagi	うさぎ
wake	わけ
wara	わら
wata	わた
watashi	わたし
ya	や
yabu	やぶ
yado	やど
yaku	やく
yo	よ
yogo	よご
you	よう
yowai	よわい
yu	ゆ
yuru	ゆる
yuta	ゆた
yutaka	ゆたか
yuzu	ゆず
za	ざ
zai	ざい
zeki	ぜき
zou	ぞう
zu	ず
zui	ずい
zumi	ずみ
