# trad	simp_peer
𦾟	𦶻
藍	蓝
剗	刬
盞	盏
葉	叶
戔	戋
𪀦	𪉅
蘟	𦻕
蓀	荪
薩	萨
蔭	荫
蕷	蓣
蔘	参
萇	苌
菴	庵
蕆	蒇
項	项
藶	苈
棊	棋
莢	荚
蔿	𫇭
韉	鞯
蓋	盖
蕓	芸
韃	鞑
蕘	荛
韁	缰
鞝	绱
薹	苔
薳	䓕
貳	贰
薵	䓓
𪃏	𪉏
韆	千
鞽	鞒
鞦	秋
薘	荙
藝	艺
薔	蔷
爇	𦶟
華	华
荊	荆
鷨	𪉊
蓴	莼
虉	𬟁
薑	姜
黃	黄
䓣	𬜯
莖	茎
蘆	芦
蘋	苹
賾	赜
頤	颐
腎	肾
堅	坚
緊	紧
臨	临
監	监
鹽	盐
賢	贤
覽	览
鑒	鉴
竪	竖
豎	竖
臥	卧
莧	苋
𪘯	𪚐
鴉	鸦
蕩	荡
薀	蕰
蒞	莅
匯	汇
蓽	荜
驀	蓦
蒔	莳
躉	趸
蠆	虿
勱	劢
邁	迈
萬	万
鶠	𬸘
鵲	鹊
艱	艰
歎	叹
難	难
覲	觐
藪	薮
蔞	蒌
匱	匮
蕢	蒉
毆	殴
剾	𠛅
區	区
勸	劝
顴	颧
甌	瓯
鷗	鸥
鸛	鹳
觀	观
蘄	蕲
歐	欧
歡	欢
虆	蔂
蕒	荬
夢	梦
蓮	莲
匭	匦
蒕	蒀
鶓	鹋
蘿	萝
繭	茧
顢	颟
萴	荝
萵	莴
貢	贡
鞏	巩
莊	庄
蔣	蒋
葦	苇
勩	勚
貰	贳
鸏	鹲
葷	荤
薴	苧
苧	苎
藭	䓖
蠶	蚕
蔔	卜
驚	惊
蘚	藓
薊	蓟
蘇	苏
帶	带
蕕	莸
蘀	萚
蕪	芜
蒐	搜
萊	莱
醫	医
蕎	荞
鷖	鹥
蔥	葱
蓯	苁
蘢	茏
蘭	兰
蔄	𬜬
藺	蔺
蕁	荨
蕭	萧
藎	荩
薈	荟
蘞	蔹
薟	莶
蓧	𦰏
蔦	茑
鳶	鸢
鵐	鹀
覡	觋
蒼	苍
舊	旧
葒	荭
葤	荮
蒓	莼
䕳	𦰴
藴	蕴
蘊	蕴
葯	药
藥	药
薌	芗
茲	兹
蓆	席
蘺	蓠
薺	荠
藹	蔼
薦	荐
蒍	𫇭
菸	烟
䧢	𨸟
聶	聂
顳	颞
墮	堕
隨	随
陝	陕
隱	隐
隯	陦
陸	陆
聽	听
陳	陈
陘	陉
騭	骘
巹	卺
陽	阳
聖	圣
聵	聩
隤	𬯎
隕	陨
陣	阵
隑	𬮿
糶	粜
恥	耻
聹	聍
陞	升
聰	聪
櫱	蘖
孫	孙
愻	𢙏
遜	逊
職	职
隴	陇
墜	坠
隊	队
隉	陧
孻	𡥧
際	际
險	险
陰	阴
聯	联
階	阶
𨽏	𨸘
隮	𬯀
𩤊	𩧩
騏	骐
驊	骅
驅	驱
䯀	䯅
驟	骤
預	预
馳	驰
騖	骛
務	务
䂎	𥎝
鶩	鹜
鷸	鹬
叄	叁
參	参
驂	骖
顙	颡
毿	毵
驫	骉
駘	骀
駿	骏
馭	驭
騷	骚
𩣺	𩧼
騞	𬴃
騑	𬴂
騵	𫘪
騎	骑
䮞	𩨁
馱	驮
駔	驵
騱	𫘬
態	态
驍	骁
𩥄	𩨋
𩢴	𩧵
驦	骦
馬	马
駓	𬳵
𩤲	𩨉
䮠	𩧿
驪	骊
驢	驴
馹	驲
騠	𫘨
𩥑	𩨌
騔	𩨀
騍	骒
馴	驯
駛	驶
駰	骃
𩤸	𩨅
驛	驿
駟	驷
䮫	𩨇
騾	骡
駚	𩧫
𩢡	𩧬
駎	𩧨
駧	𩧲
騁	骋
𩥉	𩧱
駉	𬳶
騧	䯄
貟	贠
𩥇	𩨍
驏	骣
駶	𩧺
駃	𫘝
驎	𬴊
騌	骔
䮝	𩧰
𩣵	𩧻
𩣑	䯃
駝	驼
騶	驺
駒	驹
駁	驳
騊	𫘦
騮	骝
䭿	𩧭
驃	骠
驕	骄
𩢸	𩧳
駪	𬳽
𩣫	𩧸
駱	骆
驄	骢
䮳	𩨏
駢	骈
䮾	𩧪
騚	𩨊
騂	骍
驥	骥
驌	骕
騝	𩨃
騪	𩨄
騄	𫘧
𩧆	𩨐
駸	骎
駙	驸
騤	骙
駩	𩧴
騟	𩨈
驗	验
𩡺	𩧦
駼	𬳿
驋	𩧯
騅	骓
駐	驻
驤	骧
騙	骗
騸	骟
駭	骇
𩤙	𩨆
䮄	𫠊
馼	𫘜
𥗽	𬒗
勵	励
厲	厉
奩	奁
𥕥	𥐰
碽	䂵
磣	碜
碼	码
礪	砺
飆	飙
碩	硕
碕	埼
硤	硖
鬖	𩭹
髮	发
鬍	胡
鬚	须
𩯳	𩯒
𩭙	𩬣
鬢	鬓
憂	忧
鬆	松
長	长
𩰀	𩬤
鶘	鹕
脣	唇
𥖅	𥐯
磽	硗
䃮	鿎
磚	砖
磧	碛
硜	硁
艷	艳
豔	艳
豐	丰
慼	戚
磠	硵
硯	砚
齧	啮
耬	耧
䎱	䎬
耮	耢
輩	辈
魘	魇
厭	厌
靨	靥
饜	餍
壓	压
厴	厣
黶	黡
碭	砀
鵪	鹌
磾	䃅
硨	砗
厙	厍
磑	硙
厠	厕
鴯	鸸
靦	腼
碸	砜
頁	页
碙	𥐻
尷	尴
確	确
剋	克
願	愿
硃	朱
礎	础
礄	硚
歷	历
厤	历
曆	历
龎	厐
礒	𥐟
鷯	鹩
遼	辽
礆	硷
鴣	鸪
郟	郏
夾	夹
㓨	刾
贋	赝
贗	赝
頰	颊
奪	夺
奮	奋
礫	砾
礙	碍
磯	矶
礦	矿
臟	脏
膩	腻
𦣎	𦟗
亂	乱
辭	辞
脹	胀
嬃	媭
須	须
脥	𣍰
貙	䝙
貓	猫
𧳟	𧳕
墾	垦
