# trad	simp_form
蔯	𫈟
䳢	𫛰
薆	𫉁
鞾	𫖇
䖅	𫟑
䪊	𫖅
葝	𫈎
㔋	𪟎
䕤	𫟕
蕽	𫇽
𦱌	𫇪
𩔑	𫖷
蒭	𫇴
蕳	𫈉
菕	𰰨
蕝	𫈵
藷	𫉄
𨼳	𫔽
孾	𪧀
㓄	𪠟
𠬙	𪠡
騃	𫘤
軬	𫐊
騻	𫘭
馯	𫘛
駤	𫘠
駊	𫘟
駫	𫘡
駻	𫘣
騴	𫘫
騉	𫘥
𩒎	𫖭
驨	𫘱
騜	𫘩
𩦠	𫠌
駞	𫘞
驓	𫘯
䮰	𫘮
驙	𫘰
騼	𫠋
𨞺	𫟫
礮	𪿫
𩿅	𫠖
𩯁	𫙂
龓	𫜲
鬠	𫘽
鶦	𫛷
𥖲	𪿞
鴮	𫛦
𥗇	𪿵
顣	𫖹
𦔖	𫅼
𨲳	𫔖
靧	𫖃
䪾	𫖬
㪎	𪯋
鵊	𫛥
鵩	𫛳
盨	𪾔
貗	𫎌
膹	𪱥
豵	𫎆
𦟼	𫆝
𦠅	𫞅
壣	𪤚
𩅙	𫕨
鳷	𫛛
霼	𪵣
埬	𪣆
䟃	𫎺
䟐	𫎱
䟆	𫎳
𧽯	𫎸
霣	𫕥
𡓁	𪤄
㦞	𪫷
毊	𪵑
䞓	𫎭
𪍠	𫜕
堚	𪣒
墲	𪢸
𨎌	𫐋
璼	𫞨
鳽	𫛚
瓄	𪻨
鴀	𫛜
鄟	𫑘
璝	𪻺
𢤿	𪬯
鶒	𫛶
𧡴	𫌫
𩔳	𫖴
珼	𫞥
𤩂	𫞧
鮤	𫚓
㻶	𪼋
瑽	𪻐
覼	𫌨
𪋿	𫧮
瑻	𪻲
璾	𫞦
齾	𫜰
齰	𫜬
䶕	𫜨
𪙏	𫜯
齭	𫜭
齴	𫜮
齩	𫜪
矑	𪾦
𧭹	𫍐
𪃧	𫛹
𪀖	𫛧
鵫	𫛱
𪉸	𫜊
𧷎	𪠀
矉	𪾸
眝	𪾣
覹	𫌭
濿	𪵱
㵾	𪷍
𣽏	𪶮
溡	𪶄
聻	𫆏
𩟗	𫗚
𤄷	𪶒
灒	𪷽
澬	𫞚
灍	𫞝
潣	𫞗
㶆	𫞛
䗅	𫊪
鷐	𫜀
鶗	𫛸
蠦	𫊮
蟜	𫊸
蟳	𫊻
蟘	𫋌
𧒯	𫊹
蟂	𫋇
曊	𪰶
囒	𪢠
𠽃	𪠺
𡃤	𪢐
遱	𫐷
嚽	𪢕
䠆	𫏃
𨇽	𫏑
𨇤	𫏨
𨂐	𫏌
蹻	𫏋
蹳	𫏆
𨇰	𫏞
嘳	𪡞
鷤	𫛴
𡂡	𪢒
唓	𪠳
嘪	𪡃
嗹	𪡏
䫟	𫖲
鶰	𫛫
㘔	𫬐
𡃄	𪡺
嘺	𪡀
𡅯	𪢖
㘓	𪢌
㗿	𪡛
㖮	𪠵
噞	𪡋
嚛	𪠸
𤳷	𪽝
軷	𫐈
轗	𫐘
轊	𫐕
輢	𫐎
轣	𫐆
𨍰	𫐔
䡩	𫟥
䵴	𫜙
𢍰	𪪴
𨆪	𫏕
畼	𪽈
鴐	𫛤
轠	𫐙
輖	𫐏
軕	𫐅
軜	𫐇
轇	𫐖
轐	𫐗
輨	𫐑
䡐	𫟤
輷	𫐒
蹔	𫏐
㨻	𪮃
𨌈	𫐍
軿	𫐌
軨	𫐉
圞	𪢮
䍤	𫅅
𡿖	𪩛
嶹	𫝵
䶲	𫜳
𦒀	𫅥
幩	𪩸
幝	𪩷
巗	𪨷
𡸗	𪨩
㟺	𪩇
𡹬	𪨹
𧹈	𪥠
巊	𪩎
賝	𫎩
䝭	𫎧
贉	𫎫
𩗓	𫗈
𩗴	𫗉
䫻	𫗇
䬓	𫗊
䫾	𫠈
飋	𫗋
𩖰	𫠇
贚	𫎦
䞋	𫎪
𧸘	𫎨
𦡝	𫆫
鴅	𫛝
鶌	𫛵
𢤩	𪫡
韛	𫖔
韚	𫠅
韠	𫖒
𩏂	𫖓
𩎖	𫖑
𩏠	𫖖
鷿	𬸯
𢣐	𪬚
屩	𪨗
㞞	𪨊
憸	𪫺
𤓌	𪹠
爧	𫞠
𩏷	𫃗
爥	𪹳
爃	𫞡
煇	𪸩
熂	𪸕
𤒻	𪹹
䎙	𫅭
寠	𪧘
鸋	𫛢
䪴	𫖫
䙔	𫋲
𧞫	𫌋
襵	𫌇
襓	𫋹
襗	𫋷
襘	𫋻
鴳	𫛩
𥜰	𫀌
𥜐	𫀓
鉽	𫟸
鏾	𫔌
鑉	𫠁
𨰲	𫔃
鉔	𫓬
鈛	𫓨
釨	𫓦
鍒	𫔄
𨮳	𫔒
鈗	𫟵
鉾	𫓴
䥄	𫠀
鋠	𫓵
銊	𫓰
鏚	𬭭
𪆷	𫛾
鑀	𰾭
䚩	𫌯
鐼	𫔁
䥗	𫔋
𨭸	𫔐
鎍	𫔅
𨯟	𫔓
錽	𫓸
鐪	𫓺
鍉	𫔂
䥯	𫔆
鉠	𫓭
銏	𫟶
𨰃	𫔉
鑴	𫔔
𨬖	𫔏
釲	𫟳
魽	𫠐
𩻮	𫚘
魟	𫚉
鰋	𫚢
鮿	𫚚
鱊	𫚪
𨰥	𫔕
𩻬	𫚩
䲅	𫚜
鱄	𫚋
鰽	𫚧
𩶁	𫚎
鯆	𫚙
魦	𫚌
鰑	𫚊
𩸄	𫚝
鱢	𫚫
鮰	𫚔
䱀	𫚐
鰕	𫚥
鮅	𫚑
𩼶	𫚬
鰫	𫚦
𨨢	𫓿
䱁	𫚏
𩵦	𫠏
䱧	𫚠
𩻗	𫚨
鱆	𫠒
鮵	𫚛
鰦	𫚤
䱸	𫠑
鯞	𫚡
鱮	𫚈
鮯	𫚗
鯾	𫚣
魵	𫚍
鮄	𫚒
錝	𫓽
鏥	𫔊
𨰋	𫓳
𨪕	𫓮
䫂	𫖰
銁	𫓲
𣍐	𫧃
鎶	鿔
𥻦	𫂿
㹽	𫞣
鐈	𫓱
𨧰	𫟽
𨩰	𫟾
𨨛	𫓼
鎞	𫔇
㺜	𪺻
𤠮	𪺸
鏦	𫓩
獊	𪺷
鋂	𰾄
鎙	𫔈
鎈	𫟿
鉝	𫟷
釚	𫟲
鈆	𫓪
𨥟	𫓫
鈖	𫟴
釟	𫓥
錜	𫓻
錥	𫓾
𨭖	𫔑
䤤	𫟺
銂	𫟻
𤬅	𪼴
覛	𫌪
攋	𪮶
𩓥	𫖵
掚	𪭵
擟	𪭧
𢯷	𪭝
𨟊	𫟬
摐	𪭢
撊	𪭾
㩋	𪮋
𢶒	𪭯
撧	𪮖
𢺳	𪮳
欇	𪳍
𣜬	𪳗
𧢄	𫌬
欐	𪲔
醶	𫑷
鷣	𫜃
梖	𪱷
𩿤	𫛠
䫶	𫖺
鷅	𫛽
欑	𪴙
猌	𪺽
𪌭	𫜓
䴽	𫜔
麷	𫜑
䴱	𫜒
檵	𪲛
櫅	𪲎
櫠	𪲮
𥏝	𪿊
𦧺	𫇘
𠿕	𪜎
艣	𫇛
𥴨	𫂖
𤘀	𪺣
䅐	𫀨
𥢷	𫀮
簂	𫂆
䆉	𫁂
𩑔	𫖪
𥯤	𫁳
𥴼	𫁺
鴔	𫛡
䅳	𫀬
鯬	𫚞
䉑	𫁲
犞	𪺭
𤜆	𪺪
𩸡	𫚟
𥶽	𫁱
徿	𪫌
簢	𫂃
𥢶	𫞷
䉶	𫁷
䉬	𫂈
𤷃	𪽭
𤺔	𪽴
鵧	𫛨
閞	𫔰
痮	𪽪
羵	𫅗
瘱	𪽷
鸗	𫛟
𨴹	𫔲
䦯	𫔵
竱	𫁟
㿖	𪽮
贑	𫎬
𪅂	𫜂
凙	𪞝
䳤	𫛮
鷩	𫜁
𪓰	𫜟
鷷	𫜄
閗	𫔯
鴗	𫁡
閝	𫠂
閵	𫔴
𡟫	𫝪
䫀	𫖱
嬻	𪥿
嬦	𫝩
嬇	𫝬
鴽	𫛪
㜐	𫝧
孆	𫝭
㛝	𫝦
𤑹	𪹀
媈	𫝨
嬣	𪥰
婡	𫝫
孄	𫝮
孇	𪥫
𠐊	𫝋
𤛱	𫞢
䳫	𫛼
餪	𫗬
餦	𫗠
飦	𫗞
餔	𫗦
㑮	𫝈
饠	𫗩
飶	𫗣
餫	𫗥
餭	𫗮
飵	𫗢
餧	𫗪
饟	𫗵
䳜	𫛬
䳧	𫛺
䴋	𫜅
𪈼	𱊜
鴃	𫛞
鴥	𫛣
𩀨	𫕚
飠	饣
𩚩	𫗡
𩛡	𫗨
𩝽	𫗳
䭑	𫗱
䭔	𫗰
䬧	𫗟
𩛌	𫗤
縸	𫄲
緤	𫄬
䋼	𫄮
𦀖	𫄦
𦅇	𫄪
𦅈	𫄵
繨	𫄤
繬	𫄱
䋔	𫄞
絙	𫄠
繐	𰬸
纚	𫄥
䊺	𫄚
彃	𪪼
𦃩	𫄯
繷	𫄣
絧	𫄡
纗	𫄹
糺	𫄙
綋	𫟄
絁	𫄟
䋃	𫄜
緟	𫟆
縰	𫄳
緮	𫄭
䋦	𫄩
縍	𫄰
絥	𫄢
絍	𫟃
紟	𫄛
繈	𫄶
𥾯	𫄝
綟	𫄫
𦆲	𫟇
鶭	𫛯
繂	𫄴
𪃒	𫛻
訑	𫍙
誫	𫍨
䛳	𫍫
詓	𫍜
譊	𫍢
譆	𫍻
廧	𪪞
𧩼	𫍶
謸	𫍵
謯	𫍹
訨	𫟞
誂	𫍥
謱	𫍴
譂	𫟠
諰	𫍰
譨	𫍦
諯	𫍱
諣	𫍩
誷	𫍬
誳	𫍮
顅	𫖶
誋	𫍪
誴	𫟡
𧭈	𫍾
詑	𫍡
䛄	𫍠
謉	𫍷
䜖	𫟢
誺	𫍧
𧦧	𫍟
㢗	𪪑
譑	𫍤
訞	𫍚
諥	𫍳
𧫝	𫍺
𧦝	𫍞
詊	𫟟
𧬤	𫍼
𧩕	𫍭
譅	𰶎
訜	𫍛
訁	讠
謆	𫍸
