# code	trad	simp_form	layer	freq
aaal	𦾟	𦶻	0	0
aahl	藍	蓝	0	29244
aajh	剗	刬	0	0
aalf	盞	盏	0	17693
aans	葉	叶	0	29459
aar	戔	戋	3	0
aawo	𪀦	𪉅	0	0
aben	蘟	𦻕	0	0
abgi	蔯	𫈟	0	0
abti	蓀	荪	0	11732
abug	薩	萨	0	29610
abwc	蔭	荫	0	21609
acce	蔘	参	0	12435
adeu	萇	苌	0	15983
adhx	藉此	借此	1	26339
adjn	菴	庵	0	10432
admh	藉由	借由	1	27574
adth	藶	苈	0	0
adwo	䳢	𫛰	0	0
adws	棊	棋	0	9010
adww	莢	荚	0	12188
aept	薆	𫉁	0	0
aeto	蔿	𫇭	0	0
afaf	鞾	𫖇	0	0
afao	韉	鞯	0	0
afcl	蓋	盖	0	29304
affc	蕓	芸	0	0
affp	韃	鞑	0	14495
affq	蕘	荛	0	0
afgg	韁	缰	0	6474
afik	鞝	绱	0	0
afkf	薹	苔	0	9010
afkp	薳	䓕	0	0
afkw	䖅	𫟑	0	0
afnf	薵	䓓	0	0
afso	𪃏	𪉏	0	0
afsp	韆	千	0	13271
aftk	鞽	鞒	0	0
afto	鞦	秋	0	13392
afud	䪊	𫖅	0	0
afup	薘	荙	0	0
afwc	藝	艺	0	31025
afwk	薔	蔷	0	12665
afwo	爇	𦶟	0	7310
agaf	華	华	0	35471
agao	鷨	𪉊	0	0
agjf	蓴	莼	0	6918
agko	虉	𬟁	0	0
aglg	薑	姜	0	18817
agmw	黃	黄	0	32530
agmy	䓣	𬜯	0	0
agva	莖	茎	0	20533
agvl	葝	𫈎	0	0
ahal	蘆	芦	0	20999
ahim	蘋	苹	0	24844
ahne	腎	肾	0	22414
ahnf	堅	坚	0	29959
ahni	緊	紧	0	31394
ahnj	㔋	𪟎	0	0
ahnk	臨	临	0	31356
ahnl	監	监	0	32232
ahnl	鹽	盐	0	25624
ahnm	賢	贤	0	26934
ahnq	覽	览	0	26959
ahnq	鑒	鉴	0	22511
ahnu	竪	竖	0	9967
ahnu	豎	竖	0	21288
ahnw	臥	卧	0	23256
ahqb	莧	苋	0	10432
ahto	鴉	鸦	0	24041
aijr	蕩	荡	0	22605
aill	薀	蕰	0	10840
aiwu	蒞	莅	0	16441
aiwy	匯	汇	0	27459
ajaf	蓽	荜	0	0
ajff	蒔	莳	0	11752
ajmh	躉	趸	0	14579
ajmj	蠆	虿	0	6474
ajml	勱	劢	0	12590
ajmp	邁	迈	0	26471
ajmy	萬	万	0	36111
ajvo	鶠	𬸘	0	0
ajwo	鵲	鹊	0	16511
akfe	艱	艰	0	24815
akfw	歎	叹	0	21232
akfy	難	难	0	33131
akgt	藪	薮	0	12273
akgv	蔞	蒌	0	0
akkb	䕤	𫟕	0	0
akkc	毆	殴	0	21649
akkj	剾	𠛅	0	0
akkk	區	区	0	38162
akkl	勸	劝	0	26019
akkn	甌	瓯	0	17007
akko	鷗	鸥	0	15608
akko	鸛	鹳	0	9224
akkq	觀	观	0	33631
akkr	蘄	蕲	0	11922
akkw	歐	欧	0	31749
akkw	歡	欢	0	29791
alli	虆	蔂	0	0
almu	蕒	荬	0	0
alpq	夢	梦	0	27421
alwl	蒕	蒀	0	0
alwo	鶓	鹋	0	13081
alxy	蘿	萝	0	21554
amae	蕽	𫇽	0	0
amhj	繭	茧	0	15185
amhm	顢	颟	0	0
amnk	萵	莴	0	0
amum	𦱌	𫇪	0	0
amyf	鞏	巩	0	22815
anhf	莊	庄	0	27985
anhf	蔣	蒋	0	27622
anhh	葦	苇	0	17183
ansm	𩔑	𫖷	0	0
apfo	鸏	鹲	0	0
apns	薴	苧	0	0
apsj	苧	苎	0	9616
apwx	藭	䓖	0	0
aqaj	蠶	蚕	0	18135
aqbt	蒭	𫇴	0	0
aqgl	蔔	卜	0	18135
aqkc	驚	惊	0	28538
aqod	蘚	藓	0	16079
aqoj	薊	蓟	0	16270
aqot	蘇	苏	0	31006
aqph	帶	带	0	34112
aqtg	蕕	莸	0	0
arlf	蘀	萚	0	0
arlo	蕪	芜	0	16488
arqc	蒐	搜	0	21100
asww	萊	莱	0	29464
atdg	醫	医	0	35409
atdk	蕎	荞	0	13784
atdo	鷖	鹥	0	0
atln	蔥	葱	0	19710
atwh	蓯	苁	0	0
aued	蘢	茏	0	7978
augi	蘭	兰	0	32893
aujf	蕳	𫈉	0	0
avaf	蕁	荨	0	0
avfj	蕭	萧	0	25756
avhl	藎	荩	0	6474
awga	菕	𰰨	0	0
awgj	薈	荟	0	17693
awgw	薟	莶	0	0
awhs	蓧	𦰏	0	0
awvo	蔦	茑	0	7310
awvo	鳶	鸢	0	14274
awwo	鵐	鹀	0	0
awyk	蒼	苍	0	20533
awyv	舊	旧	0	30162
axgq	䕳	𦰴	0	0
axll	蘊	蕴	0	20588
axqc	蕝	𫈵	0	0
axrs	藥	药	0	31432
axtb	薌	芗	0	9426
axxu	茲	兹	0	27864
ayah	蓆	席	0	13271
ayby	蘺	蓠	0	0
ayfj	藷	𫉄	0	7978
ayjf	薺	荠	0	6474
ayno	薦	荐	0	23346
ayto	蒍	𫇭	0	0
aywu	菸	烟	0	20280
bakk	䧢	𨸟	0	0
bbbf	聶	聂	0	22305
bbbm	顳	颞	0	8267
bbkf	𨼳	𫔽	0	0
bdaf	墮	堕	0	24765
bdap	隨	随	0	33148
bdty	陝	陕	0	21682
bean	隱	隐	0	28184
bfnf	隯	陦	0	0
bfwf	陸	陆	0	31887
bgfn	聽	听	0	30363
bgji	陳	陈	0	32996
bgva	陘	陉	0	11922
bign	巹	卺	0	0
bjgr	陽	阳	0	31957
bkgf	聖	圣	0	32483
bmgu	隑	𬮿	0	5961
bmmv	孾	𪧀	0	0
bmoy	糶	粜	0	0
bny	恥	耻	3	21667
bpns	聹	聍	0	0
btaf	陞	升	0	17883
btln	聰	聪	0	24753
btws	櫱	蘖	0	0
btxi	孫	孙	0	29436
btxn	愻	𢙏	0	0
btxp	遜	逊	0	27774
buaj	職	职	0	33341
bued	隴	陇	0	18135
buef	墜	坠	0	22719
buey	隊	队	0	35111
bvag	隉	陧	0	0
bvhl	孻	𡥧	0	0
bwfi	際	际	0	33057
bwgw	險	险	0	31747
bwyc	陰	阴	0	28877
bxxg	聯	联	0	35403
bxxr	階	阶	0	30212
byaw	𨽏	𨸘	0	0
byjg	隮	𬯀	0	0
caat	𩤊	𩧩	0	0
cagf	驊	骅	0	20151
cakk	驅	驱	0	27174
cbbb	䯀	䯅	0	0
cbtl	務	务	0	35851
cbto	鶩	鹜	0	12013
cbto	鷸	鹬	0	11530
cccd	叄	叁	0	9426
ccce	參	参	0	34437
ccce	驂	骖	0	7310
cccn	毿	毵	0	0
cccq	㓄	𪠟	0	0
cccu	驫	骉	0	0
cccy	𠬙	𪠡	0	0
cctd	騃	𫘤	0	0
cdhd	騞	𬴃	0	0
cdlj	軬	𫐊	0	0
cdqq	騻	𫘭	0	0
cexn	態	态	0	32222
cffq	驍	骁	0	15452
cfh	馯	𫘛	3	0
cgcf	駤	𫘠	0	0
cggy	馬	马	0	35048
cgmx	驪	骊	0	15983
chal	驢	驴	0	17007
chcy	駊	𫘟	0	0
ciqn	駫	𫘡	0	0
cjfh	駻	𫘣	0	0
cjpv	騴	𫘫	0	0
cjxx	騉	𫘥	0	0
ckdm	𩒎	𫖭	0	0
clff	驛	驿	0	18164
clvg	䮫	𩨇	0	0
cmgu	𩥉	𩧱	0	0
cmnk	騧	䯄	0	6474
cmwk	驨	𫘱	0	0
cpqb	𩣵	𩧻	0	0
cqbt	騶	驺	0	11086
crgg	騜	𫘩	0	0
csfj	𩦠	𫠌	0	0
ctbn	駞	𫘞	0	0
ctdk	驕	骄	0	21776
ctjh	𩣫	𩧸	0	0
cued	䮾	𩧪	0	0
culj	驓	𫘯	0	0
cumd	䮰	𫘮	0	0
cvfj	驌	骕	0	9010
cwgw	驗	验	0	31738
cwrd	难捱	难挨	1	0
cwxc	驋	𩧯	0	0
cylg	驙	𫘰	0	0
cynx	騼	𫠋	0	0
dahq	𥗽	𬒗	0	0
dajb	𨞺	𫟫	0	0
dajl	勵	励	0	28105
dajy	厲	厉	0	24558
dakk	奩	奁	0	0
dakk	𥕥	𥐰	0	0
dcce	磣	碜	0	0
dcuq	礮	𪿫	0	7978
dcwo	𩿅	𫠖	0	0
dcy	碼	码	3	30335
dday	礪	砺	0	14661
dddj	飆	飙	0	24050
ddsk	碕	埼	0	6474
ddww	硤	硖	0	15321
dedc	髮	发	0	27032
dede	鬍	胡	0	18613
deem	鬚	须	0	18920
dega	𩭙	𩬣	0	0
delv	𩯁	𫙂	0	0
depm	鬢	鬓	0	13451
dept	憂	忧	0	27272
desc	鬆	松	0	26550
deu	長	长	3	37945
deud	龓	𫜲	0	0
deud	𩰀	𩬤	0	0
dewj	鬠	𫘽	0	0
dewo	鶘	鹕	0	16616
dewo	鶦	𫛷	0	0
dfee	脣	唇	0	12188
dffc	𥖅	𥐯	0	0
dffq	磽	硗	0	0
dfnf	𥖲	𪿞	0	0
dfno	鴮	𫛦	0	0
dfup	䃮	鿎	0	0
dfwl	𥗇	𪿵	0	0
dgjf	磚	砖	0	23054
dgva	硜	硁	0	0
dhdc	艷	艳	0	20398
dhdl	豔	艳	0	18261
dhdu	豐	丰	0	29498
dhim	顣	𫖹	0	0
dhin	慼	戚	0	10965
dhlo	磠	硵	0	0
dhqn	硯	砚	0	16245
dhvb	齧	啮	0	8533
dikv	耬	耧	0	0
dilp	𦔖	𫅼	0	0
dilx	䎱	䎬	0	0
diol	耮	耢	0	0
djec	魘	魇	0	9426
djed	厭	厌	0	23572
djed	靨	靥	0	0
djee	饜	餍	0	8267
djef	壓	压	0	31608
djel	厴	厣	0	0
djeo	黶	黡	0	0
djgr	碭	砀	0	9967
djno	鵪	鹌	0	12355
dkkf	磾	䃅	0	13332
dmae	𨲳	𫔖	0	0
dmgu	磑	硙	0	0
dmjm	靧	𫖃	0	0
dmjo	鴯	鸸	0	13081
dmjq	靦	腼	0	10432
dmtj	碸	砜	0	0
dmum	碙	𥐻	0	5961
dmwe	䪾	𫖬	0	0
dnal	尷	尴	0	18965
dpwy	確	确	0	35093
dqjk	剋	克	0	16079
drim	願	愿	0	30606
driy	硃	朱	0	14452
dssh	礎	础	0	27767
dtdk	礄	硚	0	0
dtth	歷	历	0	32402
dtti	厤	历	0	0
dttj	曆	历	0	25824
dued	龎	厐	0	0
dugt	礒	𥐟	0	0
dujo	鷯	鹩	0	7978
dujp	遼	辽	0	24636
dwgw	礆	硷	0	0
dwvo	鴣	鸪	0	10432
dwwb	郟	郏	0	0
dwwc	㪎	𪯋	0	0
dwwi	夾	夹	0	25381
dwwj	㓨	刾	0	0
dwwm	頰	颊	0	17660
dwwo	鵊	𫛥	0	0
dwyf	奪	夺	0	29044
dwyl	奮	奋	0	25106
dxrs	礫	砾	0	17491
dxth	礙	碍	0	26620
