# code	trad	simp_peer	layer	freq
acbm	蕷	蓣	0	0
admt	蕆	蒇	0	0
admy	項	项	0	33735
afmi	貳	贰	0	16393
agaj	荊	荆	0	23096
ahkm	賾	赜	0	7978
ahkm	頤	颐	0	18576
ahtb	𪘯	𪚐	0	0
ajdc	驀	蓦	0	11732
akgq	覲	觐	0	15419
akhm	匱	匮	0	17974
akhm	蕢	蒉	0	0
akkm	顴	颧	0	7978
alpu	蓮	莲	0	25617
alvv	匭	匦	0	7978
amjj	萴	荝	0	0
amu	貢	贡	3	27079
anml	勩	勚	0	0
anmu	貰	贳	0	6474
aplj	葷	荤	0	11633
aukf	蔄	𬜬	0	0
auwy	藺	蔺	0	10129
awgt	蘞	蔹	0	0
awwq	覡	觋	0	10129
axaf	葒	荭	0	0
axfu	葤	荮	0	0
axgn	蒓	莼	0	0
axjl	藴	蕴	0	0
axqy	葯	药	0	9266
ayjn	藹	蔼	0	15007
bhic	騭	骘	0	10432
bkhm	聵	聩	0	11086
bkhm	隤	𬯎	0	0
bkmy	隕	陨	0	20689
blh	陣	阵	3	29477
cadw	騏	骐	0	11316
cbci	驟	骤	0	24238
cbdm	預	预	0	33643
cbn	馳	驰	3	22740
cbtc	騖	骛	0	8533
cbtm	䂎	𥎝	0	0
cccm	顙	颡	0	9426
cckg	駘	骀	0	7310
ccwt	駿	骏	0	23756
ccy	馭	驭	3	15872
ccyj	騷	骚	0	24885
cdfa	𩣺	𩧼	0	0
cdjd	騑	𬴂	0	6918
cdri	騵	𫘪	0	0
cdsk	騎	骑	0	27268
cdwj	䮞	𩨁	0	0
cdy	馱	驮	3	12809
cegg	駔	驵	0	7310
cexd	騱	𫘬	0	0
cfhw	𩥄	𩨋	0	0
cfkg	𩢴	𩧵	0	0
cfsh	驦	骦	0	0
cgig	駓	𬳵	0	0
cgkj	𩤲	𩨉	0	0
cgkl	䮠	𩧿	0	0
cjg	馹	驲	3	0
cjgh	騠	𫘨	0	0
cjng	𩥑	𩨌	0	0
cjqn	騔	𩨀	0	0
cjsy	騍	骒	0	0
ckh	馴	驯	3	17439
ckqy	駛	驶	0	28855
cldy	駰	骃	0	8533
cleg	𩤸	𩨅	0	0
clg	駟	驷	3	6474
clxi	騾	骡	0	12013
cmdy	駚	𩧫	0	0
cmfg	𩢡	𩧬	0	0
cmg	駎	𩧨	3	0
cmgk	駧	𩧲	0	0
cmgn	騁	骋	0	11922
cmkg	駉	𬳶	0	0
cmu	貟	贠	3	0
cnae	𩥇	𩨍	0	0
cnbb	驏	骣	0	0
cnnk	駶	𩧺	0	0
cnwy	駃	𫘝	0	0
coqh	驎	𬴊	0	0
cpfi	騌	骔	0	0
cplh	䮝	𩧰	0	0
cpvg	𩣑	䯃	0	0
cpxn	駝	驼	0	17654
cqkg	駒	驹	0	20780
cqqy	駁	驳	0	25301
cqrm	騊	𫘦	0	0
cqyl	騮	骝	0	11633
crwy	䭿	𩧭	0	0
csfi	驃	骠	0	15728
ctey	𩢸	𩧳	0	0
ctfq	駪	𬳽	0	0
ctkg	駱	骆	0	21418
ctln	驄	骢	0	8780
ctol	䮳	𩨏	0	0
cuah	駢	骈	0	15185
cuej	騚	𩨊	0	0
cuh	騂	骍	3	0
cuxw	驥	骥	0	15185
cvfp	騝	𩨃	0	0
cvhc	騪	𩨄	0	0
cviy	騄	𫘧	0	7661
cvln	𩧆	𩨐	0	0
cvpc	駸	骎	0	0
cwfy	駙	驸	0	13015
cwgd	騤	骙	0	5961
cwgg	駩	𩧴	0	0
cwgj	騟	𩨈	0	0
cwjh	𩡺	𩧦	0	0
cwty	駼	𬳿	0	0
cwyg	騅	骓	0	9616
cygg	駐	驻	0	28635
cyke	驤	骧	0	14896
cyna	騙	骗	0	27009
cynn	騸	骟	0	0
cynw	駭	骇	0	19253
cyps	𩤙	𩨆	0	0
cyxy	䮄	𫠊	0	0
cyy	馼	𫘜	3	0
damy	碽	䂵	0	8533
ddmy	碩	硕	0	23992
dece	鬖	𩭹	0	0
defm	𩯳	𩯒	0	0
dgmy	磧	碛	0	10840
djdl	輩	辈	0	24464
dlh	硨	砗	3	0
dlk	厙	厍	3	8533
dmjk	厠	厕	0	0
dmu	頁	页	3	30457
dwwm	贋	赝	0	0
dwwm	贗	赝	0	9616
eafm	膩	腻	0	18626
edmv	嬃	媭	0	0
edmy	須	须	0	33055
efam	豶	豮	0	0
eplh	腪	𣍯	0	0
etfm	臢	臜	0	0
eudc	騰	腾	0	25033
eudm	𩓣	𩖕	0	0
falk	載	载	0	31188
famu	賁	贲	0	14579
fcdm	頍	𫠆	0	0
fdmm	顬	颥	0	6474
fdmy	頇	顸	0	6474
