# Phase D — 155 candidates from library.tsv
# format: code\tword\tfreq
de	的	65535
di	的	65535
shi	是	62830
wo	我	62743
le	了	62590
liao	了	62590
bu	不	62450
ni	你	60634
yi	一	60582
you	有	60173
zai	在	59736
hao	好	59137
ren	人	58863
zhe	这	58225
yao	要	58120
jiu	就	58096
ge	个	57660
lai	来	57430
dou	都	56835
du	都	56835
ye	也	56807
dao	到	56717
hui	会	56616
shang	上	56590
ta	他	56549
mei	没	56254
mo	没	56254
da	大	56183
dai	大	56183
neng	能	56032
qu	去	56025
shuo	说	55985
hai	还	55960
huan	还	55960
kan	看	55779
tian	天	55705
ke	可	55599
na	那	55544
xiang	想	55533
de	得	55514
dei	得	55514
duo	多	55334
me	么	55122
he	和	55107
huo	和	55107
hen	很	54972
guo	过	54943
xia	下	54918
yi	以	54861
wei	为	54726
dui	对	54693
men	们	54480
nian	年	54252
women	我们	54252
jia	家	54239
ha	哈	54187
chu	出	54116
shi	时	54057
zhen	真	53908
xiao	小	53731
dian	点	53689
shi	事	53623
a	啊	53595
shenme	什么	53327
zhong	中	53308
xin	心	53190
zhao	着	53181
zhe	着	53181
zhuo	着	53181
li	里	53149
yige	一个	53107
zui	最	53053
yong	用	52975
hui	回	52964
sheng	生	52916
keyi	可以	52869
zi	子	52856
meiyou	没有	52851
ba	吧	52796
gei	给	52661
ji	给	52661
hou	后	52637
kai	开	52610
zuo	做	52602
qi	起	52561
zhi	只	52552
ta	她	52448
tai	太	52433
kuai	快	52325
chi	吃	52289
ma	吗	52280
zi	自	52231
ziji	自己	52087
hang	行	52062
xing	行	52062
bei	被	52046
dan	但	52029
ci	次	52019
qian	前	51945
fa	发	51916
ba	把	51842
zhidao	知道	51825
bie	别	51740
de	地	51724
deng	等	51724
di	地	51724
dao	道	51586
ai	爱	51458
er	而	51359
xue	学	51351
xin	新	51317
cheng	成	51284
da	打	51277
you	又	51233
rang	让	51181
zhege	这个	51127
jiushi	就是	51120
zai	再	51094
mei	美	51060
cai	才	51037
ding	定	51013
ne	呢	50929
ni	呢	50929
lao	老	50896
suo	所	50865
zhi	之	50835
jia	加	50793
shou	手	50780
chang	长	50767
zhang	长	50767
xianzai	现在	50721
zou	走	50615
hua	话	50583
bi	比	50505
ri	日	50499
yue	月	50478
qing	情	50464
zhi	知	50393
mian	面	50356
dang	当	50350
san	三	50340
geng	更	50329
gao	高	50262
liang	两	50244
jian	见	50235
xian	见	50235
gan	感	50231
zheng	正	50213
wen	问	50171
zao	早	50160
shihou	时候	50101
tong	同	50097
xiang	像	50080
fen	分	50042
toulan	偷懒	50000
