buffer	preferred	count	avg_picked_idx
jixu	积蓄	28	2.0
jixu	急需	6	2.0
jixu	继续	6	1.0
youshi	优势	5	1.0
rongyu	冗余	5	2.0
e	え？	5	1.0
go	来	4	1.0
dan	单	4	2.2
jizhi	极致	4	1.8
bushu	部署	4	1.0
yuming	域名	4	1.0
shiye	视野	4	2.0
jin	金	4	1.0
queshi	缺失	4	1.8
pingfen	评分	3	1.0
fanye	翻页	3	1.0
jiagou	架构	3	1.0
cfyt	对话	3	1.0
jiaofu	交付	3	1.0
jishi	及时	3	1.0
maoding	锚定	3	1.0
dibu	底部	3	1.0
zhineng	智能	3	1.0
beijing	背景	3	1.0
yi	就	3	1.0
ge	表	3	1.0
ce	能	3	1.0
wu	们	3	1.0
e	有	2	1.0
exin	恶心	2	1.0
zuojia	作假	2	1.0
pinlv	频率	2	1.0
jimu	积木	2	3.0
shengyu	剩余	2	1.0
kao	靠	2	1.0
sheji	涉及	2	1.0
yilai	依赖	2	1.0
zhidao	指导	2	2.0
tuo	托	2	1.0
chai	拆	2	1.0
duan	短	2	2.0
shiji	实际	2	1.0
shoushu	收束	2	3.0
mo	默	2	10.5
