jigao	极高	18000
manghao	蛮好	8000
yiwei	尤为	7000
puxian	普遍	14000
luewei	略微	6500
kaolu	考虑	45000
xinfu	幸福	32000
jiandan	焦虑	18000
aimu	羡慕	18000
canqui	惭愧	7500
linwai	另外	28000
zonger	总而	8000
weixin	微信	68000
saoma	扫码	18000
dianzanxin	点赞	18000
laliao	拉黑	8500
zerentaodu	责任	22000
jietuan	解聘	5500
xiazhouri	下周	28000
likong	立刻	14000
shuilian	睡懒觉	7000
honjiu	红酒	14000
zhuxi	主食	8500
yedian	夜宵	14000
zaocan	早茶	8500
shusu	数组	8500
buji	部署	14000
xianchang	线程	14000
zhouluxi	走路	22000
qichechang	停车场	18000
chongchong	冲撞	5500
saoma	扫码	14000
ergou	耳机	18000
shumaxiangji	数码	8500
daoxia	导出	8500
shexing	设置	28000
xiansu	像素	8500
