# Pinyin word bigrams (intra-token char-pair) — by build_pinyin_bigrams.py
# source: zho_wikipedia_2018_1m, zho_news_2020_100k
# stats: kept 205481 / 491008 unique (min_count=3, top=500000)
# format: prev\tnext\tcount
一	个	54886
中	国	45623
可	以	37731
没	有	29719
使	用	27442
政	府	26799
国	家	26595
他	们	25984
成	为	25843
认	为	23641
开	始	23548
发	展	22581
进	行	22361
美	国	22271
由	于	22195
第	一	21948
自	己	21876
因	为	21546
研	究	21495
因	此	21474
主	要	20839
部	分	20274
其	他	20222
不	同	19897
地	区	19859
以	及	19840
社	会	19504
工	作	19500
世	界	19395
大	学	19100
可	能	19088
这	些	18742
包	括	18501
其	中	18295
同	时	18284
这	个	18245
经	济	17559
台	湾	17038
公	司	16991
当	时	16667
一	些	16610
日	本	16575
时	间	16515
香	港	16475
问	题	16297
系	统	15910
影	响	15705
人	民	15433
作	为	15419
许	多	15403
政	治	15242
之	后	15175
文	化	15011
历	史	14652
主	义	14651
表	示	14339
出	现	14289
但	是	14261
已	经	14189
通	过	14077
重	要	13994
我	们	13975
所	有	13941
称	为	13653
就	是	13309
一	种	12905
方	面	12499
需	要	12474
中	心	12392
所	以	12319
组	织	12225
之	一	12200
第	二	11959
一	般	11952
教	育	11949
提	供	11845
国	际	11754
发	现	11637
学	生	11622
虽	然	11610
获	得	11521
活	动	11496
之	间	11441
代	表	11364
关	系	11324
时	期	11167
这	种	11137
最	后	10961
运	动	10923
世	纪	10908
委	员	10895
中	央	10862
人	口	10729
设	计	10720
发	生	10680
为	了	10650
生	活	10635
对	于	10613
科	学	10571
学	校	10531
后	来	10483
情	况	10452
根	据	10383
两	个	10382
城	市	10226
如	果	10118
不	是	10072
要	求	10056
方	式	10038
地	方	10028
计	划	10006
支	持	9987
目	前	9960
英	国	9835
建	筑	9765
产	生	9762
技	术	9762
服	务	9701
作	品	9604
一	次	9580
不	能	9490
年	代	9488
形	成	9413
电	影	9284
学	院	9277
全	国	9253
存	在	9233
决	定	9166
不	过	9141
并	且	9081
通	常	9051
得	到	8964
管	理	8964
游	戏	8932
只	有	8897
任	何	8819
非	常	8796
拥	有	8734
受	到	8616
期	间	8569
语	言	8510
中	华	8500
具	有	8456
必	须	8410
方	法	8368
例	如	8357
无	法	8333
建	立	8305
然	而	8258
音	乐	8238
自	由	8219
生	产	8215
成	立	8213
造	成	8209
很	多	8117
正	式	7996
战	争	7961
甚	至	7891
现	在	7879
提	出	7867
进	入	7854
一	直	7834
人	员	7833
位	于	7829
出	版	7826
传	统	7811
现	代	7741
增	加	7727
工	程	7714
这	样	7705
导	致	7703
民	族	7701
还	有	7657
事	件	7605
过	程	7592
结	果	7587
而	且	7562
大	量	7560
学	家	7559
电	视	7554
员	会	7547
成	功	7502
控	制	7490
公	里	7470
理	论	7457
实	际	7374
另	外	7365
最	终	7345
行	政	7334
独	立	7326
完	成	7295
最	大	7295
最	高	7240
特	别	7233
超	过	7169
组	成	7141
能	够	7116
人	类	7100
时	代	7098
分	别	7074
二	十	7053
基	本	6967
时	候	6948
完	全	6939
第	三	6929
多	数	6894
继	续	6887
作	用	6870
疫	情	6809
能	力	6807
除	了	6795
接	受	6794
结	构	6791
北	京	6726
工	业	6693
环	境	6677
人	物	6631
政	策	6620
自	然	6586
文	学	6583
处	理	6577
会	议	6563
相	关	6551
建	设	6514
艺	术	6450
行	为	6446
直	接	6443
总	统	6439
国	民	6431
民	主	6430
大	部	6422
使	得	6417
领	导	6406
共	和	6390
欧	洲	6388
面	积	6369
大	多	6350
保	护	6340
形	式	6323
内	容	6316
革	命	6304
有	关	6301
各	种	6283
市	场	6255
人	们	6228
它	们	6224
基	础	6201
于	是	6170
或	者	6136
企	业	6120
民	国	6117
参	与	6093
制	度	6082
比	较	6050
思	想	6023
军	事	6020
经	过	6015
标	准	5995
以	上	5987
德	国	5986
负	责	5983
一	部	5973
反	对	5968
不	会	5951
英	语	5950
开	发	5926
计	算	5904
此	外	5902
采	用	5890
之	前	5886
机	构	5881
一	定	5870
当	地	5870
法	国	5865
安	全	5864
系	列	5860
不	断	5836
大	陆	5810
相	当	5775
法	律	5734
来	自	5715
显	示	5707
希	望	5703
一	样	5682
成	员	5667
达	到	5655
联	合	5649
利	用	5614
电	子	5607
数	据	5584
个	人	5582
上	海	5552
参	加	5542
还	是	5534
单	位	5523
交	通	5513
逐	渐	5502
精	神	5494
结	束	5484
行	动	5480
仍	然	5463
选	择	5456
病	毒	5454
铁	路	5448
原	因	5419
分	为	5414
不	少	5411
属	于	5411
担	任	5387
功	能	5373
一	位	5362
取	得	5360
地	位	5357
严	重	5355
动	物	5353
区	域	5349
统	治	5347
这	是	5325
变	化	5320
以	来	5314
学	习	5296
军	队	5275
关	于	5273
改	变	5261
规	模	5249
故	事	5245
反	应	5228
产	品	5212
规	定	5181
空	间	5168
只	是	5150
死	亡	5136
重	新	5136
选	举	5124
发	表	5117
制	作	5112
合	作	5092
范	围	5085
表	现	5073
应	用	5066
帝	国	5055
相	对	5038
著	名	4981
部	队	4954
共	产	4934
有	些	4910
定	义	4897
加	入	4888
举	行	4876
宣	布	4870
和	国	4854
三	个	4842
比	赛	4839
宗	教	4826
生	物	4817
位	置	4814
平	均	4812
指	出	4811
起	来	4803
干	部	4801
一	起	4780
人	士	4759
解	决	4758
罗	马	4756
整	个	4743
直	到	4727
商	业	4701
改	革	4701
相	同	4698
全	球	4693
保	持	4673
执	行	4639
速	度	4636
持	续	4622
一	步	4618
实	验	4617
一	年	4615
资	料	4615
用	于	4609
媒	体	4603
调	查	4600
主	席	4594
十	分	4594
一	名	4583
应	该	4564
小	时	4559
什	么	4519
版	本	4514
十	年	4513
小	说	4508
以	下	4501
记	载	4491
角	色	4490
经	常	4487
目	标	4485
尽	管	4484
新	闻	4483
皇	帝	4482
同	年	4476
实	现	4454
出	来	4438
有	人	4437
制	造	4409
早	期	4408
十	二	4402
以	后	4392
学	者	4382
不	可	4363
统	一	4360
全	部	4356
几	乎	4352
条	件	4351
机	场	4349
攻	击	4342
罗	斯	4332
这	一	4327
华	人	4312
父	亲	4308
居	民	4307
发	行	4304
共	同	4303
国	内	4252
信	息	4247
苏	联	4247
目	的	4240
唯	一	4231
知	道	4230
分	子	4221
距	离	4216
限	制	4211
方	向	4207
资	源	4187
英	文	4183
是	否	4177
然	后	4177
来	说	4175
项	目	4150
每	个	4149
节	目	4149
每	年	4130
名	称	4126
至	今	4124
飞	机	4123
各	地	4117
航	空	4113
减	少	4110
任	务	4108
开	放	4106
稳	定	4097
过	去	4085
太	阳	4082
领	域	4082
群	众	4071
为	主	4058
印	度	4058
数	量	4058
加	上	4031
状	态	4022
力	量	4019
包	含	4013
程	度	3999
质	量	3989
报	告	3984
医	院	3980
细	胞	3967
战	斗	3944
引	起	3933
西	方	3928
类	似	3921
中	共	3919
提	高	3909
地	球	3905
物	质	3901
左	右	3900
平	方	3891
解	释	3876
分	析	3869
化	学	3864
帮	助	3853
集	团	3853
元	素	3851
指	挥	3846
家	庭	3827
广	泛	3827
有	时	3826
网	络	3819
女	性	3803
创	作	3789
恢	复	3786
利	亚	3775
内	部	3766
如	此	3757
产	业	3755
纪	念	3755
中	学	3753
来	源	3753
同	样	3752
曾	经	3750
议	员	3750
权	力	3748
民	众	3744
批	评	3735
公	共	3734
证	明	3733
有	效	3730
华	民	3725
长	期	3724
专	业	3723
一	方	3720
物	理	3715
描	述	3707
而	是	3702
不	得	3697
推	出	3687
土	地	3685
产	党	3684
三	十	3678
基	督	3678
进	一	3677
命	名	3676
公	园	3675
数	学	3675
附	近	3675
离	开	3673
之	外	3661
当	中	3655
风	格	3647
大	约	3636
国	人	3618
意	义	3602
大	利	3598
价	值	3591
再	次	3587
建	议	3587
一	切	3586
科	技	3581
集	中	3576
阶	段	3575
最	早	3564
现	象	3561
知	识	3561
贸	易	3560
朝	鲜	3549
多	次	3536
随	后	3534
有	限	3531
概	念	3531
理	学	3525
才	能	3520
带	来	3517
名	字	3511
看	到	3503
东	北	3499
部	门	3499
农	业	3496
程	序	3477
分	布	3476
海	军	3476
部	份	3462
设	立	3460
及	其	3458
公	开	3457
万	人	3456
官	方	3456
议	会	3449
明	显	3442
文	字	3441
主	张	3439
事	实	3438
将	军	3427
改	为	3418
天	下	3410
中	文	3394
只	能	3391
儿	子	3387
准	备	3385
首	次	3384
确	定	3373
视	为	3368
东	西	3366
多	个	3361
国	王	3353
机	会	3349
复	杂	3343
生	命	3331
坚	持	3317
很	大	3311
因	而	3310
全	面	3309
人	数	3308
强	调	3306
法	院	3305
公	路	3296
双	方	3292
拒	绝	3291
出	生	3290
立	法	3288
三	年	3283
其	它	3281
流	行	3273
联	邦	3271
特	色	3270
官	员	3267
银	行	3266
公	元	3263
植	物	3262
模	式	3258
民	党	3252
电	脑	3252
结	合	3250
容	易	3249
十	一	3248
此	后	3247
未	来	3246
联	盟	3243
教	会	3233
冠	军	3231
透	过	3225
特	殊	3217
变	成	3213
或	是	3212
感	染	3211
注	意	3210
高	度	3209
原	子	3204
日	军	3196
第	四	3194
不	仅	3193
本	身	3189
此	时	3181
新	冠	3178
美	元	3178
说	法	3177
母	亲	3175
下	来	3174
发	动	3172
孩	子	3172
意	识	3171
前	往	3167
这	里	3167
积	极	3166
普	通	3159
采	取	3158
尤	其	3156
简	单	3155
台	北	3150
更	加	3150
大	型	3138
飞	行	3133
如	何	3131
尼	亚	3128
球	队	3119
年	轻	3117
记	录	3112
多	年	3111
某	些	3111
用	户	3111
大	会	3106
承	认	3105
健	康	3104
少	数	3102
路	线	3100
水	平	3097
主	教	3095
维	持	3095
旅	游	3094
措	施	3093
有	所	3093
一	条	3089
教	授	3086
投	资	3085
设	有	3085
共	有	3078
遭	到	3074
作	战	3071
两	人	3070
往	往	3059
用	来	3051
际	上	3043
专	辑	3041
避	免	3039
破	坏	3038
不	久	3036
真	正	3020
不	足	3017
两	种	3014
发	布	3011
设	施	3010
书	记	3006
治	疗	2992
主	题	2988
连	续	2985
责	任	2984
十	五	2983
那	么	2979
函	数	2975
普	遍	2973
金	属	2973
并	非	2970
希	腊	2968
和	平	2966
考	虑	2958
作	者	2957
十	四	2955
能	量	2954
数	字	2944
创	造	2941
韩	国	2941
文	件	2940
随	着	2936
核	心	2934
即	使	2932
加	强	2928
继	承	2927
医	学	2924
原	本	2923
外	交	2923
举	办	2921
国	政	2920
宣	传	2920
几	个	2919
所	谓	2915
不	再	2914
允	许	2912
表	达	2909
学	术	2907
材	料	2907
增	长	2905
汽	车	2903
丰	富	2901
轨	道	2894
观	点	2890
设	备	2890
从	而	2889
十	三	2878
重	点	2868
性	质	2867
实	施	2865
党	员	2862
表	面	2859
车	站	2857
北	部	2856
毕	业	2855
报	道	2853
相	信	2853
提	升	2850
事	务	2849
正	在	2847
类	型	2844
而	言	2844
会	主	2843
最	初	2843
境	内	2839
观	察	2839
国	会	2835
巨	大	2835
了	解	2834
加	拿	2829
讨	论	2829
拿	大	2819
政	权	2819
参	见	2817
身	体	2811
其	后	2808
收	入	2804
居	住	2802
重	大	2795
一	段	2794
宪	法	2794
体	育	2793
规	划	2792
俄	罗	2786
民	间	2783
那	些	2782
按	照	2781
图	书	2779
斯	特	2778
胜	利	2776
迅	速	2768
等	等	2764
卫	生	2763
推	动	2759
势	力	2758
纪	录	2757
构	成	2756
道	路	2753
犹	太	2749
东	南	2748
阶	级	2746
之	中	2745
体	系	2744
其	实	2743
传	播	2742
回	到	2742
社	区	2735
因	素	2733
文	章	2732
南	部	2730
统	计	2730
市	民	2729
十	八	2727
动	画	2717
南	京	2717
综	合	2715
湖	南	2713
连	接	2707
保	留	2700
特	征	2700
争	议	2699
失	去	2696
基	地	2694
武	器	2694
机	关	2693
努	力	2692
哲	学	2692
团	体	2688
古	代	2686
外	国	2684
高	速	2669
大	小	2668
今	天	2667
十	六	2666
另	一	2663
接	近	2660
以	为	2656
解	放	2653
这	次	2653
比	如	2651
经	营	2649
原	则	2647
最	佳	2645
亚	洲	2644
以	前	2642
需	求	2637
儿	童	2636
温	度	2634
蒙	古	2630
工	具	2627
事	业	2625
众	多	2625
针	对	2623
民	共	2617
同	意	2612
之	下	2611
演	出	2609
简	称	2609
著	作	2607
分	钟	2605
经	验	2605
列	车	2602
分	类	2597
青	年	2595
年	间	2591
纽	约	2590
处	于	2587
以	外	2586
操	作	2585
同	一	2584
权	利	2581
教	学	2574
作	出	2572
特	定	2569
博	物	2567
方	案	2565
今	日	2562
歌	曲	2561
朋	友	2560
四	个	2557
去	世	2553
常	见	2544
一	座	2542
利	益	2542
先	后	2541
冲	突	2539
训	练	2539
实	行	2537
二	年	2535
身	份	2531
困	难	2530
进	攻	2530
动	力	2524
医	疗	2523
协	会	2522
殖	民	2520
南	北	2519
取	代	2518
多	种	2516
广	播	2510
面	对	2508
失	败	2507
随	著	2503
意	思	2501
地	理	2498
学	科	2496
名	为	2489
患	者	2488
气	候	2488
各	国	2482
协	议	2481
记	者	2476
家	族	2471
天	文	2470
意	见	2470
禁	止	2468
逝	世	2463
欢	迎	2462
广	州	2455
格	兰	2455
是	因	2452
在	于	2450
展	开	2445
接	触	2441
停	止	2438
的	话	2438
贡	献	2437
至	少	2436
大	家	2434
请	求	2433
吸	引	2431
主	任	2430
得	以	2430
版	社	2430
快	速	2425
主	持	2424
至	于	2423
四	年	2420
比	例	2420
爆	发	2419
联	系	2418
压	力	2415
玩	家	2415
移	动	2410
书	馆	2404
自	治	2404
广	东	2401
软	件	2399
二	次	2398
安	排	2396
西	班	2395
一	系	2394
方	言	2394
建	造	2393
班	牙	2393
感	到	2390
规	则	2390
马	克	2390
喜	欢	2385
佛	教	2382
消	息	2382
五	年	2379
初	期	2374
毛	泽	2374
基	于	2373
泽	东	2371
命	令	2370
正	常	2366
错	误	2364
成	绩	2363
第	十	2363
试	图	2363
交	流	2360
支	援	2357
说	明	2357
并	未	2356
运	输	2355
民	政	2354
信	仰	2353
太	平	2353
阿	拉	2350
自	动	2349
放	弃	2348
扩	大	2344
文	明	2344
关	注	2342
巴	士	2342
表	演	2340
竞	争	2337
西	北	2336
投	票	2334
模	型	2334
课	程	2334
协	助	2331
移	民	2329
物	体	2328
效	果	2326
先	生	2324
作	家	2318
难	以	2316
降	低	2309
留	下	2306
测	试	2305
销	售	2305
具	体	2304
杂	志	2304
经	历	2298
心	理	2297
妻	子	2294
申	请	2293
对	象	2289
疾	病	2288
差	异	2287
分	之	2282
检	测	2282
约	翰	2281
优	势	2279
女	儿	2277
一	致	2275
当	年	2275
未	能	2275
占	领	2273
关	键	2271
物	馆	2270
一	点	2264
消	费	2261
职	业	2260
程	式	2259
设	置	2258
四	十	2256
越	来	2256
找	到	2253
依	然	2251
西	南	2251
氧	化	2250
来	越	2249
球	员	2249
博	士	2248
一	场	2243
固	定	2243
平	台	2243
拍	摄	2243
威	胁	2242
缺	乏	2242
自	身	2242
近	年	2240
无	论	2235
明	确	2234
只	要	2228
运	行	2227
完	整	2224
红	色	2217
状	况	2213
食	物	2213
较	为	2212
领	土	2210
办	公	2209
相	互	2205
星	期	2201
警	方	2197
战	略	2195
南	方	2193
小	学	2193
网	站	2193
兄	弟	2192
阿	尔	2192
原	来	2191
理	解	2191
强	烈	2185
劳	动	2184
正	确	2180
专	家	2179
价	格	2178
不	到	2174
业	务	2173
象	征	2173
十	九	2170
农	民	2169
严	格	2166
变	得	2163
大	规	2162
警	察	2162
西	亚	2157
高	级	2157
教	师	2156
斗	争	2153
又	称	2150
下	降	2149
机	械	2148
一	天	2147
公	布	2147
演	员	2147
合	并	2144
公	民	2142
认	识	2140
引	发	2137
投	入	2132
建	成	2131
形	象	2130
翻	译	2130
发	射	2124
五	十	2122
地	面	2122
保	障	2120
很	快	2119
演	唱	2119
天	主	2118
颜	色	2118
到	达	2116
改	善	2115
一	带	2114
不	满	2107
态	度	2107
国	共	2105
发	出	2104
战	役	2103
评	论	2102
司	令	2100
工	人	2097
第	五	2097
一	度	2095
风	险	2088
重	视	2084
肺	炎	2082
现	实	2077
北	方	2075
标	志	2075
事	情	2071
条	约	2070
符	合	2069
广	告	2065
一	项	2064
字	母	2060
基	因	2058
联	赛	2058
地	下	2057
从	事	2056
卫	星	2054
互	相	2052
克	斯	2051
损	失	2051
调	整	2050
宇	宙	2049
算	机	2041
表	明	2040
整	体	2035
所	在	2034
空	气	2034
贵	族	2034
一	家	2033
根	本	2030
行	星	2027
创	新	2025
各	个	2024
制	定	2020
市	区	2016
较	大	2015
返	回	2015
士	兵	2014
海	外	2013
直	至	2013
兴	建	2011
十	七	2011
他	人	2008
确	诊	2006
观	测	2005
真	实	2004
部	长	2003
政	区	1998
排	名	1992
观	众	1992
强	大	1990
修	改	1984
特	点	1982
王	朝	1981
提	到	1980
西	部	1979
足	球	1979
上	述	1977
涉	及	1976
方	公	1974
交	易	1973
资	本	1971
保	险	1970
取	消	1970
粒	子	1969
成	本	1968
基	层	1965
生	态	1960
人	才	1959
信	号	1957
武	汉	1957
文	献	1955
证	据	1955
首	先	1955
当	局	1953
财	政	1951
司	马	1947
后	期	1947
背	景	1946
高	等	1946
英	雄	1945
其	余	1944
斯	坦	1944
基	金	1943
教	堂	1942
公	众	1941
维	护	1941
太	子	1938
相	似	1936
特	朗	1933
自	行	1932
从	此	1931
为	止	1928
促	进	1928
大	臣	1928
政	党	1927
终	于	1927
临	时	1926
元	前	1926
购	买	1925
一	时	1924
一	百	1924
反	映	1923
专	门	1922
百	姓	1919
中	山	1917
给	予	1913
平	原	1910
满	足	1907
动	机	1904
将	会	1904
督	教	1900
编	辑	1900
意	大	1896
夫	人	1894
相	比	1892
手	段	1889
员	工	1888
测	量	1888
大	楼	1885
始	终	1885
理	想	1885
可	见	1878
方	便	1878
估	计	1875
父	母	1872
参	考	1867
究	所	1866
方	程	1865
漫	画	1865
主	角	1862
越	南	1861
敌	人	1858
培	养	1853
必	要	1850
依	据	1849
打	击	1849
立	即	1847
达	成	1846
运	用	1844
对	外	1843
主	党	1841
少	年	1841
家	人	1837
知	名	1837
百	万	1836
介	绍	1835
做	出	1834
最	为	1833
保	证	1832
对	方	1828
矛	盾	1828
乘	客	1827
实	上	1827
种	族	1826
男	子	1824
访	问	1824
发	挥	1822
合	物	1821
议	院	1821
限	公	1820
后	者	1819
男	性	1819
中	间	1817
街	道	1817
道	德	1816
无	线	1815
药	物	1814
符	号	1812
执	政	1811
王	国	1811
检	查	1807
上	帝	1805
蛋	白	1805
评	价	1801
年	来	1800
不	要	1799
监	督	1799
论	文	1799
习	惯	1798
伟	大	1797
司	法	1797
天	津	1796
机	制	1793
威	尔	1792
集	合	1786
分	裂	1785
批	准	1783
经	典	1782
配	合	1780
武	装	1779
电	话	1779
中	有	1778
今	年	1778
长	沙	1778
传	说	1775
现	时	1775
由	此	1773
任	命	1771
四	川	1769
上	升	1766
广	场	1766
伊	斯	1765
输	入	1764
本	地	1762
东	方	1761
两	者	1760
已	有	1760
资	讯	1760
赢	得	1760
出	口	1759
金	融	1759
声	明	1753
保	存	1750
文	物	1750
确	保	1750
那	里	1750
本	人	1748
影	片	1746
资	金	1746
更	为	1745
发	明	1744
医	生	1742
年	度	1741
防	控	1741
成	长	1736
女	子	1735
朗	普	1735
声	音	1734
结	婚	1734
舰	队	1733
被	迫	1733
改	名	1730
称	呼	1728
葡	萄	1728
运	作	1728
截	至	1727
推	进	1727
动	作	1725
挑	战	1724
长	度	1721
常	常	1720
机	器	1720
以	色	1718
合	国	1718
校	长	1717
白	色	1712
海	拔	1710
色	列	1709
成	就	1708
令	人	1707
高	中	1707
对	此	1705
危	机	1702
独	特	1700
空	军	1700
东	部	1698
商	品	1694
小	组	1694
学	位	1693
主	权	1692
混	合	1692
食	品	1692
种	类	1690
逻	辑	1689
地	点	1687
埃	及	1687
澳	门	1686
兴	趣	1684
良	好	1681
觉	得	1680
东	京	1676
重	建	1676
总	理	1675
考	试	1675
二	世	1674
现	场	1673
大	战	1671
周	围	1670
一	世	1667
告	诉	1666
日	报	1666
太	人	1665
特	性	1664
皇	后	1664
伦	敦	1663
如	下	1663
大	众	1660
密	度	1660
再	度	1659
原	始	1659
大	幅	1658
周	期	1656
口	罩	1654
意	味	1654
福	建	1654
车	辆	1654
发	达	1652
频	道	1651
校	园	1649
适	合	1647
君	主	1645
海	洋	1645
公	尺	1644
当	选	1644
两	岸	1642
实	践	1642
队	伍	1642
更	是	1640
领	袖	1639
人	生	1634
鼓	励	1634
危	险	1633
两	年	1632
年	龄	1632
六	年	1626
战	后	1626
进	步	1626
下	午	1625
充	分	1625
气	温	1625
自	我	1624
每	天	1623
组	合	1621
一	代	1620
近	代	1619
委	会	1618
病	例	1618
优	秀	1616
史	学	1616
国	立	1616
清	朝	1615
乐	团	1610
二	人	1610
称	作	1609
指	导	1606
尚	未	1603
行	业	1601
开	展	1600
拉	斯	1600
贝	尔	1600
掌	握	1599
娱	乐	1598
工	厂	1597
陆	续	1597
各	自	1594
抗	日	1594
绝	对	1593
防	止	1593
体	制	1591
保	守	1591
突	然	1591
一	词	1589
主	动	1588
并	于	1588
症	状	1588
而	成	1588
覆	盖	1587
对	手	1586
深	入	1586
荷	兰	1586
现	今	1585
合	法	1584
足	够	1583
召	开	1582
之	为	1580
击	败	1580
很	少	1580
资	格	1579
尝	试	1578
森	林	1578
内	地	1577
响	力	1576
陆	军	1575
非	洲	1575
记	忆	1573
不	知	1572
团	队	1571
角	度	1571
引	擎	1569
这	时	1566
规	范	1564
感	觉	1560
最	近	1559
隔	离	1559
法	案	1556
仪	式	1555
戏	剧	1554
马	来	1554
电	台	1553
奥	斯	1549
职	务	1549
方	米	1548
朝	廷	1548
三	角	1547
恒	星	1546
拉	伯	1546
太	空	1545
最	多	1543
汉	字	1543
重	庆	1542
形	态	1540
免	费	1539
百	年	1538
加	州	1536
极	大	1536
私	人	1535
部	落	1534
货	币	1533
公	主	1530
威	廉	1530
现	有	1529
品	牌	1527
加	以	1526
来	到	1526
力	学	1525
吸	收	1524
平	面	1524
立	场	1524
这	场	1523
播	放	1522
