# Pinyin word bigrams — generated by build_pinyin_bigrams.py
# source: zho_wikipedia_2018_1m, zho_news_2020_100k
# stats: kept 500000 / 9075139 unique (min_count=3, top=500000)
# format: prev\tnext\tcount
年	月	40718
可	以	37733
月	日	32975
一	个	31879
中	国	28218
使	用	27453
政	府	26801
第	一	21962
自	己	21877
研	究	21496
因	此	21475
一	個	20943
主	要	20839
部	分	20316
其	他	20220
以	及	19856
不	同	19850
工	作	19504
世	界	19396
可	能	19082
包	括	18501
其	中	18308
在	年	17968
中	國	17130
公	司	16993
一	些	16611
日	本	16567
香	港	16475
他	的	16198
人	民	15436
国	家	15288
政	治	15245
文	化	15014
没	有	14971
表	示	14339
但	是	14268
重	要	13995
所	有	13954
沒	有	13919
他	们	13410
就	是	13347
中	的	12876
方	面	12505
发	展	12474
需	要	12473
他	們	12433
中	心	12394
因	為	12372
所	以	12327
於	年	12268
之	一	12234
開	始	12148
成	为	12029
第	二	11964
一	般	11952
教	育	11942
进	行	11913
提	供	11846
認	為	11783
美	國	11749
由	於	11657
代	表	11368
开	始	11248
也	是	11142
國	家	10968
认	为	10875
中	央	10863
社	会	10821
人	口	10732
生	活	10687
地	区	10560
大	学	10493
美	国	10397
由	于	10384
同	时	10361
这	个	10323
城	市	10232
经	济	10200
進	行	10163
如	果	10118
不	是	10105
台	灣	10082
要	求	10053
方	式	10038
地	方	10037
支	持	9988
目	前	9961
成	為	9831
通	过	9767
这	些	9765
上	的	9674
作	品	9608
不	能	9592
一	次	9581
當	時	9572
我	们	9505
年	代	9489
發	展	9424
形	成	9416
存	在	9310
问	题	9223
作	为	9133
的	是	9076
通	常	9051
管	理	8988
得	到	8965
這	些	8940
只	有	8894
任	何	8822
非	常	8798
地	區	8791
自己	的	8778
都	是	8774
的	人	8630
主	义	8614
受	到	8613
因	为	8573
時	間	8569
社	會	8555
之	後	8455
具	有	8452
历	史	8449
大	學	8400
方	法	8373
例	如	8366
建	立	8306
然	而	8266
造	成	8238
成	立	8224
自	由	8222
很	多	8181
影	響	8140
這	個	8002
正	式	7997
时	间	7898
甚	至	7892
提	出	7869
一	直	7863
出	版	7825
許	多	7786
增	加	7728
系	统	7718
工	程	7714
民	族	7705
同	時	7616
事	件	7605
大	量	7566
而	且	7562
成	功	7501
已	经	7497
控	制	7488
公	里	7455
最	大	7389
另	外	7366
經	濟	7357
行	政	7341
影	响	7338
组	织	7311
完	成	7295
最	高	7274
一	种	7248
出	現	7240
二	十	7095
問	題	7058
系	統	7056
当	时	7012
雖	然	6995
基	本	6967
不同	的	6951
完	全	6940
第	三	6931
最	後	6927
除	了	6885
作	用	6867
许	多	6832
疫	情	6809
能	力	6807
接	受	6796
北	京	6726
年	的	6702
之	后	6649
人	物	6635
是	在	6632
政	策	6621
自	然	6586
直	接	6445
全	国	6443
大	部	6438
科	学	6423
民	主	6420
使	得	6412
出	现	6403
共	和	6398
这	种	6355
大	多	6336
形	式	6324
称	为	6311
于	年	6307
革	命	6304
也	有	6300
發	現	6260
世	纪	6190
或	者	6138
歷	史	6120
制	度	6094
建	筑	6079
学	校	6045
之	间	6044
思	想	6024
以	上	5996
一	部	5995
时	期	5974
技	术	5944
國	際	5925
此	外	5905
之	前	5890
一	定	5878
活	動	5869
安	全	5865
获	得	5859
系	列	5858
不	過	5856
委	员	5833
国	际	5807
学	院	5758
稱	為	5748
後	來	5740
法	律	5738
希	望	5703
主	義	5700
两	个	5682
利	用	5617
學	生	5589
對	於	5566
上	海	5557
活	动	5529
已	經	5527
运	动	5526
有	人	5515
交	通	5514
精	神	5494
病	毒	5474
学	生	5468
一	種	5463
仍	然	5463
关	系	5450
根	据	5440
為	了	5440
設	計	5436
原	因	5420
不	少	5409
情	况	5404
之	間	5398
運	動	5393
地	位	5382
功	能	5373
一	位	5369
人	的	5367
取	得	5366
英	國	5305
年	年	5297
發	生	5226
发	现	5223
獲	得	5212
遊	戲	5205
電	影	5201
故	事	5188
发	生	5175
建	设	5164
只	是	5145
死	亡	5136
重	新	5136
合	作	5130
重要	的	5117
並	且	5112
第	页	5083
無	法	5077
设	计	5036
時	期	5019
新	的	5012
中	華	4998
著	名	4985
有	些	4956
根	據	4928
委	員	4919
对	于	4907
組	織	4902
加	入	4889
为	了	4846
服	務	4835
生	物	4832
宗	教	4828
情	況	4824
位	置	4819
一	起	4814
指	出	4813
平	均	4812
这	样	4801
產	生	4794
決	定	4781
這	種	4769
人	士	4760
直	到	4729
产	生	4723
改	革	4701
相	同	4698
全	球	4693
保	持	4676
服	务	4676
一	年	4670
目	的	4655
電	視	4655
兩	個	4646
一	名	4636
速	度	4636
一	步	4614
虽	然	4613
主	席	4594
十	分	4594
还	有	4594
生	产	4582
语	言	4576
作	為	4571
干	部	4563
英	语	4554
必	須	4537
版	本	4524
这	一	4521
后	来	4518
十	年	4514
以	下	4510
英	国	4499
同	年	4498
角	色	4490
皇	帝	4484
我	們	4471
他	在	4457
领	导	4434
世	紀	4426
音	樂	4417
早	期	4408
十	二	4406
不	可	4371
战	争	4368
过	程	4361
全	部	4358
學	校	4328
居	民	4314
共	同	4303
結	果	4268
信	息	4247
现	在	4240
现	代	4234
每	年	4233
唯	一	4232
知	道	4228
分	子	4221
限	制	4209
擁	有	4206
理	论	4201
各	地	4199
位	于	4196
方	向	4193
时	候	4192
是	否	4192
民	國	4184
英	文	4184
结	构	4175
拥	有	4162
通	過	4146
决	定	4121
航	空	4114
实	际	4107
工	业	4101
面	积	4097
超	過	4090
是	由	4060
印	度	4058
人	们	4044
加	上	4028
力	量	4019
至	今	4017
包	含	4013
最	后	4010
人	员	4005
更	多	4001
程	度	3999
它	的	3984
特	別	3976
数	据	3973
并	且	3967
至	年	3966
左	右	3965
员	会	3960
它	们	3940
最	终	3939
西	方	3938
引	起	3933
中	共	3932
计	划	3932
这	是	3925
地	球	3920
提	高	3910
计	算	3904
最大	的	3900
平	方	3892
科	學	3882
传	统	3877
都	有	3877
进	入	3872
分	析	3870
分	別	3866
傳	統	3865
必	须	3858
元	素	3852
期	间	3849
進	入	3844
的	主要	3841
總	統	3836
到	了	3828
家	庭	3828
导	致	3826
繼	續	3824
学	家	3814
而	是	3806
女	性	3797
时	代	3792
企	业	3790
技	術	3783
基	础	3781
學	家	3777
導	致	3772
如	此	3763
於	是	3763
獨	立	3756
國	民	3755
有	效	3745
保	护	3744
组	成	3744
公	共	3734
一	方	3724
多	的	3722
員	會	3713
物	理	3713
描	述	3707
不	得	3699
土	地	3698
三	十	3694
推	出	3689
期	間	3686
之	外	3683
命	名	3680
基	督	3678
附	近	3675
相	關	3665
电	影	3657
相	當	3645
人	員	3639
音	乐	3636
不	會	3623
後	的	3620
才	能	3614
宣	布	3611
集	中	3610
艺	术	3600
再	次	3587
一	切	3586
能	够	3584
科	技	3583
建	築	3570
大	利	3569
最	早	3564
会	议	3552
多	次	3541
戰	爭	3540
环	境	3539
有	限	3533
概	念	3531
群	众	3528
名	字	3518
游	戏	3518
看	到	3514
独	立	3499
但	在	3489
不	断	3487
出	生	3487
部	份	3487
还	是	3482
中	华	3480
程	序	3477
文	字	3475
語	言	3474
及	其	3467
學	院	3463
官	方	3453
顯	示	3444
实	现	3443
只	能	3438
德	国	3435
天	下	3406
各	种	3403
中	文	3394
达	到	3387
首	次	3386
多	数	3366
人	類	3362
組	成	3361
計	劃	3353
現	代	3343
生	命	3341
法	院	3340
生	產	3327
人	类	3322
很	大	3318
選	舉	3318
三	年	3315
因	而	3315
铁	路	3315
全	面	3310
資	料	3310
机	构	3309
她	的	3306
內	容	3303
立	法	3302
公	路	3296
结	果	3293
十	一	3291
有	所	3291
其	它	3281
流	行	3271
特	色	3270
公	元	3264
植	物	3264
這	是	3260
模	式	3259
或	是	3257
實	際	3255
有	關	3252
容	易	3250
标	准	3248
