# Pinyin word trigrams (intra-token char-triple) — by build_pinyin_trigrams.py
# source: zho_wikipedia_2018_1m, zho_news_2020_100k
# stats: kept 126408 / 285698 unique (min_count=2, top=1000000)
# format: a\tb\tc\tcount
委	员	会	7522
大	部	分	5115
共	和	国	4640
大	多	数	4142
中	华	民	3704
共	产	党	3684
进	一	步	3663
第	一	个	3338
华	民	国	3081
实	际	上	3043
一	部	分	2999
第	一	次	2992
加	拿	大	2819
俄	罗	斯	2785
会	主	义	2775
一	方	面	2710
社	会	主	2701
人	民	共	2609
民	共	和	2609
国	民	党	2573
国	政	府	2538
中	华	人	2490
华	人	民	2490
是	因	为	2452
出	版	社	2428
西	班	牙	2393
毛	泽	东	2369
一	系	列	2349
博	物	馆	2266
越	来	越	2249
图	书	馆	2178
大	规	模	2161
计	算	机	2041
行	政	区	1903
基	督	教	1900
意	大	利	1895
平	方	公	1874
研	究	所	1865
民	主	党	1826
事	实	上	1824
限	公	司	1820
有	限	公	1818
天	主	教	1817
方	公	里	1817
另	一	方	1813
民	政	府	1792
国	共	产	1735
特	朗	普	1735
中	国	共	1724
以	色	列	1709
科	学	家	1693
联	合	国	1661
公	元	前	1660
犹	太	人	1658
第	二	次	1632
影	响	力	1576
电	视	台	1493
阿	拉	伯	1491
使	用	者	1469
段	时	间	1458
马	克	思	1421
实	验	室	1420
伊	斯	兰	1415
物	理	学	1405
习	近	平	1386
全	世	界	1368
英	格	兰	1359
称	之	为	1355
殖	民	地	1352
解	放	军	1346
办	公	室	1326
新	加	坡	1323
化	合	物	1313
现	代	化	1290
经	济	学	1286
领	导	人	1272
候	选	人	1236
近	年	来	1230
分	之	一	1229
受	欢	迎	1229
处	理	器	1217
发	动	机	1198
不	得	不	1195
亿	美	元	1181
爱	尔	兰	1156
俱	乐	部	1154
产	阶	级	1151
平	方	米	1139
国	务	院	1111
速	公	路	1111
高	速	公	1111
基	本	上	1108
总	书	记	1103
建	筑	物	1100
原	住	民	1096
民	进	党	1095
国	人	民	1092
中	央	政	1082
大	部	份	1077
共	中	央	1069
洛	杉	矶	1060
国	民	政	1049
演	唱	会	1044
天	文	学	1042
蛋	白	质	1039
中	共	中	1037
共	和	党	1025
同	性	恋	1025
史	学	家	998
主	义	者	992
无	线	电	991
支	持	者	989
太	平	洋	979
第	一	位	978
京	大	学	977
亚	历	山	969
电	视	剧	969
蒋	介	石	966
本	主	义	962
互	联	网	961
一	段	时	958
士	学	位	957
作	人	员	954
相	当	于	950
教	育	部	937
资	本	主	935
产	主	义	919
共	产	主	919
世	界	大	918
工	作	人	911
奥	地	利	903
人	民	政	902
党	中	央	897
历	史	学	897
世	界	各	896
总	面	积	896
界	各	地	896
葡	萄	牙	896
义	大	利	895
历	山	大	891
基	金	会	890
来	西	亚	889
马	来	西	889
为	什	么	888
立	法	会	888
艺	术	家	886
消	费	者	884
苏	格	兰	873
伊	拉	克	869
党	员	干	867
员	干	部	867
华	盛	顿	862
中	国	人	856
万	美	元	852
就	是	说	851
统	治	者	849
三	分	之	848
工	程	师	848
空	公	司	847
航	空	公	847
希	特	勒	837
可	能	性	833
此	之	外	827
除	此	之	827
族	主	义	826
与	此	同	824
此	同	时	824
中	国	政	818
土	耳	其	815
耶	和	华	814
运	动	员	812
界	大	战	803
国	家	级	795
奥	运	会	795
长	时	间	793
拿	破	仑	792
少	数	民	790
数	民	族	790
斯	拉	夫	788
接	下	来	787
穆	斯	林	787
澳	大	利	783
大	利	亚	781
之	所	以	780
意	味	着	780
十	一	年	778
绝	大	多	777
第	二	个	773
科	学	院	772
负	责	人	771
市	中	心	769
政	治	局	765
周	恩	来	764
心	理	学	762
基	百	科	754
维	基	百	754
十	年	代	753
所	在	地	749
重	要	性	742
十	五	年	741
状	病	毒	741
东	南	亚	740
年	轻	人	740
其	他	人	738
望	远	镜	738
二	二	八	733
生	物	学	732
青	少	年	730
人	民	币	729
代	表	大	725
表	大	会	725
一	个	月	721
被	誉	为	721
文	学	家	719
十	二	年	718
世	界	杯	717
办	事	处	713
斯	大	林	708
总	人	口	707
研	究	生	707
孙	中	山	704
十	三	年	701
应	用	程	698
台	北	市	697
次	世	界	694
理	学	家	694
二	十	四	693
无	论	是	689
服	务	器	689
研	究	院	688
克	思	主	686
思	主	义	686
等	教	育	684
十	四	年	682
罗	马	帝	682
迪	士	尼	682
也	就	是	681
马	帝	国	681
北	京	市	680
致	力	于	680
参	议	院	678
会	科	学	677
社	会	科	677
市	政	府	676
全	国	人	674
邓	小	平	674
冠	状	病	672
基	督	徒	672
同	位	素	667
行	政	院	659
取	决	于	658
飞	行	员	658
第	一	部	656
万	平	方	653
被	称	作	653
毕	业	生	648
秦	始	皇	648
匈	牙	利	643
莫	斯	科	643
马	其	顿	643
广	东	省	638
发	言	人	636
医	学	院	635
墨	西	哥	632
十	世	纪	627
同	一	个	627
尔	巴	尼	627
民	族	主	626
最	高	法	624
高	法	院	624
华	民	族	623
阿	尔	巴	622
均	气	温	619
平	均	气	619
线	电	视	618
台	湾	人	617
互	作	用	616
一	时	期	615
党	组	织	614
司	令	部	614
巴	尼	亚	613
战	斗	机	613
斯	兰	教	612
菲	律	宾	612
中	国	国	610
工	学	院	610
看	起	来	609
二	十	世	608
诺	贝	尔	608
世	纪	末	599
央	政	府	598
十	七	年	595
罗	斯	福	595
中	世	纪	586
二	十	五	586
国	主	义	586
大	学	生	586
湖	南	省	582
邦	政	府	577
自	治	区	576
中	央	委	574
央	委	员	574
工	作	者	574
德	意	志	574
总	司	令	571
普	通	话	569
十	一	月	567
外	交	部	567
管	理	局	564
数	学	家	563
机	器	人	563
纽	约	市	563
百	分	之	562
继	承	人	560
联	邦	政	558
十	六	年	557
根	据	地	557
高	等	教	557
不	同	于	556
多	利	亚	553
秘	书	长	551
有	时	候	550
国	国	民	549
第	二	十	549
降	水	量	549
作	系	统	546
操	作	系	546
联	合	会	543
爱	德	华	541
一	般	来	540
维	多	利	539
十	二	月	537
成	员	国	537
无	产	阶	537
大	城	市	536
三	角	形	535
意	味	著	535
任	何	人	534
广	播	电	533
人	民	解	532
民	解	放	532
陈	水	扁	532
研	究	者	530
有	所	不	529
设	计	师	528
古	希	腊	527
铜	锣	湾	526
十	八	年	525
所	不	同	525
师	范	学	524
意	识	形	524
第	三	次	524
识	形	态	524
语	言	学	523
外	国	人	520
社	会	学	520
人	类	学	519
中	央	军	517
代	表	性	517
般	来	说	517
运	动	会	516
众	议	院	515
美	国	政	514
记	忆	体	514
太	阳	系	511
普	鲁	士	511
所	有	人	510
耶	路	撒	508
董	事	长	508
路	撒	冷	508
代	表	作	506
公	务	员	506
考	古	学	505
轰	炸	机	505
伦	比	亚	503
哥	伦	比	503
小	行	星	503
作	曲	家	502
英	国	人	502
上	海	市	500
伺	服	器	498
天	文	台	498
