# Pinyin word trigrams — generated by build_pinyin_trigrams.py
# source: zho_wikipedia_2018_1m, zho_news_2020_100k
# stats: kept 1000000 / 14912738 unique (min_count=2, top=1000000)
# format: a\tb\tc\tcount
年	月	日	22409
大	部	分	5119
於	年	月	5086
在	年	月	4927
委	员	会	3954
委	員	會	3433
一	部	分	2999
第	一	次	2992
加	拿	大	2819
共	和	国	2797
于	年	月	2715
一	方	面	2711
華	民	國	2558
中	華	民	2546
出	版	社	2429
共	产	党	2398
西	班	牙	2393
一	系	列	2349
大	多	数	2274
月	日	年	2248
日	年	月	2242
的	人物	同时	2090
会	主	义	2089
人物	同时	请	2088
同时	请	参见	2088
毛	泽	东	2038
社	会	主	2024
进	一	步	2011
请	参见	年	2000
被	稱	為	1942
基	督	教	1900
意	大	利	1895
平	方	公	1874
研	究	所	1865
限	公	司	1820
有	限	公	1818
方	公	里	1817
天	主	教	1816
另	一	方	1813
第	一	个	1773
计	算	机	1766
特	朗	普	1735
以	色	列	1709
公	元	前	1660
更	多	的	1657
國	民	黨	1646
实	际	上	1637
第	二	次	1632
人	民	共	1628
民	共	和	1628
阿	拉	伯	1526
中	华	人	1521
华	人	民	1521
使	用	者	1469
年	至	年	1468
俄	罗	斯	1428
越	来	越	1402
最	重要	的	1369
全	世	界	1368
殖	民	地	1352
新	加	坡	1323
並	沒	有	1314
化	合	物	1313
习	近	平	1295
博	物	馆	1264
國	大	陸	1262
中	國	大	1233
国	政	府	1219
图	书	馆	1209
分	之	一	1203
共	產	黨	1197
不	得	不	1193
民	政	府	1178
俄	羅	斯	1167
大	规	模	1167
平	方	米	1139
月	日	在	1132
在	月	日	1131
犹	太	人	1120
速	公	路	1114
高	速	公	1114
基	本	上	1108
原	住	民	1096
在	年	的	1095
中	央	政	1082
国	共	产	1082
中	国	共	1079
大	部	份	1077
共	中	央	1072
被	认为	是	1057
的	情况	下	1053
中	共	中	1045
总	书	记	1043
了	他	的	1033
同年	月	日	1031
解	放	军	1026
在	他	的	1025
是	因	为	1016
参见	年	出生	1002
参见	年	逝世	997
的	情況	下	997
中	华	民	995
支	持	者	989
太	平	洋	979
第	一	位	978
行	政	区	938
教	育	部	935
国	民	党	921
国	人	民	908
圖	書	館	900
世	界	各	896
界	各	地	896
葡	萄	牙	896
但	由	於	891
中華	人民	共和	887
人	民	政	880
实	验	室	878
伊	拉	克	869
国	务	院	868
党	员	干	865
员	干	部	865
科	學	家	856
洛	杉	磯	852
产	阶	级	851
三	分	之	848
空	公	司	847
航	空	公	847
被	認為	是	842
年	年	月	840
希	特	勒	837
於	月	日	837
主	義	的	836
月	日	的	835
联	合	国	834
可	能	性	833
此	之	外	827
除	此	之	827
领	导	人	817
土	耳	其	815
段	时	间	806
事	实	上	804
大	規	模	801
科	学	家	796
至	年	月	796
现	代	化	795
影	響	力	789
斯	拉	夫	788
穆	斯	林	787
聯	合	國	786
市	中	心	784
澳	大	利	783
之	所	以	782
意	味	着	780
十	一	年	778
俱	乐	部	772
主	義	者	769
政	治	局	766
市	政	府	760
所	在	地	757
其	他	人	756
十	年	代	753
重	要	性	745
月	日	正式	744
十	五	年	741
伊	斯	兰	737
二	二	八	733
互	联	网	731
青	少	年	730
是	在	年	723
中	国	人	722
国	家	级	719
马	克	思	719
